Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,54,54,53,55.6,5,80,4280.7
10/11/23,54,54,54,55.6,2,2,108
10/6/23,55.6,55.6,55.6,55.6,2,250,13900
10/5/23,51,55.7,51,54.9,7,1950,105175
10/4/23,53,55.7,53,55.3,21,10086,552989.2
10/3/23,53,53,53,55.3,2,10,530
10/2/23,54,55.8,54,55.3,8,3800,209577.6
9/27/23,55,56,55,55.8,12,3335,186062.3
9/26/23,54.5,54.5,54.5,54.5,1,20,1090
9/22/23,55,55,54,54.5,5,1220,66939
9/21/23,54.1,55,54,54,25,2745,148325.7
9/20/23,54.2,55,54.2,54.6,9,1121,60988.2
9/19/23,54.2,54.2,54.2,54.9,3,60,3252
9/18/23,54.7,55,54.7,54.9,5,11105,610143.5
9/15/23,55,55,54.6,54.7,9,2231,122020.2
9/14/23,54.8,55,54.5,54.5,15,2234,121795.6
9/12/23,54.7,56.6,54.4,55.1,37,31962,1761011.1
9/11/23,55.2,55.2,55,55,12,4020,221133.5
9/8/23,55.5,56.9,55,55.2,35,6885,379905.5
9/7/23,55.6,55.6,55.6,56.9,2,10,556
9/6/23,56,56.9,56,56.9,3,1502,84563.8
9/5/23,56.9,56.9,56.9,56.9,2,355,20199.5
9/4/23,56.9,56.9,55.2,56.6,16,1786,100503.5
9/1/23,56.9,56.9,56.9,57.5,1,10,569
8/31/23,55.5,59.4,54,57.5,26,15407,854673.2
8/29/23,55.5,55.5,55.5,55.5,2,21,1165.5
8/28/23,55.4,55.5,55,55.5,27,6370,353236.1
8/25/23,56,56,55.4,55.4,17,1857,103254
8/24/23,56,56,55.9,58,5,75,4199
8/23/23,58.9,58.9,56,58,8,440,25510
8/22/23,57,57,55,56.5,9,1342,75598
8/18/23,58.7,58.7,56.9,57.5,9,400,23363
8/17/23,59,59,57.8,59,2,101,5957.8
8/16/23,59,59,58,58,5,217,12587
8/15/23,57.9,59,57.9,59,7,1020,59606
8/14/23,58.1,59,58,58,25,7208,419705.8
8/11/23,59,59,59,59,2,270,15930
8/10/23,60,60,60,60,3,33,1980
8/9/23,59.1,60,58,60,15,3206,191930
8/8/23,59.3,60.9,59,59,31,3428,202441
8/7/23,60,61,60,60,4,758,45485
8/4/23,61.9,61.9,61.5,61.5,10,2073,127522.1
8/3/23,60,61.9,60,61.9,18,9025,544006.4
8/2/23,59.9,60,59.9,60,6,756,45358.5
7/31/23,60,60,58.7,59,28,4860,288405.9
7/28/23,60,60.9,58.2,60,22,7937,475631.5
7/27/23,61,61,58,60.5,82,156191,9122756.3
7/26/23,61,61,61,61,5,1539,93879
7/25/23,62.3,63,60,61.2,87,120969,7303548.6
7/24/23,63.2,63.9,60,60.5,121,78458,4720397.7
7/21/23,63.3,65,63.2,64.4,31,1620,104044
7/20/23,65,66,65,65,11,7705,500830
7/19/23,68.7,68.8,64.7,65,84,14219,925603.7
7/18/23,69,70,66.2,69.9,5,751,52491.2
7/17/23,67.4,68.8,67.4,68.8,9,802,54456.8
