Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
4/19/23,0.2,0.2,0.1,0.1,273,9466093,1000911.9
4/18/23,0.2,0.3,0.1,0.2,153,7195283,1434921.4
4/17/23,0.2,0.3,0.2,0.2,118,3809097,762459.5
4/12/23,0.3,0.3,0.2,0.2,102,2891542,653380.4
4/11/23,0.1,0.3,0.1,0.2,398,10371118,2249827.2
4/10/23,0.1,0.2,0.1,0.1,334,18470610,1855436.1
7/7/15,0.1,0.1,0.1,0.1,5,66813,6681.3
7/6/15,0.1,0.1,0.1,0.1,1,1,0.1
7/3/15,0.1,0.1,0.1,0.1,1,10,1
7/2/15,0.2,0.2,0.1,0.1,61,2513122,251312.4
6/30/15,0.2,0.3,0.1,0.1,32,505503,91960.5
6/29/15,0.4,0.5,0.2,0.2,295,4465080,1496648.5
8/30/07,0.6,0.6,0.2,0.2,24,30100,9940
8/29/07,0.4,0.6,0.4,0.6,21,28900,15420
8/24/07,0.2,0.3,0.2,0.3,5,5700,1560
8/22/07,0.2,0.2,0.2,0.2,2,1200,240
8/21/07,0.5,0.5,0.5,0.5,1,2200,1100
11/10/04,0.3,0.4,0.1,0.2,99,1381800,264900
11/9/04,0.4,0.5,0.2,0.2,13,112600,46660
11/8/04,0.4,0.4,0.1,0.3,17,37900,11110
11/5/04,0.6,0.6,0.3,0.4,6,6300,2750
11/4/04,0.8,0.9,0.5,0.6,19,52500,40120
11/3/04,0.9,0.9,0.9,0.9,1,100,90
11/2/04,1,1,0.9,0.9,31,135900,129610
11/1/04,1.25,1.25,1,1,20,87700,88700
10/29/04,1,1.75,1,1.25,13,66000,75525
