Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,28.1,28.1,27.2,27.3,9,2029,55790.2
10/12/23,27.5,27.5,27.2,27.2,9,1626,44550
10/11/23,28.2,28.3,27.5,27.6,29,10806,298942.1
10/10/23,28,28.1,28,28.1,5,222,6236.7
10/9/23,28.1,28.2,28,28,7,2665,74745.5
10/6/23,27.1,28.1,27.1,28.1,18,1327,36961.2
10/5/23,28,28.5,26.3,27.1,20,1562,42584.9
10/4/23,27.7,27.8,27.7,28.5,6,50,1387
10/3/23,27.6,28.5,27.5,28.5,6,151,4254.8
10/2/23,25.1,29.5,25.1,28.7,35,9560,250786.2
9/27/23,29.5,30.5,29.5,30,37,4542,137157.5
9/26/23,30,30.5,29.7,30.4,27,1238,37240.5
9/25/23,30.1,30.5,29.5,29.7,64,1331,39594
9/22/23,30.4,30.4,29.9,30.1,26,3893,117530.2
9/21/23,30.4,30.4,30.1,30.4,19,7413,223167.3
9/20/23,30.4,30.4,30.4,30,1,1,30.4
9/19/23,30.5,30.5,29.9,30,27,776,23545.2
9/18/23,30.4,30.8,30,30,51,10348,313104.2
9/15/23,29.5,30.6,29.5,30.4,15,3525,106657.8
9/14/23,29.7,29.8,29.4,29.5,35,8948,264047.2
9/13/23,29.7,29.7,29.5,29.5,16,197,5829.5
9/12/23,29.5,29.6,29.3,29.3,23,1112,32716.3
9/11/23,29.5,29.5,29.3,29.5,14,927,27303.9
9/8/23,29.5,29.5,29.4,29.4,14,857,25266.6
9/7/23,29.5,29.5,29.2,29.5,28,5642,166009
9/6/23,29.3,29.3,29,29,27,4258,123621.9
9/5/23,28.5,29.5,28.5,28.9,18,577,16630.1
9/4/23,29.3,29.7,28.5,28.9,33,5554,160357.2
9/1/23,29.5,29.5,29,29.3,16,325,9523
8/31/23,29.6,29.8,28.6,29.3,30,2737,80198.2
8/29/23,27.2,29.5,27.2,29.3,41,8852,251399
8/28/23,28,28.3,26.7,28,55,10291,279466.9
8/25/23,28,28,27.8,27.9,22,1078,30093
8/24/23,28,28.4,27,28,26,42211,1181034.9
8/23/23,27.9,28,27.8,28,21,578,16139.4
8/22/23,27,27.9,27,27.9,20,5416,146535.3
8/21/23,28.5,28.5,26.8,27,119,61993,1696903.5
8/18/23,28,28.5,27.5,27.6,57,41141,1151374.7
8/17/23,27.9,28,27.6,27.8,39,6330,175625.1
8/16/23,29,29,28,28,124,57005,1599865.5
8/15/23,29.8,29.8,28.4,28.7,73,27869,798978.1
8/14/23,29.9,29.9,28.5,29.6,66,23082,681277.4
8/11/23,29.8,29.9,29,29.9,47,40304,1194992.7
8/10/23,30.8,30.8,29,29.3,122,63766,1878273.1
8/9/23,31,31,29.6,30,99,49055,1477454.9
8/8/23,30.5,31.5,30.5,31,17,6310,195610
8/7/23,32,32,30,30.4,83,57385,1749431.4
8/4/23,32,32,31.4,31.5,67,35846,1132771.3
8/3/23,32.5,32.5,31.5,31.9,50,31666,1012750.5
8/2/23,32,32.5,31.9,32.4,74,100045,3217808.3
7/31/23,32,32,31.7,32,91,87363,2794286.7
7/28/23,32,32,31.5,32,21,3199,101935.5
7/27/23,31.5,32,31.5,32,19,10984,350210.1
7/26/23,32.4,33,31.5,31.5,51,33095,1055638.9
7/25/23,32.5,33,32.5,32.5,19,6783,220485
7/24/23,33,33,32.5,32.5,21,10143,332062.5
7/21/23,33,33,33,33,3,510,16830
7/20/23,32.9,33,32.9,32.1,2,85,2801.5
7/19/23,32.2,33,32,32.1,23,20041,642972
7/18/23,33,33,32.1,32.6,29,31430,1025771
7/17/23,34,34,32.9,33,39,41174,1359628.6
