Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,9,9,8.8,8.9,4,2842,25232
10/12/23,9.2,9.2,9.2,9.3,1,1,9.2
10/9/23,9,9.3,8.9,9.3,3,4637,41329.3
10/4/23,9.3,9.3,8.9,9.2,12,9038,80558
10/3/23,9,9.5,8.9,9,11,573,5243.6
10/2/23,9.3,9.3,8.8,8.9,14,16541,147539.7
9/26/23,9.7,9.7,9.7,9.7,1,100,970
9/25/23,9.3,9.3,9.2,9.2,3,1000,9201.5
9/22/23,9.3,9.3,9.3,9.3,9,3809,35423.7
9/20/23,9.4,9.4,9.4,9.2,1,1,9.4
9/19/23,9.3,9.3,9.2,9.2,12,19471,180960.8
9/18/23,9.5,9.5,9.3,9.4,4,1501,14149.3
9/14/23,9.8,9.8,9.7,9.8,6,11002,107819.4
9/13/23,9.3,9.3,9.3,9.7,1,12,111.6
9/11/23,9.8,9.8,9.8,9.7,1,1,9.8
9/7/23,9.6,9.7,9.6,9.7,3,1100,10660
9/6/23,9.4,9.8,9.4,9.8,5,1396,13222.4
9/5/23,9.4,9.4,9.4,9.4,6,657,6175.8
9/4/23,9,9.3,9,9.3,12,4245,38458.5
9/1/23,9.3,9.3,9.3,9.3,1,110,1023
8/31/23,9,9,9,9,7,1120,10080
8/29/23,9,9,8.9,8.9,3,889,7932.1
8/28/23,9,9.3,8.9,8.9,7,1692,15112.1
8/25/23,9.2,9.2,9.1,9.1,9,986,8995.4
8/24/23,9,9.5,9,9.2,14,17736,160704.2
8/23/23,9.6,9.6,9,9,22,29338,267905.3
8/22/23,9.6,9.6,9.6,9.7,1,2,19.2
8/21/23,9.7,9.7,9.2,9.7,10,555,5378
8/18/23,9.7,9.7,9.2,9.2,12,7255,66800.5
8/17/23,9.4,9.7,9.3,9.3,11,2631,25076.1
8/16/23,9.6,9.6,9.4,9.4,6,6662,63722.8
8/15/23,9.7,9.7,9.6,9.6,2,104,998.8
8/14/23,9.8,9.8,9.3,9.4,10,3389,31865.2
8/11/23,9.8,9.8,9.2,9.8,28,13861,130908.2
8/10/23,9.9,9.9,9,9.7,33,14993,136926.1
8/9/23,9.4,9.4,9,9.1,31,24265,220746.5
8/8/23,9.3,10.1,9.3,9.4,13,2175,20766
8/7/23,9.9,10.2,9.5,10,30,3985,39792.4
8/4/23,9.5,10,9,9.2,37,25125,234187.3
8/3/23,10.2,10.2,9.5,9.5,14,17079,164225.8
8/2/23,9.6,10.4,9.6,10.2,24,40699,405549.2
7/31/23,9.9,10,9.9,9.9,5,1450,14361.4
7/28/23,9.9,9.9,9.5,9.5,8,27874,264947
7/27/23,10,10,9.7,9.7,9,8967,89456.8
7/26/23,9.7,10,9.7,9.7,9,1192,11593
7/25/23,10.1,10.5,10.1,10.3,9,1580,16261
7/24/23,10,10,10,10,5,3402,34020
