Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,79.9,82,79,80,21,22607,1806013.9
10/12/23,79,82.3,79,80,15,3358,268570.2
10/11/23,80,80,78.2,78.3,39,85033,6680662.2
10/10/23,80,82,80,80,43,78770,6320714.5
10/9/23,82,82,77,80,86,52378,4159984.4
10/6/23,83,83.1,82,82.2,40,7441,612697.2
10/5/23,83,85,82.3,83,24,27537,2304421.7
10/4/23,83,84,82,83.3,46,314907,25831968.5
10/3/23,85,85,82.2,83,28,44060,3655668.3
10/2/23,86.9,86.9,82,85,47,13150,1103284.3
9/27/23,87,87,85.8,86.1,37,914569,78660313
9/26/23,86.2,87.4,86.2,86.7,55,25937,2256978.7
9/25/23,86.1,87.1,86,86.6,39,14743,1275031.6
9/22/23,85.2,86.3,85.1,86,66,2379240,204613723.3
9/21/23,86.4,87.1,85.1,85.2,36,34570,2971169.4
9/20/23,87,88,86.9,87,68,2854885,249490009.1
9/19/23,87,87.2,86.5,86.9,78,2357972,205097903
9/18/23,87.2,87.9,86.7,86.9,69,138150,12040342
9/15/23,87.2,88.1,86.1,87,61,130066,11433029
9/14/23,87.6,89,87.1,88.3,298,773284,68465095.3
9/13/23,83,87.7,83,87.5,293,3522996,303064490.4
9/12/23,84,84.2,82.1,82.8,72,63027,5263309.3
9/11/23,84.6,84.6,83.5,84,70,172792,14518239.3
9/8/23,80.2,85,80.2,84.1,112,57501,4785820.2
9/7/23,80.4,81,80,80,104,476573,38305490.2
9/6/23,81,81,80,80.1,75,333420,26770370.3
9/5/23,80.3,81.9,80,80.1,161,940532,75324743.4
9/4/23,80,81,78.5,80.3,90,344430,27557205
9/1/23,79.8,79.9,78.3,78.6,36,313089,24583291.4
8/31/23,80,80,78,78.5,94,244883,19208212.1
8/29/23,80.9,80.9,79.7,80,39,16691,1335101.7
8/28/23,80,80.9,78.8,80,78,508138,40665652.7
8/25/23,78.2,80.9,78.2,80.1,69,139318,11018193.2
8/24/23,78.1,80,78,78.4,51,1076583,85055711.8
8/23/23,78.1,80,76.6,79.6,114,953843,74651318.1
8/22/23,80,81,78,79,85,910906,72018270.6
8/21/23,80.5,81,77.5,79.5,102,2066096,164312600.9
8/18/23,79,80.9,79,80,89,2647030,218513247.5
8/17/23,82.6,82.8,79.1,79.8,135,1404855,113116882.4
8/16/23,81.1,82.5,78.1,82,215,2788206,240986899.4
8/15/23,84.4,85,81.1,82.9,123,277427,23070172.9
8/14/23,86,86.6,85,85.5,227,1384639,118425492.6
8/11/23,86.4,86.5,85,85.7,193,8744993,748903366.6
8/10/23,86,87,86,86.4,120,231233,20038409
8/9/23,83.6,86.8,83.6,86.3,292,2623278,223116387.5
8/8/23,84.8,85,82.5,84.2,107,237337,20052285
8/7/23,82,86.5,82,84.8,284,375355,31842342.7
8/4/23,81.9,84,81,82.2,201,434537,35912713.1
8/3/23,78.5,82,78.5,82,387,1390720,111668236.8
8/2/23,78.1,78.8,77,78.6,114,345726,27047176.4
7/31/23,77.7,78.2,75.6,78,141,316631,24505302.1
7/28/23,78,80,77.7,78,157,461392,36212641.4
7/27/23,73,78.4,72.4,77.8,225,1037652,78488011.3
7/26/23,74.7,74.8,73,73.9,81,127519,9443636.9
7/25/23,75.8,75.8,72.3,75,124,405181,30304856.7
7/24/23,75.5,77,75.5,76.3,225,2146915,164167121.5
7/21/23,75,76.5,74,76,166,265112,20038697.1
7/20/23,72.5,76,72.5,75,489,1873413,140491457.1
7/19/23,71,72.5,70.5,72.2,210,556519,39654542.2
7/18/23,70,71.1,69.5,70.7,207,1001948,70566736.2
7/17/23,70.5,70.8,69.2,69.9,113,358652,25100559.2
7/14/23,70.5,70.5,68.8,69.8,162,788051,54899820.7
7/13/23,70.9,71,70,70,129,341377,24023100.9
7/12/23,69.7,71.7,69,70.4,306,873586,61595261.9
7/11/23,69.9,69.9,67.5,69.1,149,2773099,190020146.6
7/10/23,70,70.5,68,69.8,428,3393616,236605220.4
7/7/23,65,69.8,65,69.2,570,1983300,134525887.1
7/6/23,64,65.3,63.9,65.1,245,734581,47543924.6
7/5/23,63,65.4,63,64.1,338,1257523,81042470
7/4/23,61,64.5,60,63.4,436,7613029,485914567.8
6/28/23,57,58.7,56.8,58.5,97,259646,15182493.7
6/27/23,59,59,56.9,57,121,223847,12963623.4
6/26/23,60,60,58,59.6,261,1111597,66342526.2
6/23/23,59.6,59.6,58.6,58.7,132,515835,30376035.7
6/22/23,59.7,60.2,59,59.5,163,278423,16542249.9
6/21/23,57.1,60.2,57.1,59.6,427,1843012,109843929.7
6/20/23,57.2,57.5,56.8,57.1,106,255306,14574540.3
6/19/23,57.5,57.5,56.9,57,139,133846,7645343.5
6/16/23,56.9,57.2,56,56.6,102,219458,12437615.3
6/15/23,55.3,57.5,55,56.3,111,358393,20532400.5
6/14/23,55,56.8,54.5,56.2,143,676730,37278136.5
6/13/23,55,55,54.5,55,115,281042,15447642.2
6/12/23,55.2,55.2,54,55,85,178930,9833005
6/9/23,55,55.6,54.5,55,69,200760,11035256.2
6/8/23,55.1,55.1,54,54.9,47,119565,6549552
6/7/23,55,55,53.9,54.5,40,50285,2733871.5
6/6/23,54.3,55,54,55,94,239128,13130074
6/5/23,54.5,55,53.2,54.6,74,294709,16187062
6/2/23,53.2,54.8,53.2,54,32,116277,6274675.4
6/1/23,53.9,54.4,52.5,52.9,79,1686730,90961947.2
5/31/23,54,54,52.5,53,57,389809,20659245.4
5/30/23,53,53,52.5,53,73,1092905,57755739
5/29/23,53.6,53.8,52.5,52.7,33,14135,743275.1
5/26/23,53.1,53.8,52.6,53.1,38,18159,963816.9
5/25/23,53.4,53.9,52.5,53.4,50,34071,1796821.6
5/24/23,52.5,54,52.5,53.6,28,43575,2324682.9
5/23/23,53,54,52,53.5,28,64370,3467238.3
5/22/23,54,54,52,52,89,111072,5830597.1
5/19/23,53.8,53.8,52.9,53.5,60,510204,27292913.7
5/18/23,53.9,54,53.4,53.5,58,974131,52117483.5
