Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,45.7,46.5,45.6,46,60,130213,5994721.8
10/12/23,45.5,46.4,45.2,46.1,103,304146,13945699.4
10/11/23,45.5,46.2,45.3,45.5,134,1098285,50463826.7
10/10/23,45.5,46.4,45.5,45.5,101,283888,13045279.9
10/9/23,46.7,46.7,44.2,45.5,167,417649,18888354.2
10/6/23,47.7,47.8,47.2,47.5,77,243803,11572130.2
10/5/23,47.5,48.3,47.5,48.1,106,189411,9098467.7
10/4/23,46.7,47.5,46.6,47.1,114,448766,21107661.4
10/3/23,46.8,47.9,46.7,46.9,129,421748,19913680.3
10/2/23,47.9,48.4,47,47.5,171,406756,19249441.5
9/27/23,47,49.4,47,48,343,2225817,106897205.1
9/26/23,45.8,46.4,45.8,46,86,239849,11042153.4
9/25/23,47.3,47.3,45.8,46,118,354282,16392954.3
9/22/23,46,47.2,46,47,100,387764,18225390.5
9/21/23,47,47,46,46.3,111,894974,41474892.2
9/20/23,47,47.3,46.6,47,137,471967,22191017.1
9/19/23,46.7,47,46,46.5,194,318962,14757794.9
9/18/23,47.5,47.9,46.5,46.7,133,392280,18590868.8
9/15/23,47,47.8,47,47.5,193,1518167,72117200.9
9/14/23,47.2,47.2,46.2,46.9,209,490764,22956967.1
9/13/23,48.5,48.5,47,47.2,192,594920,28299794.2
9/12/23,48.2,48.4,47.5,47.8,207,434724,20829381.5
9/11/23,49.5,49.7,48.3,48.7,152,243694,11984394.9
9/8/23,47.4,49.7,47.4,49.5,574,2019316,99035718.3
9/7/23,48,48.1,47.4,47.9,265,1001956,47954429.4
9/6/23,48,48.9,46.9,48.2,653,2177431,104968102.1
9/5/23,47.5,48.8,47.1,47.9,645,2262357,108681733.8
9/4/23,43.5,47.2,43.5,46.9,853,3162854,144771953.8
9/1/23,43.5,44.3,43.4,43.5,153,752231,32997699.5
8/31/23,43.9,44.5,43.5,44.1,164,422640,18629168.1
8/29/23,43.4,44.4,42,43.6,257,1116016,48750439
8/28/23,44.4,44.5,43,43.3,255,489019,21350934.8
8/25/23,44.5,45.1,43.5,44.5,376,1171841,51849363
8/24/23,44.5,45,43.5,44.7,444,1230105,54627976.7
8/23/23,46,47,44.5,45.1,897,3080881,142787218.4
8/22/23,45,46.2,44.5,45.9,986,4755514,216244644.8
8/21/23,43,45.7,43,44.8,1213,6396156,285656812.1
8/18/23,39.9,43,39.6,42.3,1580,5485883,226182647.9
8/17/23,37.9,39.5,37.6,39,632,1972721,76313799.1
8/16/23,36,38.5,35.7,38,463,1059869,39654552.5
8/15/23,35.5,36.9,35.1,36.3,221,557966,20287536.3
8/14/23,36.6,36.6,33.6,36.3,305,590755,20949370.5
8/11/23,38,38,36,36.9,264,333296,12331341.3
8/10/23,38.6,38.9,37,37.8,385,907633,34426798.3
8/9/23,39,39.3,38.1,38.5,683,2585786,100431841.2
8/8/23,36.3,38.8,35.8,38.4,828,1914356,72005158.5
8/7/23,37,37,35.6,36.3,353,1118655,40741224.5
8/4/23,36.5,37.7,36,37.2,884,2903552,106959118.5
8/3/23,34,36.6,33.5,36.4,1157,5001936,176184250.9
8/2/23,34.5,34.6,33,34,579,1644937,55738476.5
7/31/23,32.5,35.2,32.4,34.5,1537,5058409,173518485.3
7/28/23,28.5,32.5,28.5,31.6,1494,5371710,164530094.5
7/27/23,26.7,27.4,26.5,26.9,85,82599,2225192.3
7/26/23,26.8,26.8,26,26,182,486532,12756171.2
7/25/23,27.2,27.4,26.7,26.8,166,157759,4264936.5
7/24/23,28.4,28.4,27.3,27.4,124,112700,3126487.5
7/21/23,28.7,28.8,28.1,28.2,111,227532,6473022.9
7/20/23,28,29,28,28.5,339,1316234,37601564.5
7/19/23,28,28,27.7,27.7,102,477243,13309391.2
7/18/23,27.8,28.1,27.5,27.9,183,749692,20885893.2
7/17/23,27.2,27.9,27.2,27.5,240,1135383,31236568.7
7/14/23,26.9,27.3,26.6,27.1,154,698221,18876217.3
7/13/23,26.8,27,26.7,26.7,76,468530,12557171.5
7/12/23,26.9,27.2,26.7,26.8,132,781758,21029174
7/11/23,26.8,27.3,26.7,26.9,176,505977,13627761.7
7/10/23,26.3,27.5,26.3,26.8,191,994725,26553047.1
7/7/23,26.3,26.6,25.5,26.5,159,671545,17707495.9
7/6/23,26.1,26.5,25.3,25.8,102,82738,2134009
7/5/23,24.3,27,23.5,25.3,309,1543077,38412660.4
7/4/23,23.9,24.4,23.9,24.2,126,252767,6067459.6
6/28/23,23,23.8,22.9,23.5,76,105201,2455243.9
6/27/23,23.2,23.2,23,23.2,48,215339,4988139.6
6/26/23,22.5,23.2,22.5,23.2,74,89635,2070764.4
6/23/23,23.2,23.2,22.5,22.7,149,380559,8686981.5
6/22/23,23.5,23.7,22.9,23.1,49,37782,871982.6
