Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
8/21/14,5.8,7,5,6.6,139,206132,1363706.2
8/20/14,4.5,5.6,4.5,5.6,43,50034,277329.3
8/19/14,3,4.7,2.9,4.5,38,78333,344550
8/18/14,3.7,3.8,3.7,3.8,7,9166,34414.2
8/15/14,4.1,4.1,3.7,3.7,13,4120,15810
8/14/14,3.5,6.9,3.2,4.4,47,24169,99725.5
4/26/12,0.1,0.1,0.1,0.1,2,3000,300
4/25/12,0.1,0.1,0.1,0.1,3,30100,3010
4/24/12,0.1,0.1,0.1,0.1,8,32001,3200.1
4/23/12,0.5,0.5,0.1,0.1,219,5336868,658579.4
4/20/12,0.8,0.8,0.4,0.5,134,1159969,586004.4
4/19/12,1.9,2.5,0.6,0.8,128,610251,584821.2
