Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,3.3,3.3,3.3,3.2,1,1,3.3
10/12/23,3.3,3.3,3.3,3.2,2,13,42.9
10/11/23,3.5,3.5,3.2,3.2,8,7369,23661.7
10/10/23,3.5,3.5,3.5,3.5,2,50,175
10/9/23,3.3,3.6,3.3,3.5,26,216186,754833.3
10/6/23,3.5,3.5,3.5,3.5,3,1951,6828.5
10/5/23,3.4,3.4,3.4,3.4,17,20165,68561
10/4/23,3.4,3.6,3.2,3.6,48,226332,776874.3
10/3/23,3.5,3.8,3.5,3.5,63,636342,2385902.5
10/2/23,3.5,3.5,3,3.4,34,318186,1040305.6
9/27/23,3.1,3.4,3.1,3.4,19,183460,606108.7
9/26/23,3.2,3.2,3.1,3.1,9,75769,242387.9
9/25/23,3.2,3.2,3.1,3.1,12,6669,20889.7
9/22/23,3.2,3.2,3,3,5,7719,24167
9/20/23,3.2,3.2,3.2,3.2,5,10016,32051.2
9/19/23,3,3.2,3,3,11,2430,7362.9
9/18/23,3.2,3.2,3.1,3.2,7,1011,3234.2
9/15/23,3.3,3.3,3,3,17,9795,31076.1
9/14/23,3.2,3.3,3.2,3.2,15,13452,44094.6
9/13/23,3.2,3.2,3.2,3.2,4,127,406.4
9/12/23,3.1,3.1,3.1,3.1,4,258,799.8
9/11/23,3.1,3.1,3,3.1,14,31791,95552.1
9/8/23,3.2,3.2,3,3.1,44,199960,603316.8
9/7/23,3.3,3.3,3.1,3.1,22,129995,403146
9/6/23,3.3,3.3,3.1,3.3,7,1102,3616.4
9/5/23,3.2,3.2,3.1,3.2,7,39106,123137.2
9/4/23,3.2,3.3,3.1,3.1,5,17599,54609.1
9/1/23,3.4,3.4,3.2,3.2,11,6231,19950.4
8/31/23,3.2,3.3,3.2,3.2,8,30017,97384.4
8/29/23,3.4,3.4,3.3,3.3,4,9634,31792.3
8/28/23,3.3,3.4,3.3,3.4,6,12376,41478.4
8/25/23,3.2,3.4,3.2,3.3,15,5052,16324.9
8/24/23,3.4,3.4,3.2,3.3,7,1355,4461.3
8/23/23,3.2,3.4,3.2,3.3,10,5088,16382.5
8/22/23,3.3,3.3,3.2,3.2,7,11690,37787
8/21/23,3.3,3.4,3.2,3.2,19,110895,354996
8/18/23,3.4,3.4,3.2,3.3,12,8653,28356.5
8/17/23,3.3,3.5,3.1,3.2,29,171202,561653.5
8/16/23,3.3,3.5,3.3,3.3,10,34913,115213.8
8/15/23,3.5,3.5,3.5,3.5,1,1,3.5
8/14/23,3.5,3.5,3.4,3.5,5,255,887.1
8/11/23,3.5,3.6,3.3,3.5,13,22055,76986.7
8/10/23,3.3,3.5,3.3,3.3,11,65714,222399
8/9/23,3.5,3.5,3.3,3.3,6,6501,21453.8
8/8/23,3.5,3.6,3.3,3.5,26,183553,641086
8/7/23,3.3,3.6,3.3,3.4,18,104727,356484.5
8/4/23,3.6,3.6,3.3,3.6,21,22067,76735
8/3/23,3.5,3.5,3.3,3.4,23,21504,72010.2
8/2/23,3.5,3.5,3.4,3.4,30,65900,224419.6
7/31/23,3.5,3.6,3.4,3.4,40,218059,747149.4
7/28/23,3.2,3.6,3.2,3.4,41,57101,196663.8
7/27/23,3.4,3.5,3.4,3.4,26,97163,330537.7
7/26/23,3.7,3.7,3.5,3.5,17,32930,115468
7/25/23,3.7,3.7,3.5,3.7,16,39610,141042.5
7/24/23,3.6,3.7,3.5,3.6,15,45617,162490.7
7/21/23,3.5,3.6,3.4,3.5,31,46433,162645.5
7/20/23,3.7,3.7,3.5,3.5,23,19097,67039.5
7/19/23,3.7,3.7,3.5,3.6,32,27483,99225.3
7/18/23,3.5,4,3.5,3.6,207,1992072,7465325.8
7/17/23,3.5,3.6,3.4,3.5,36,100661,352376.7
