Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
2/24/15,61.9,61.9,61.9,61.9,1,1,61.9
2/20/15,62,62,62,62,2,3,186
2/19/15,62,62,62,62,9,15,930
2/16/15,60,60,60,60,1,10,600
2/13/15,57.9,62.5,54,54,3,251,13952.5
2/12/15,55,55,55,55,1,1,55
2/5/15,47.3,47.3,47.3,47.3,1,100,4730
1/30/15,51.1,59.9,51.1,51.3,2,51,2614.9
1/29/15,56.3,56.3,56.2,56.3,3,53,2983.3
1/27/15,56.3,56.3,56.3,56.3,1,3,168.9
1/26/15,59.2,59.2,59.2,59.2,2,100,5920
1/8/15,64.8,74,64.8,65.6,2,110,7220
1/6/15,64.8,64.8,64.8,64.8,1,1,64.8
12/31/14,60.1,60.1,60.1,60.1,1,52,3125.2
12/26/14,66,66,66,66,1,9,594
12/15/14,60.2,60.2,60.1,60.2,2,200,12030
12/3/14,61.1,61.1,61.1,61.1,1,100,6110
12/2/14,62.5,63,62.5,62.6,3,61,3818
11/24/14,58,58,46.5,55,8,615,33851.7
11/18/14,59.2,67.9,59.2,59.7,5,318,18999.6
11/17/14,61.2,61.2,59.2,59.2,3,1144,68612.8
11/14/14,60.8,60.8,60.8,60.8,1,25,1520
11/13/14,60.7,60.7,60.7,60.7,1,100,6070
11/12/14,63,63,63,63,1,17,1071
11/11/14,60.6,60.6,60.6,60.6,1,20,1212
11/10/14,60.6,60.6,60.6,60.6,2,133,8059.8
11/7/14,62,62,61.5,61.7,4,152,9374
11/3/14,63,63,62,62,8,1047,64945
10/24/14,71.1,71.1,71.1,71.1,3,12,853.2
10/21/14,64.1,64.1,64.1,64.1,1,100,6410
10/20/14,63,63,63,63,2,21,1323
10/16/14,75,75,75,75,2,2,150
10/10/14,68.2,68.2,68.2,68.2,1,5,341
10/9/14,68.2,68.2,68.2,68.2,2,52,3546.4
10/2/14,68.1,74.5,68.1,74.5,2,2801,208668.1
9/30/14,67,75.5,67,75.5,8,4377,299038
9/25/14,76.5,76.5,76.5,76.5,1,1,76.5
9/24/14,75,75,75,75,2,100,7500
9/18/14,77.5,77.5,77.5,77.5,1,1,77.5
9/17/14,77.4,77.4,66.2,71.1,5,1572,113666.9
9/16/14,77.5,77.5,77.5,77.5,1,1,77.5
9/12/14,77,77,77,77,1,20,1540
9/11/14,78,78.5,65.3,77.3,47,1727,131043.4
9/9/14,79,79.5,79,79.2,12,3650,289339.6
9/5/14,80,80,79.7,79.7,10,7100,567886
9/4/14,84.6,84.6,84,84.3,3,9,758.4
9/3/14,65,69.5,65,69.3,3,149,10333
9/1/14,56.3,62,56.3,62,2,104,6425.2
8/27/14,69.5,69.5,69.5,69.5,1,6,417
8/26/14,69.5,69.5,69.5,69.5,1,5,347.5
8/22/14,69.5,69.5,69.5,69.5,1,3,208.5
8/21/14,69.5,69.5,69.5,69.5,1,3,208.5
8/20/14,69.5,69.5,69,69,4,120,8331.5
8/19/14,70,70,69.5,69.5,2,10,697
8/18/14,69.9,70,69.9,70,3,13,909.6
8/15/14,70,70,69.9,70,5,17,1189.3
8/13/14,60.7,64,60.7,64,7,496,30754
8/11/14,65,77,65,70.5,4,94,6627.9
8/8/14,62,62,62,62,1,2,124
8/7/14,62,62,62,62,3,100,6200
8/6/14,62,62,62,62,2,149,9238
8/4/14,60.2,70,59.2,68.8,16,1410,91778.9
8/1/14,67.4,68,67.4,67.4,3,103,6943.5
7/31/14,59.2,59.2,59.2,59.2,1,1,59.2
7/21/14,58,69,58,69,2,2,127
7/14/14,70,71,65,66.7,5,13,866.6
7/11/14,60,68.5,57.5,57.5,15,648,39988
7/10/14,55,55,55,55,5,5608,308440
7/9/14,55,55,55,55,9,3509,192995
7/7/14,55,55,55,55,1,3,165
6/27/14,54,60,54,59.2,7,5073,300411
6/26/14,54,57,54,54.3,6,4500,244291.5
6/24/14,53.9,56,53.9,54.3,4,112,6079.3
6/20/14,53,53,53,53,1,1,53
6/19/14,52.5,52.5,52.5,52.5,3,110,5775
6/18/14,51.9,51.9,51.8,51.9,2,9,466.7
6/17/14,49.6,49.6,49.6,49.6,2,31,1537.6
6/16/14,49.6,53.1,49.6,51.6,4,185,9543.5
6/13/14,47.4,50,47.4,49.6,6,1383,67612.9
6/11/14,45,47.4,45,47.4,3,504,22689.6
6/10/14,45.2,45.2,45,45,4,875,39415
6/9/14,49.9,49.9,49.9,49.9,3,13,648.7
6/6/14,49.5,49.5,49.5,49.5,1,1,49.5
6/5/14,45.3,45.3,45,45.1,4,1300,58568.7
6/4/14,50.5,50.5,50.5,50.5,1,1,50.5
6/3/14,45.4,45.4,45.3,45.3,2,50,2267.4
6/2/14,45.3,45.3,45.3,45.3,1,100,4530
5/30/14,53.4,53.4,45.2,45.2,2,3,152
5/28/14,45.5,45.6,45.5,45.5,3,200,9102.5
5/27/14,50.2,55,50.2,53.5,4,1153,61670
5/21/14,50.5,50.5,50.5,50.5,1,1,50.5
5/20/14,45.3,52.6,45.3,52.6,3,96,4405.6
5/19/14,45.4,53,45.4,53,2,3,151.4
5/13/14,53,53,52.9,52.9,2,11,582
5/12/14,45.5,54.2,45,54,9,1019,50610.2
5/9/14,54.4,54.4,54.4,54.4,1,1,54.4
5/8/14,52.8,52.8,52.8,52.8,1,1,52.8
5/7/14,47,48.9,42.4,42.4,5,894,42567.1
5/5/14,47.9,47.9,47.9,47.9,3,9,431.1
5/2/14,47.9,47.9,42.1,42.2,2,91,3836.9
4/30/14,44.3,48,44.3,45.6,7,395,18011.8
4/28/14,44.3,44.3,44.3,44.3,1,10,443
4/17/14,43.5,43.5,43.5,43.5,1,1,43.5
4/10/14,40.5,40.5,40.5,40.5,1,1,40.5
4/8/14,40.5,40.5,40.5,40.5,1,67,2713.5
4/4/14,46.3,46.3,46.3,46.3,1,2,92.6
