Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,13.9,13.9,13.5,13.5,4,754,10181
10/12/23,13.5,13.5,12.9,12.9,5,289,3742.6
10/11/23,13.6,13.6,13.5,13.9,2,10,135.5
10/10/23,13.9,14,13.9,13.9,13,2020,28078.1
10/9/23,13.5,13.5,13.5,13.5,9,1005,13567.5
10/6/23,12.7,13.5,12.6,12.7,7,3110,39421
10/5/23,12.8,12.8,12.8,12.8,11,11354,145331.2
10/4/23,12.9,12.9,12.9,12.9,3,2888,37255.2
10/3/23,12.9,12.9,12.9,12.9,19,7689,99188.1
10/2/23,13.4,13.4,13.2,13.2,7,789,10463.7
9/27/23,14,14,13.4,13.5,10,1699,22996
9/25/23,13.6,13.6,13.6,14,3,15,204
9/22/23,13.7,13.7,13.7,14,2,83,1137.1
9/21/23,13.8,14.1,13.7,14,4,195,2722.5
9/20/23,14,14,13.6,13.8,7,198,2737.6
9/19/23,13.6,14,13.6,13.8,3,23,313.2
9/18/23,13.8,14.4,13.6,13.8,3,3052,42108.8
9/15/23,14.3,14.3,13.8,13.9,5,105,1460
9/14/23,14.1,14.1,14.1,14.2,1,1,14.1
9/13/23,13.9,14.5,13.8,14.2,15,472,6682.5
9/12/23,14.4,14.4,13.9,14,5,306,4276.4
9/11/23,14.2,14.5,13.7,14.3,13,3185,45489.5
9/8/23,13.6,13.6,13.6,13.6,1,10,136
9/7/23,14.3,14.3,13.5,13.6,7,2504,33969.3
9/6/23,14.2,14.4,13.5,13.6,19,51540,699839.2
9/5/23,14.6,14.6,13.6,14,12,2662,37354.4
9/4/23,13.6,14.8,13.6,14.6,20,21862,319105.3
9/1/23,14.4,14.4,13.6,13.6,15,2612,36364.4
8/31/23,14.5,14.5,14.3,14.3,2,510,7295
8/29/23,14,14.1,13.5,13.8,9,13365,184975.9
8/28/23,14,14,14,14.4,1,5,70
8/25/23,14.5,14.5,14,14.4,5,4472,64403
8/24/23,14.3,14.6,14.2,14.5,33,78770,1136470.6
8/23/23,14.3,14.4,14,14,14,13502,190308.8
8/22/23,14,14,13.8,14,4,42,585.8
8/21/23,14.4,14.4,14,14,16,2046,29300.4
8/18/23,13.7,13.7,13.5,13.5,14,2230,30222.5
8/17/23,14,14,13.6,13.7,5,1271,17415.6
8/16/23,14,14,13.9,14,7,211,2952.5
8/15/23,13.7,14.4,13.7,13.7,4,1993,27306.1
8/14/23,13.7,13.7,13.7,13.7,6,317,4342.9
8/11/23,13.2,14.4,13.2,14.4,6,43,604
8/10/23,14.4,14.4,13.2,14.4,8,505,7270.8
8/9/23,14.1,14.1,12.8,12.8,6,515,7001.5
8/8/23,14.6,14.6,14.6,14.1,1,1,14.6
8/7/23,14.5,14.5,14.1,14.1,26,886,12516.6
8/4/23,14.5,14.5,14.4,14.4,10,4290,62161
8/3/23,14,14.4,14,14.3,4,285,4051
8/2/23,14.5,14.5,14.1,14.2,4,1818,25819.6
7/31/23,13.9,14,13.9,14,5,4840,67740
7/28/23,13.7,13.7,13.1,13.1,14,2315,30711.5
7/27/23,14,14,13.6,13.6,6,58,801.6
7/26/23,14.3,14.3,13.5,13.6,21,12223,167158.2
7/25/23,14.4,14.4,13.9,14,13,1059,14856.5
7/24/23,13.9,14.4,13.9,13.9,8,2603,36209.5
7/21/23,14,14,13.6,14,17,5778,80263.2
7/20/23,14.3,14.3,14,14,7,179,2506.8
7/19/23,14,14.1,14,14,5,7380,103330
7/18/23,13.6,13.6,13.6,14,1,20,272
7/17/23,13.7,14,13.6,14,8,4856,66819.5
