Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,180,180,180,195.5,1,5,900
10/10/23,197.5,197.5,195.25,195.5,2,6,1173.75
10/9/23,195.5,195.5,195.5,195.5,1,52,10166
10/6/23,200,200,200,195.5,2,76,15200
10/5/23,195.25,195.25,195,195.5,5,10,1952
10/2/23,206,210.5,205,195.5,7,31,6378
9/26/23,193,193,193,195.5,1,2,386
9/22/23,217.75,217.75,200,195.5,3,55,11017.75
9/20/23,224.25,224.25,224.25,195.5,1,1,224.25
9/19/23,199.75,200,199.75,195.5,8,72,14386.25
9/18/23,218.25,218.25,193,195.5,15,319,62390.5
9/15/23,218.75,218.75,201.5,198.25,8,17,3478
9/14/23,195,219.5,195,198.25,13,144,28552
9/13/23,219.75,219.75,219.75,177.75,1,1,219.75
9/12/23,219.75,220,219.75,177.75,11,71,15603.75
9/11/23,220,220,192,177.75,3,15,3020.75
9/8/23,220,220,220,177.75,1,5,1100
9/7/23,220,220,220,177.75,1,1,220
9/6/23,220,220,200,177.75,6,20,4276
9/5/23,219.75,220,210,177.75,8,43,9442.75
9/4/23,219.75,219.75,196,177.75,4,5,1031.5
9/1/23,200,220,200,177.75,3,12,2610
8/31/23,194.75,194.75,193,177.75,7,8,1547
8/29/23,165.5,197.5,165.5,177.75,22,146,25933.75
8/28/23,200,200,198,200,4,114,22794
8/25/23,210,210,210,199.5,1,1,210
8/24/23,210,210,210,199.5,1,1,210
8/23/23,210,210,210,199.5,2,3,630
8/22/23,200,200,200,199.5,2,6,1200
8/21/23,197.5,197.5,197.5,199.5,1,2,395
8/18/23,212,212,212,199.5,1,15,3180
8/17/23,202,202,199,199.5,7,170,33925
8/16/23,212,212,212,209.75,1,10,2120
8/14/23,210,210,201,209.75,15,953,198925
8/11/23,201.5,225,201.5,220.25,10,87,18649.25
8/10/23,214.75,214.75,210,220.25,2,8,1694.25
8/8/23,196,200.75,196,220.25,2,7,1395.75
8/3/23,215,219,214,220.25,12,71,15254
8/2/23,220,220,220,220.25,1,2,440
7/31/23,204.75,240.5,204.75,220.25,37,396,85461
7/28/23,200,200,195.75,199.25,11,256,51008.75
7/27/23,208.75,208.75,190,200,10,22,4390.25
7/26/23,209,209,209,200,1,20,4180
7/25/23,209,209,209,200,1,1,209
7/24/23,209.75,209.75,209.75,200,1,1,209.75
7/21/23,200,209.75,200,200,6,125,25010
7/20/23,209.75,209.75,209.75,205,1,1,209.75
7/19/23,210,210,210,205,1,1,210
7/18/23,198.25,210,198,205,5,14,2901.75
7/17/23,209.75,209.75,209.75,205,1,1,209.75
