Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,1.1,1.1,1.1,1.1,3,15400,16940
10/12/23,1,1.1,1,1.1,11,77501,77751
10/11/23,1.1,1.1,1.1,1.1,2,502,552.2
10/10/23,1,1.1,1,1.1,5,8526,8926.6
10/9/23,1,1.1,1,1.1,4,4000,4250
10/5/23,1.1,1.1,1.1,1.1,3,31000,34100
10/4/23,1.1,1.1,1,1.1,7,30000,32500
10/3/23,1.1,1.1,1.1,1.1,1,900,990
10/2/23,1.1,1.2,1.1,1.1,3,2767,3043.8
9/27/23,1.1,1.1,1.1,1.1,5,12700,13970
9/26/23,1.1,1.1,1.1,1.1,10,22472,24719.2
9/25/23,1.1,1.1,1.1,1.1,7,38327,42159.7
9/22/23,1.1,1.1,1.1,1.1,16,41000,45100
9/21/23,1.2,1.2,1.1,1.1,7,8470,9962.6
9/20/23,1.2,1.2,1.1,1.2,2,51,61.1
9/19/23,1.2,1.2,1.2,1.2,5,10391,12469.2
9/18/23,1.2,1.2,1.1,1.1,13,90517,99637.2
9/15/23,1.2,1.2,1.1,1.1,3,2150,2380
9/14/23,1.2,1.2,1.1,1.2,4,1155,1286
9/12/23,1.2,1.2,1.1,1.2,4,11441,12629.2
9/11/23,1.1,1.2,1.1,1.1,2,1001,1101.2
9/8/23,1.1,1.2,1.1,1.2,4,6200,7220
9/7/23,1.2,1.2,1.1,1.1,10,58007,63807.8
9/6/23,1.2,1.2,1.1,1.1,3,122,136.4
9/5/23,1.1,1.3,1.1,1.2,5,402,462.5
9/4/23,1.2,1.2,1.1,1.2,5,6838,8194.6
9/1/23,1.2,1.3,1.1,1.2,15,517033,619897.2
8/31/23,1.2,1.2,1.2,1.2,1,9495,11394
8/29/23,1.3,1.3,1.2,1.2,6,17129,20615.3
8/28/23,1.2,1.3,1.2,1.2,9,34562,42974.4
8/25/23,1.2,1.2,1.2,1.2,3,12299,14758.8
8/24/23,1.2,1.3,1.2,1.2,17,771846,926279.2
8/23/23,1.2,1.3,1.1,1.2,31,366468,432965.4
8/21/23,1.1,1.1,1.1,1.1,9,302000,332200
8/18/23,1.2,1.2,1.1,1.1,9,86813,95505.3
8/17/23,1.2,1.2,1.1,1.1,11,1000335,1100402
8/16/23,1.1,1.2,1.1,1.1,8,66550,74185
8/15/23,1.2,1.2,1.2,1.2,1,1,1.2
8/14/23,1.2,1.2,1.1,1.2,9,7701,9236.2
8/11/23,1.2,1.2,1.1,1.2,10,77305,87486
8/10/23,1.2,1.2,1.1,1.1,27,1456347,1606580.2
8/9/23,1.2,1.2,1.2,1.2,2,501,601.2
8/8/23,1.2,1.2,1.2,1.2,8,18310,21972
8/7/23,1.2,1.3,1.2,1.2,12,87990,105593
8/4/23,1.2,1.2,1.1,1.2,21,129659,152375.8
8/3/23,1.2,1.3,1.2,1.2,15,132623,159147.7
8/2/23,1.2,1.3,1.2,1.2,6,105916,127100.2
7/31/23,1.2,1.3,1.2,1.2,9,91705,110046.5
7/28/23,1.3,1.3,1.2,1.2,9,19472,23466.5
7/27/23,1.2,1.2,1.2,1.2,5,57684,69220.8
7/26/23,1.2,1.2,1.2,1.2,8,89214,107056.8
7/25/23,1.2,1.3,1.2,1.2,9,21504,25805
7/24/23,1.2,1.3,1.2,1.2,11,77311,92823.5
7/21/23,1.2,1.2,1.1,1.2,9,10708,12749.6
7/20/23,1.2,1.2,1.1,1.2,3,1165,1393
7/19/23,1.2,1.2,1.1,1.2,5,13177,14812.4
7/18/23,1.2,1.3,1.2,1.2,8,20093,24211.7
7/17/23,1.3,1.3,1.2,1.2,23,91723,111097.8
