Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/4/21,0.2,0.2,0.1,0.1,806,13889495,1675002.3
5/3/21,0.6,0.6,0.2,0.2,803,11649308,3190755.7
4/30/21,1.1,1.1,0.5,0.7,392,4740778,3741218.2
4/29/21,1.5,1.7,1,1.1,755,8070155,10964871.9
4/28/21,1.3,2.1,1.2,1.6,1161,17130476,28844902.3
4/27/21,1,2.5,0.7,1.3,1517,6103730,8223693.1
10/3/18,0.1,1,0.1,0.1,214,10669736,3090398.3
10/2/18,0.1,0.1,0.1,0.1,38,277204,27720.4
10/1/18,0.1,0.3,0.1,0.1,144,2998522,456530.6
9/28/18,0.4,0.4,0.1,0.1,128,2173169,316591.8
9/27/18,1.1,1.1,0.3,0.4,252,968428,534074.7
9/26/18,0.1,4.9,0.1,2.1,105,63843,83711.6
