Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/3/23,1120.75,1128.75,1120.75,1120.25,9,36,40395.5
5/2/23,1128.75,1128.75,1115.25,1120.25,32,2571,2880151
4/28/23,1130,1134.75,1110,1129.75,18,6491,7334005.75
4/27/23,1134.75,1134.75,1120,1122.75,38,2168,2435781
4/26/23,1105,1130,1105,1126,26,2833,3154565.5
4/25/23,1097,1140,1097,1102,60,651,720202.25
4/24/23,1093,1096,1090,1095,42,475,518970.75
4/21/23,1090,1092.75,1090,1090.75,26,2371,2584496
4/20/23,1093,1093,1070,1084.75,14,319,345993.5
4/19/23,1080,1089.75,1080,1080,29,425,459116.5
4/18/23,1090,1094,1070.5,1089.75,17,339,369337.25
4/17/23,1070,1096,1070,1090.25,41,1340,1439365.25
4/12/23,1067.75,1068,1067,1068,9,313,334271.75
4/11/23,1069,1069,1054,1060,24,547,580566.75
4/10/23,1069.5,1069.5,1062,1062,15,293,311581
4/6/23,1062,1069.75,1061,1069.25,15,226,241621.75
4/4/23,1069.25,1069.5,1061.5,1062,8,38,40553.25
4/3/23,1070,1070,1062,1062,11,353,376471
3/31/23,1069,1070,1068,1069,9,705,754190
3/30/23,1060,1060.25,1060,1069.75,6,8,8480.25
3/29/23,1050,1050,1050,1069.75,1,1,1050
3/28/23,1069,1071,1050,1069.75,32,3974,4204401.25
3/27/23,1070,1070,1060,1068.75,12,392,419258.5
3/24/23,1070,1078,1070,1070.25,12,348,372400.25
3/23/23,1080,1080,1065,1078.25,7,118,127236.5
3/22/23,1070.25,1080,1070.25,1086.5,9,38,40795.25
3/21/23,1090,1090,1070,1086.5,37,625,679100.5
3/20/23,1098,1098,1070,1089.5,31,773,846248
3/17/23,1051,1098.5,1050.25,1072.5,28,434,464243.5
3/16/23,1046,1064,1045,1048.5,16,1893,1984865.5
3/15/23,1030.75,1049.75,1030,1030.5,26,1298,1337901.5
3/14/23,1030,1069.75,1030,1050.25,28,1769,1836127.75
3/13/23,1040,1072.75,1036.25,1038,24,1027,1066419.25
3/10/23,1060,1060,1030,1049.75,30,1012,1053061.75
3/9/23,1050,1070,1050,1073,5,20,21350
3/8/23,1074.25,1075,1045,1073,27,3546,3805712.25
3/7/23,1075,1078,1030,1074.25,20,215,230978.5
3/3/23,1016,1075,1016,1074.75,35,10820,11624787.75
3/2/23,1025,1025,1010.75,1011.25,32,949,960524.75
3/1/23,1029.75,1029.75,1020,1022.5,39,322,329253
2/28/23,1098,1099.75,1057,1069.75,72,1306,1425844
2/27/23,1095,1099.75,1090,1096.5,53,648,710730.25
2/24/23,1096.25,1100,1091,1100,79,8283,9109126.25
2/23/23,1079,1100,1065.25,1096.25,62,988,1081412.75
2/22/23,1029.75,1100,1029.75,1097.5,133,1541,1652732.75
2/21/23,975,1029,975,1018,163,23429,23651093.25
2/20/23,957,967,954.75,958.75,14,441,422832.75
2/17/23,945,957,945,948.5,21,35276,33344334
2/16/23,940,950,932,945,20,11675,11017323.75
2/15/23,939.75,940.25,933,940,9,1702,1599859
2/14/23,940.25,940.25,930,931,20,158,147216.75
2/13/23,949,949.75,945,948.25,4,10,9489
2/10/23,946,950,945,948.25,23,830,787279.75
2/9/23,930,946.5,930,952.25,5,78,72962.5
2/7/23,957.75,960,948,952.25,13,114,108550.75
2/6/23,950,960,950,930,6,26,24890
2/3/23,945,945,930,930,14,483,449231
2/2/23,944,944.75,930,932,14,273,254472.5
2/1/23,945,945,930,930.25,13,113,105151
1/31/23,930.25,930.5,930,930,30,588,546890.75
1/30/23,947.75,947.75,943,930,4,8,7552.75
1/27/23,930,950,930,930,26,850,796387.25
1/26/23,930,930,929.75,925,2,4,3719.5
1/25/23,932,932,925,925,4,5003,4627784
1/24/23,921,928,921,925,9,5062,4682466
1/23/23,927,930,927,928.25,18,131,121602.25
1/20/23,915,927,913,925,27,26161,24194786.25
1/19/23,924,924,922,924,5,78,71958
1/18/23,930,930,922,924,4,28,25826
1/17/23,922.75,922.75,922.75,924,3,3,2768.25
1/13/23,923.75,924,923.75,924,3,142,131205.5
1/12/23,923,923,919,911,6,73,67279.25
1/11/23,915,923,911,911,4,7,6441
1/10/23,924,924,910,911,21,330,300642.75
1/9/23,924.5,924.5,912.25,916.25,27,132,120964.75
1/5/23,920,924.5,920,911.25,3,26,23996.5
1/4/23,924.5,924.5,911,911.25,9,117,106623.5
1/3/23,920,925,920,924.25,8,318,293850
1/2/23,920,920,910,905,8,96,87463.5
