Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
1/26/23,360,374.25,360,360,14,526,189406
1/25/23,374.75,375,374,374.25,5,121,45272.25
1/24/23,378,384,360,379.5,9,58,20974.5
1/23/23,384,384,384,379.5,1,1,384
1/20/23,379,379,379,379.5,4,12,4548
1/19/23,378.75,380,360.5,379.5,23,749,284281.25
1/18/23,378.75,379.75,361.25,361.75,9,53,20086.25
1/17/23,365.25,378.75,365,361.75,10,89,32665
1/13/23,370,389.75,360.25,361.75,17,816,295323.25
1/12/23,400,400,362,375,51,839,312556
1/11/23,454.75,454.75,382,390.75,15,161,63475.75
1/10/23,498,498,382,392.25,58,912,365147.25
1/9/23,455,455,430.5,451.25,16,113,51002.5
1/5/23,430,507,430,433.75,15,434,188276.5
1/4/23,512,512,433,476,10,46,21370
1/3/23,475,477.5,475,476,14,364,173062.25
1/2/23,499.5,500,499.5,519,2,21,10490
12/30/22,500,500,500,519,1,2,1000
12/29/22,471.25,514.75,471.25,519,7,21,10323.25
12/28/22,466,475,466,519,6,60,28464
12/27/22,516,516,516,519,1,1,516
12/23/22,519,519.5,483.25,519,7,14,7233.25
12/21/22,510,520,510,519,8,150,77852.5
12/20/22,481,519,481,507.25,8,145,73543.75
12/19/22,520,525,502,521.5,10,185,96478
12/16/22,514,525,501.25,502.75,25,144,73002
12/15/22,502,520,502,520.75,2,11,5702
12/14/22,515,540.25,515,520.75,41,3036,1580752
12/13/22,480,490,480,501.5,2,20,9700
12/12/22,461.25,499.5,461.25,501.5,2,2,960.75
12/8/22,495,495,476,501.5,2,2,971
12/6/22,470,470,470,501.5,1,10,4700
12/5/22,461.25,461.25,461.25,501.5,4,75,34593.75
12/1/22,513,513,510,501.5,7,25,12765
11/25/22,500,500,500,501.5,1,2,1000
11/24/22,514.75,514.75,464,501.5,5,227,113829.5
11/23/22,514.5,514.5,514.5,514,1,1,514.5
11/22/22,514,514,510,514,14,4001,2056510
11/21/22,513,513,513,513,14,1190,610470
11/18/22,514.5,514.5,471,513.25,18,2122,1091057.5
11/17/22,514.5,514.5,514.5,514.5,8,1895,974977.5
11/16/22,514.5,514.5,514,514.5,20,2187,1125211
11/15/22,515,515,514.5,514.5,8,1526,785127.5
11/14/22,514.5,514.5,514.5,514.5,9,582,299439
11/11/22,460,514,460,514,8,109,55972
11/9/22,515,515,512,512.75,13,2991,1537392
11/8/22,515,515,510,514,22,2335,1199495.25
11/4/22,515,515,515,515,1,1000,515000
11/3/22,515,515,515,515,29,10000,5150000
11/2/22,515,516,515,515,21,6002,3091032
11/1/22,505,515,505,514.5,12,2024,1041492.5
10/31/22,513.5,515,450,512.75,23,3100,1589826.25
10/28/22,508.25,514.25,508.25,514,35,9385,4817677.5
10/27/22,509.75,509.75,509,515.75,3,15,7642.5
10/26/22,491,491,461,515.75,8,31,14441
10/25/22,515,515,515,515.75,1,1,515
10/21/22,470.25,520,470.25,515.75,26,3563,1836939.75
10/20/22,470.5,515,470.5,515,5,706,363545.5
10/19/22,515,515,514.5,515,14,13300,6849496.25
10/18/22,519.5,519.5,515,515,44,26140,13462140.5
10/17/22,520,520,515,518.5,25,3652,1888952.5
10/14/22,509.75,520,509.75,515,27,2984,1526211.5
10/13/22,499,510,499,500,46,10323,5163057.75
10/12/22,470,492.75,470,485,43,5118,2445987.75
10/11/22,471.5,471.5,470,470,50,8236,3871067.5
10/7/22,462,470,460,465.5,56,22894,10627385.75
10/6/22,445,465,445,459,75,10889,4930117.5
10/5/22,439.75,440,439.5,440,9,1002,440852.25
10/4/22,426,445,333.75,440,43,8188,3551443.5
10/3/22,427,450,427,445,21,2525,1123588
9/30/22,450,460,430.25,449.5,65,10987,4935251.5
9/29/22,443.25,470,407,469,36,8024,3764122.75
9/28/22,463,470,441,468.75,55,14182,6615147.25
9/27/22,475,476,455.5,469.5,61,15495,7268265.5
9/26/22,455.25,475,455.25,470.5,112,41192,19379411.5
9/23/22,459,474.25,455,462.75,109,30487,14238215.25
9/22/22,460,480,457,470.5,69,16557,7805989.75
9/21/22,467.5,492,467.5,485.25,72,26700,12950044.25
9/20/22,490,490,448,473.5,93,14585,6897933.25
9/19/22,490,490,460,466.5,72,12673,5916473
9/16/22,444,494,440,485,338,63659,30272156.5
9/15/22,440,442.5,410.25,439.25,94,11659,5068151.75
9/14/22,420,444,403,427.25,129,21708,9245581
9/13/22,403.5,419.75,402.75,405,30,1812,734818
9/12/22,422,440,400,429,266,19274,8253706.5
9/9/22,429.75,429.75,376,400.75,76,4461,1805193.75
9/8/22,441,445,330.5,425.25,233,18612,7790804
9/7/22,430,480,387.75,439.5,429,27386,11898738
9/6/22,378,387.75,320.25,387.75,229,56575,21648212
9/5/22,310.25,310.25,310.25,310.25,105,36724,11393621
9/2/22,199.75,248.25,199.75,248.25,173,46344,10482393.25
9/1/22,186,200,186,198.75,105,24659,4870443.5
8/31/22,197.75,197.75,185.25,190.25,48,2980,567593.75
8/30/22,199,199,193.25,194.75,19,1341,261193.25
8/29/22,201,204.75,190,193.25,44,8865,1735400.25
8/26/22,208.75,208.75,193,200.25,63,7956,1587894.25
8/25/22,220,220,198,201,164,26146,5398742.5
8/24/22,208,208,190,197.5,76,9873,1965765.5
8/23/22,210,226,200,202.75,120,13890,2886402
