Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,104.5,105.5,103,103.5,61,220336,22908601.25
10/12/23,100.75,104.75,100.75,104,101,128675,13317729
10/11/23,103,103,100,100.75,85,64086,6485230.75
10/10/23,103,104.75,103,103,72,185297,19117588.5
10/9/23,106,106,101,103,93,81564,8378054.75
10/6/23,107,107.25,105.25,106.25,62,50179,5338183
10/5/23,107.5,109.5,107,107,61,44530,4846150.25
10/4/23,105,107,103,105.75,38,62335,6500419.75
10/3/23,105.5,108,103.5,104.5,50,46607,4904897.5
10/2/23,108,108,102.5,105.5,96,111435,11567166.5
9/27/23,108.5,110.5,108.5,109.75,123,781223,85919114.75
9/26/23,108.25,109,108.25,108.5,12,6350,690575
9/25/23,109.75,109.75,108.25,108.5,17,2606,284498.5
9/22/23,106,109.75,105.75,109.5,47,18382,1984182.75
9/21/23,107.25,108,105.5,106,72,30137,3217551
9/20/23,109.75,109.75,108,108,45,36456,3961395.75
9/19/23,112.5,113,109,109,78,38280,4213938.25
9/18/23,113,113,111,111.5,45,14200,1587920.5
9/15/23,113,113,112,112.25,41,149872,16823457.75
9/14/23,114.5,114.5,112.5,113,44,53093,6008202.75
9/13/23,113,115,112.5,114,69,638559,72351770.25
9/12/23,114,115,112,113,37,19111,2164225.75
9/11/23,115.75,115.75,112,112,57,55936,6301376
9/8/23,115.5,115.75,113,114.5,50,104502,12014922
9/7/23,112.75,115.75,112.5,114.5,29,5749,650155.75
9/6/23,117,117,111.75,113,90,152045,17436893.5
9/5/23,114.75,116.75,114.75,115.5,132,224449,25986348
9/4/23,110.25,114.75,109,114,150,299707,33678813.5
9/1/23,110,112,108.75,110.25,98,243260,26604831.5
8/31/23,110.5,111.75,109,109.75,61,124850,13745742.25
8/29/23,112.25,112.25,110.25,111,138,469968,52229778.5
8/28/23,114.75,115,112,113,64,78951,9020073
8/25/23,113,116.75,107,114.75,145,173238,19900640.5
8/24/23,118,118,95.2,114,105,79297,9062833
8/23/23,119,120,116,118.75,118,134841,15949148
8/22/23,114,118.75,114,118,272,348239,40819745.75
8/21/23,120,121,112.5,114,193,203326,23516527.75
8/18/23,121.75,124.5,119,121.75,173,395572,47984056
8/17/23,120,125,120,121.75,309,376895,46390112.25
8/16/23,118,121.5,116.5,119,345,768837,91146144
8/15/23,116.75,117.5,114.5,117,184,447348,52210944.25
8/14/23,114.5,118,111.75,117.25,685,1867526,214592563.5
8/11/23,113,113,110.25,112,117,580647,64861721
8/10/23,110,115,110,111.25,234,820550,91787259
8/9/23,109.5,111,108,108.75,127,1505338,166459948
8/8/23,109.75,110.5,106,109.25,175,505238,55325855.25
8/7/23,110,111,107,108.75,204,439549,48410919.5
8/4/23,110,112.75,108.5,110,152,451843,50077177.5
8/3/23,106.5,112,106.5,110,301,988667,109000620
8/2/23,102.75,107.25,102.75,107,393,2244182,237084478.5
7/31/23,103,103,101,102.25,124,252278,25798355.5
7/28/23,98.5,103.5,98.5,101.25,385,796698,80910048.65
7/27/23,93,99.5,93,98.6,308,3928694,374563824
7/26/23,93.7,95.5,92,94.4,127,1133427,107620210.1
7/25/23,93.5,93.5,91,93.4,76,175986,16410526.4
7/24/23,92.4,94.4,92.4,93.1,94,327025,30743626.7
7/21/23,91.5,94,90,93.3,152,278797,25935202
7/20/23,93.9,95,90,91.5,119,1977331,181883012.9
7/19/23,90,96,89.4,94.7,301,819348,75964315
7/18/23,84.7,89,82,88.4,272,5330280,454100288.1
7/17/23,81.4,85,80.6,84.8,203,349515,29429954.5
7/14/23,79.3,82.4,79.3,81.7,45,13927,1129015.8
7/13/23,80,80.5,79.5,79.9,35,49591,3966073.7
7/12/23,79,81,78.5,80.8,63,49613,3955575.5
7/11/23,79,80,79,79.5,36,33040,2611793.9
7/10/23,80,80.4,79,79.2,53,52015,4140634.9
7/7/23,80,80.4,80,80,67,220627,17653330.6
7/6/23,82,82,79.2,80.7,92,353831,28534879.4
7/5/23,81.2,83,81.2,82.7,193,337603,27931011.4
7/4/23,75,82.8,75,81,468,4660477,375765408.3
6/28/23,69.5,71,69.1,70.7,92,322592,22596533.3
6/27/23,70,70,69,69.5,42,90570,6333918.9
6/26/23,68.8,70,68.1,70,86,170284,11888263.8
6/23/23,68.5,70,68.5,68.8,76,247270,17275990.7
6/22/23,68,68.9,67.3,68.1,22,6425,438186.1
6/21/23,68.9,68.9,67.2,67.7,14,5016,341487.2
6/20/23,67.7,68.6,67.1,68.5,22,266481,18249507.8
6/19/23,68.9,68.9,67.6,67.7,12,2162,146505.2
6/16/23,67.7,68.7,67.7,68.4,24,12480,854158.3
6/15/23,68.5,69,68.5,69,65,63547,4373075.3
6/14/23,67.5,68.9,67.1,67.6,40,51160,3464452.9
6/13/23,68,68,67,67.3,40,25659,1736026.5
6/12/23,67.4,68,66.7,67.7,78,109859,7427548.1
6/9/23,65.6,67.5,65.5,66.5,60,39779,2654959.3
6/8/23,65,65.9,65,65.6,17,33423,2174344.7
6/7/23,65.1,65.2,65.1,65.1,24,40527,2638655.6
6/6/23,65.1,65.2,65,65.1,15,1069,69563.8
6/5/23,65,65.1,65,65,34,116477,7571045.9
6/2/23,64.4,67,64.2,65.4,14,2971,194244.8
6/1/23,64,65,63.5,64,36,46687,3002862.3
5/31/23,63,63.9,63,63,11,2022,127543.1
5/30/23,63,63,63,63,5,9024,568512
5/29/23,62.5,64,62.5,63,17,25205,1580876.1
5/26/23,63.3,65,63,63,38,80919,5171130.5
5/25/23,64.9,64.9,62.6,63.1,12,2996,189784.5
5/24/23,62.5,65,62.5,64.9,14,143931,9355381.5
5/23/23,63.9,64.8,62.5,62.5,20,99835,6361185.4
5/22/23,63.2,63.7,62.7,62.7,29,16359,1027091.2
5/19/23,63.2,63.7,63.2,63.5,17,9580,608384.4
5/18/23,66,66,63.5,63.5,11,7746,493171
5/17/23,64.1,65,63,64.9,29,436044,27527645.9
5/16/23,66.8,67.5,64.1,65,68,270367,18167712.7
5/15/23,64,67.8,64,67.4,227,280511,18519984
5/12/23,63,63,62.1,63,17,34647,2182287.2
5/11/23,62.5,64,62,63.5,53,25321,1596085.3
5/10/23,60.6,61,60.5,61,8,10544,642414
5/9/23,60.1,62,60,62,45,65789,4072656.5
5/8/23,59.8,60.8,59.8,60.3,45,27040,1624914.1
5/4/23,57.1,59,57,59,7,8691,496427
5/3/23,58,59.9,58,59,20,19872,1168681.1
5/2/23,59.1,59.3,58,59,24,27373,1614791.7
4/28/23,60,60.9,59.2,60,38,216655,12999219
4/27/23,60,60.1,60,60,30,50709,3042742.4
4/26/23,60.6,60.6,60.5,60.5,23,19134,1157628.9
4/25/23,61,61,60,60.5,29,57160,3455805.5
4/24/23,60.5,61.5,60.5,61.3,46,57981,3537873.9
4/21/23,61.1,61.5,61,61.1,34,10365,633033.6
4/20/23,61.5,62,61.5,61.5,46,99256,6104696
4/19/23,61.5,62.5,61.5,61.6,44,18738,1154929.6
4/18/23,62,62.5,61.2,62.3,39,71132,4372324.2
4/17/23,62.6,63.5,62,63,69,73905,4662037.7
4/12/23,61.5,62.9,61.5,62,19,10551,651121.3
4/11/23,62,62.8,62,62.6,23,18091,1122446.8
4/10/23,61.8,62.7,61.1,62,52,28738,1780690.1
4/6/23,61.1,61.7,61,61.6,26,55156,3396170.8
4/4/23,60.9,61.1,60.9,61,32,19621,1197230
4/3/23,64.7,65,60.1,63.3,78,303310,19553522
3/31/23,61,65,61,64,129,369840,23513193.2
3/30/23,59.8,60.4,59,59.1,49,1035503,62127919.4
3/29/23,57,60.1,57,59.9,95,756202,45346954.5
3/28/23,57,57.2,56.1,56.4,39,13760,775200.6
3/27/23,60.1,61,56.5,57.2,51,22964,1332269
3/24/23,62,62,60,60.4,40,14079,857094.6
3/23/23,60.1,64,60.1,60.3,76,38615,2380214.7
3/22/23,63,63,61.9,62.1,35,9945,617317.8
3/21/23,64.9,64.9,62,63.1,46,30749,1953869.1
3/20/23,65.1,65.5,64.7,65,43,61753,4017655.1
3/17/23,65.3,65.7,65,65,15,6476,421239.5
3/16/23,66.4,67,65,65.7,30,140329,9165053.6
3/15/23,65,66.4,65,66.3,27,9616,634096.8
3/14/23,65,66,65,65.8,49,10237,671750.5
3/13/23,65,65.5,63,65,68,292608,18800516.5
3/10/23,65.1,66.4,64.7,64.9,60,11569,752369.2
3/9/23,69,69,66.4,68.5,90,23723,1611260.3
3/8/23,71.3,72,70.3,70.5,230,285156,20222721.4
3/7/23,66,71.2,66,70.4,255,1455103,101946076.4
3/3/23,65,67,63.2,66.1,122,227899,14836811
3/2/23,62,65,62,63.9,92,85387,5500195
3/1/23,62,62.5,60.5,62,32,57903,3590703
2/28/23,64,64,61.5,62.3,46,35290,2218503.3
2/27/23,65.7,65.7,61.6,64,76,77464,4933992
2/24/23,67,67,65.6,66,220,1912557,127981955.7
2/23/23,62,65.2,62,65.1,67,366054,23830873
2/22/23,60,66,60,65.2,291,325323,21064701.3
2/21/23,61.3,63.5,60,63.2,224,368651,23017641
2/20/23,58,64,58,60.9,200,173142,10540642.6
2/17/23,55.1,58,50,57.8,93,59758,3420887.4
2/16/23,55.9,57,55,56.5,44,13371,746575.6
