Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
2/22/11,46.6,48.8,45.3,46.2,167,120700,5630340
2/21/11,48,50,44.1,46.5,194,156400,7256040
2/18/11,44.5,48,42,46.7,129,119400,5395310
2/15/11,50,50,44,44.3,93,59700,2665580
2/14/11,50,50.8,45.1,46.6,125,63800,3001430
2/11/11,50.2,51,50,50.2,104,98900,4972560
2/10/11,50,52,49.8,50.1,107,111800,5621720
2/9/11,52,52,49,50,186,137100,6869850
2/8/11,54.5,54.5,51,51.3,303,216700,11282530
2/7/11,58.5,61.5,54.1,54.8,206,267000,15234350
2/3/11,54,59.9,53.5,56.5,86,110000,6179440
2/2/11,53.8,54,53,53,34,17700,943780
2/1/11,54,54,52.1,52.3,31,644300,33513410
1/31/11,54.9,54.9,53.8,53.9,36,28000,1517000
1/28/11,57,57,54.4,54.7,33,20500,1120930
1/27/11,54.9,55,54,54,15,20300,1107290
1/26/11,55,55,53.2,53.2,28,22500,1215260
1/25/11,55.5,58.9,55,55.2,39,25800,1427310
1/21/11,56,58,54,55.8,73,75800,4290700
1/20/11,54.4,57,52,53.4,49,37300,2005890
1/18/11,57,57,54.3,54.6,24,11400,622250
1/17/11,56.4,56.9,54,54.9,37,17000,947450
1/14/11,56.5,57.9,56,56.2,12,7100,404020
1/13/11,58,58.2,56.5,57.3,30,18900,1084750
1/12/11,59.1,59.5,57.1,58,43,24100,1413710
1/11/11,58,61.5,57,58.9,61,60700,3575860
1/10/11,58.6,58.6,57,57.5,38,26900,1555130
1/7/11,58,59,57.8,58.2,27,15000,873290
1/6/11,58.5,59.4,58,58.5,27,11200,653170
1/5/11,56.5,59.5,56.5,58.5,65,91300,5311020
1/4/11,56.1,57.9,56.1,56.7,35,21400,1219370
12/31/10,57.5,58,57.5,57.6,19,15400,890410
12/30/10,58,58,55,56.1,37,36800,2070640
12/29/10,58,58,57.8,57.9,20,16600,960890
12/28/10,59,61.2,58.3,58.8,7,2300,136250
12/27/10,57.6,61.5,57,59.5,89,111700,6594050
12/24/10,59,59,57.5,57.5,16,5700,331500
12/23/10,59,59.5,58.3,58.9,53,51900,3058160
12/22/10,52.6,58,52.6,56.5,52,40300,2240290
