Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,100.75,100.75,100.5,100.75,2,35,3522.5
10/10/23,100.75,101,100.75,100.75,3,320,32257.5
10/9/23,103.5,103.5,101,102.25,13,279,28698
10/6/23,103.5,103.5,103.5,107,2,20,2070
10/3/23,102.25,107,102,107,16,413,42654.75
10/2/23,107.25,108.5,100.75,110,5,41,4177.25
9/26/23,110.25,112,110.25,110,2,11,1214.5
9/20/23,109,109,109,110,2,48,5232
9/18/23,112,112,111.75,110,2,20,2237.5
9/13/23,112,112,112,110,1,1,112
9/11/23,110.25,110.25,110,110,5,148,16280.75
9/8/23,112,112,110,110,4,300,33218.75
9/6/23,112,112,112,112,1,1,112
9/5/23,111.75,112.75,111.75,112,6,1005,112560.75
9/4/23,109.25,109.25,109.25,108.25,3,19,2075.75
9/1/23,108.75,109,108.75,108.25,6,90,9797.5
8/31/23,109,109.25,109,108.25,4,40,4362.5
8/29/23,114.75,114.75,108.25,108.25,2,6,656
8/28/23,108.25,111.75,108.25,108.25,10,145,15713.75
8/25/23,108.25,108.25,107.75,108.25,16,456,49334
8/23/23,115.75,115.75,114,114,3,276,31472.75
8/18/23,118,119.25,113,116,15,1370,159093.5
8/17/23,116,121.5,111,121.5,37,9750,1132342
8/16/23,115.75,116,115.25,114.75,6,76,8811.5
8/15/23,115.25,115.75,114.75,114.75,13,1236,141907.5
8/14/23,107.5,116.75,107.5,115,22,776,88007.5
8/11/23,112.5,112.5,109.5,109.25,6,53,5844.5
8/10/23,109.75,109.75,109,109.25,4,431,47100.75
8/9/23,108,118.75,106.75,107,31,1050,112352.75
8/8/23,106.25,118,106.25,108.25,6,139,15046.5
8/7/23,106,119.5,106,119,5,10,1078.5
8/4/23,121,121.25,121,119,9,54,6536.5
8/3/23,110,120,102.25,119,21,1247,148789
8/2/23,110,110.75,110,106,3,26,2870
7/31/23,104.75,107.5,104.75,106,14,119,12612.5
7/28/23,90.9,107.5,90.9,107.5,56,3776,399067.3
7/27/23,85.4,91,85.4,86.1,20,1279,110133.8
7/25/23,86.5,86.5,85.8,86.5,2,515,44537
7/24/23,86.5,86.6,86.5,86.5,13,609,52682.4
7/21/23,83.1,83.3,83.1,83.3,11,369,30722.2
7/19/23,85,88.5,84,83.2,12,85,7404.3
7/18/23,82.4,85,82.4,83.2,15,640,53249.6
