Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/25/15,14.2,14.4,14.2,14.4,20,63776,913346.8
6/24/15,14.2,14.5,14.2,14.3,8,10400,149080
6/23/15,14.3,14.5,14.3,14.4,7,3066,44053.4
6/19/15,14.2,14.5,14.2,14.2,20,58002,824326
6/18/15,14.2,14.3,14.2,14.2,6,2130,30247
6/17/15,14.2,14.2,14.2,14.2,7,14085,200007
6/16/15,14.2,14.2,14.2,14.2,2,15000,213000
6/15/15,14.2,14.2,14.2,14.2,3,1810,25702
6/11/15,14.1,14.1,14.1,14.1,5,8495,119779.5
6/10/15,14.4,14.4,14,14.3,3,5500,78600
6/9/15,14,14.2,14,14.2,7,3811,53464.2
6/8/15,14.1,14.1,14.1,14.1,9,27822,392290.2
6/5/15,14.2,14.2,14.2,14.2,17,23200,329440
6/3/15,14.2,14.4,14.1,14.4,5,20201,287214.1
6/1/15,14.1,14.4,14.1,14.4,12,15027,215048.5
5/29/15,14.1,14.4,14.1,14.4,3,5432,76951.2
5/28/15,14.1,14.8,14.1,14.1,6,2821,39776.8
5/27/15,14.3,14.5,14.1,14.1,16,27100,386120
5/26/15,13.8,14.5,13.8,14.2,27,12352,176320.7
5/25/15,13.8,13.8,13.2,13.2,2,104,1379.4
5/21/15,13,13,13,13,2,260,3380
5/20/15,13.3,13.3,13.3,13.3,2,1000,13300
5/19/15,13.1,13.1,13,13,2,1000,13010
5/18/15,13.8,13.8,13.2,13.2,2,53,723.6
5/15/15,13.8,13.8,13,13.7,6,4799,65146.3
5/11/15,14.2,14.2,14.2,14.2,1,1,14.2
5/8/15,14.1,14.1,14.1,14.1,1,200,2820
5/6/15,13.9,13.9,13.9,13.9,2,400,5560
5/5/15,14.2,14.2,13.5,13.9,2,2,27.7
4/30/15,13.8,14.7,13.3,13.6,32,15472,211095.1
4/29/15,13.5,14.5,12.7,14.2,32,25040,332141.6
4/28/15,14.1,14.2,13.5,13.6,15,23700,327945
4/27/15,13,15.5,12.5,14.3,233,376091,5526538.4
4/24/15,12.2,13,12.2,13,28,18972,242804.2
4/23/15,12.2,12.7,12.2,12.2,5,1015,12385.3
4/22/15,12.2,12.2,11,12.2,5,9,106.2
4/20/15,12.5,12.5,12.5,12.5,2,140,1750
4/17/15,12.5,12.5,12.5,12.5,1,2,25
4/16/15,11.6,12.8,11.6,11.7,7,3803,44508.7
4/10/15,11.6,11.6,11.6,11.6,1,3,34.8
4/6/15,10.9,10.9,10.9,10.9,4,4,43.6
4/2/15,10.8,11,10.8,11,14,510,5594.1
4/1/15,10.5,10.7,10.4,10.7,12,2507,26723.6
3/31/15,10.2,10.5,9.6,9.7,15,2788,27414.4
3/30/15,10,10,10,10,1,100,1000
3/27/15,10.9,10.9,10,10.5,4,2504,25051.1
3/26/15,10.5,10.5,10.2,10.3,14,5000,51308.3
3/24/15,10.5,11.5,10.5,11.5,2,4,43
3/23/15,11.4,11.4,11.4,11.4,5,6400,72960
3/20/15,11.9,11.9,11.5,11.5,2,361,4151.9
3/19/15,10.5,12,10.5,12,5,1566,18115
3/18/15,12.4,12.4,10.5,11.3,9,14,158.4
3/17/15,11.7,11.7,10.5,10.6,8,7208,76338
3/16/15,11.6,11.6,11.3,11.3,2,1010,11416
3/13/15,11.6,11.6,11.6,11.6,3,6,69.6
3/12/15,11.7,11.7,11.7,11.7,1,5,58.5
3/11/15,11.7,11.7,11.7,11.7,2,20475,239557.5
3/10/15,11.9,11.9,11.9,11.9,1,5,59.5
3/9/15,12.2,12.2,11.2,11.2,2,201,2252.2
3/6/15,12,12,11.1,11.1,9,25001,281064.7
3/3/15,12.4,12.4,12.1,12.1,11,8319,101110.4
2/27/15,12.4,12.4,12.4,12.4,1,200,2480
2/25/15,12.8,12.8,12,12.3,11,9107,111921.7
2/24/15,12.6,12.6,12.6,12.6,1,1,12.6
2/23/15,12.6,12.6,12.6,12.6,1,5,63
2/20/15,12.9,12.9,12.8,12.8,4,2732,34972.8
2/19/15,13,13,12.4,12.7,3,401,5073
2/18/15,12.4,13,12.4,12.6,8,2351,29243
2/16/15,12.5,12.5,12.5,12.5,3,1000,12500
2/13/15,13,13,12.5,12.5,2,5000,62625
2/10/15,12.1,13,12.1,13,5,836,10508
2/9/15,12.9,12.9,12.9,12.9,2,1200,15480
2/6/15,13,13,12,12,6,3114,40182
2/5/15,13,13,13,13,1,3,39
2/2/15,13.3,13.3,11.7,12.4,26,14987,178275.7
1/30/15,13.6,13.6,13.6,13.6,5,579,7874.4
1/27/15,13,13.5,13,13.5,7,9001,119513.5
1/26/15,13.6,13.6,12,12.1,12,17321,210510.7
1/23/15,13.1,13.1,13.1,13.1,1,1803,23619.3
1/22/15,12.9,13.4,12.9,13,3,701,9063.4
1/21/15,13,13,13,13,1,419,5447
1/20/15,13.5,13.5,13.5,13.5,1,2,27
1/19/15,13.2,13.7,13,13,11,5088,66447.4
1/16/15,13.8,13.8,13,13,6,7500,101600
1/13/15,13.1,13.1,13,13,20,34665,452555
1/12/15,14.4,14.9,13.1,13.4,24,24889,359086.6
1/9/15,13.7,13.7,13.5,13.6,2,1100,14950
1/8/15,13.6,14,13.6,14,5,2452,33348
1/7/15,14.4,14.4,13.6,13.7,6,1202,16598.8
1/6/15,13.5,13.5,13.5,13.5,4,1087,14674.5
1/2/15,13.5,13.5,13.5,13.5,1,10,135
12/31/14,13.4,13.5,13,13.5,4,4177,55891.9
12/30/14,13,13,13,13,5,2199,28587
12/29/14,13,13.5,13,13,5,810,10535
12/26/14,13.1,13.1,13,13,11,5830,75800
12/24/14,13.6,13.6,13.1,13.1,14,7461,97790.6
12/23/14,13.4,13.4,13.2,13.2,6,9511,125747.8
12/19/14,13.3,14,13.3,14,5,773,10647
12/18/14,13.1,13.5,13.1,13.5,5,1113,15009.6
12/17/14,13.5,13.5,13.4,13.4,3,103,1380.3
12/15/14,14,14,14,14,1,1,14
12/11/14,14,14,13,13.1,2,110,1440
12/10/14,13,13,13,13,1,100,1300
12/9/14,13.5,13.5,13.2,13.2,5,14061,189823.2
12/4/14,13.2,14.1,13.2,14.1,5,112,1489.2
12/3/14,14,14,14,14,1,13,182
12/1/14,14,14,14,14,1,1,14
11/28/14,13.9,13.9,13.9,13.9,2,51,708.9
11/27/14,13.2,13.2,12.9,13.1,4,2900,38010
11/26/14,13.3,14,13.3,13.5,5,1500,20300
11/25/14,14.1,14.1,13.3,14,3,61,819.1
11/24/14,14,14,13.3,13.6,9,7500,101830
11/21/14,14.2,14.2,14.1,14.1,5,15945,226418
11/20/14,14.2,14.2,14,14,4,7515,105213
11/19/14,14.2,14.2,14.2,14.2,3,8250,117150
11/18/14,13.5,14.2,13.4,14,18,49316,684157.2
11/17/14,14.4,14.4,13.5,13.9,9,7850,109526
11/14/14,14.5,14.5,14.5,14.5,3,220,3190
11/13/14,14.5,14.6,14.5,14.6,2,2,29.1
11/12/14,14.5,14.6,14.5,14.5,29,76640,1114310
11/11/14,14.2,14.2,14,14.1,5,4000,56200
11/10/14,14.6,14.6,14.2,14.4,8,2510,35906
11/7/14,14.6,14.6,14.3,14.3,15,22000,319430
11/5/14,14.7,14.7,14.4,14.5,14,27300,395500
11/4/14,14.5,14.7,14.5,14.6,11,4413,64402.1
11/3/14,14.5,14.8,14.5,14.5,9,3130,45798
10/31/14,14.8,14.8,14.7,14.7,4,505,7425
10/30/14,14.7,14.7,14.5,14.5,5,1669,24204.3
10/29/14,14.8,14.9,14.8,14.8,5,5180,76672
10/28/14,14.5,14.5,14.5,14.5,1,1000,14500
10/27/14,14.5,14.7,14.5,14.5,4,6145,89367.5
10/24/14,14.7,14.7,14.6,14.7,20,29642,435704.7
10/23/14,14.2,14.7,14.2,14.5,4,3791,54884.7
10/21/14,14.3,14.3,14.1,14.2,11,21025,298677.5
10/20/14,14.8,14.8,14.2,14.2,18,24950,363085
10/17/14,14.4,14.8,14.3,14.5,16,61228,887607
10/16/14,14.6,14.8,14.1,14.5,19,46135,658193
10/15/14,15.1,15.1,14.5,14.6,28,5847702,81908909
10/14/14,15.3,15.5,14.2,14.6,45,261204,3830798.4
10/13/14,15.9,15.9,15.1,15.2,23,67410,1025999
10/10/14,15.8,15.8,15.4,15.5,21,36435,565907.5
10/9/14,15.8,15.8,15.8,15.8,3,2600,41080
10/7/14,15.9,15.9,15.8,15.8,4,25515,405637.6
10/3/14,16,16.1,15.7,15.9,24,40400,644216
10/2/14,16.2,16.2,15.5,15.9,26,31736,505021.5
10/1/14,16.1,16.3,15.8,15.8,16,71601,1143316.3
9/30/14,16.2,16.4,15.8,15.8,48,123822,1987553.6
9/29/14,15.8,16.4,15.8,16,155,374692,6020246.6
9/26/14,15.3,16.3,15.3,15.9,312,840939,13480122.7
9/25/14,14.5,15.3,14.5,15,97,215409,3225827.7
9/24/14,14.1,14.1,14.1,14.1,2,2001,28214.1
9/18/14,14.3,14.6,14.1,14.1,13,67495,959959.3
9/16/14,14.3,14.3,14.2,14.3,2,1012,14470.4
9/15/14,14.3,14.3,14.1,14.1,8,10000,141410
9/12/14,14.2,14.8,14.2,14.8,4,3675,53047.8
9/11/14,14.5,14.5,14.5,14.5,3,30200,437900
9/10/14,14.2,14.8,14.2,14.8,5,1652,23459.6
9/9/14,14.6,14.6,14.2,14.2,3,1546,21969.2
9/5/14,14.3,14.3,14,14.1,13,16617,233898.2
9/4/14,14.7,14.8,14.4,14.4,8,2121,30556.5
9/3/14,14.5,14.7,14.3,14.6,6,14,204.5
9/2/14,14.6,14.9,14.1,14.1,25,24295,353854.3
9/1/14,14.1,14.7,13.9,13.9,22,13260,185427.6
8/29/14,14.3,14.3,14,14,16,6580,92500
8/28/14,14.2,14.8,14.2,14.3,10,3226,46082.8
8/27/14,14.4,14.7,14.3,14.7,12,4540,66248
8/26/14,14.5,14.6,14.4,14.4,11,3026,43625.4
8/25/14,14.5,14.5,14,14.1,12,10865,152801.2
8/22/14,14.7,14.7,14,14.2,20,5206,75342.3
8/21/14,14.1,14.6,14,14.3,20,12554,178326.6
8/20/14,14.6,14.6,14,14.1,25,11300,160873.5
8/18/14,14.3,15,14.3,14.6,12,2466,36285.3
8/15/14,14.7,14.7,14.4,14.4,12,20685,298730.5
8/14/14,14.9,15,14.7,14.7,18,11236,165599.8
