Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,16,16.5,16,16.5,10,986,15868.1
10/12/23,16.2,16.2,15.9,16,33,71664,1149803.3
10/11/23,16.3,16.3,16.1,16.2,22,23211,375834.6
10/10/23,16.5,16.5,16.4,16.5,20,20490,337818
10/9/23,16.3,16.5,16.2,16.5,26,34158,554867.8
10/6/23,16.9,16.9,16.2,16.3,10,10656,175742.7
10/5/23,16.8,16.9,16.5,16.5,13,220115,3631936.1
10/4/23,16.3,16.8,16.2,16.5,17,139415,2291866.9
10/3/23,16.6,16.6,16.3,16.4,27,23929,394044.2
10/2/23,16.6,16.7,16.4,16.6,18,75051,1244291.4
9/27/23,16.1,17,16.1,16.8,12,123938,2008306
9/26/23,16.2,16.9,16.2,16.3,9,979,16196.8
9/25/23,16.4,16.5,16.1,16.2,71,164589,2683570.6
9/22/23,16.5,16.9,16.4,16.5,10,145036,2393094.3
9/21/23,17,17,16.4,16.5,21,73593,1226467.3
9/20/23,16.6,16.9,16.6,16.6,9,2221,36975.8
9/19/23,17.1,17.1,16.5,16.6,19,35324,596195.9
9/18/23,17.5,17.5,16.7,17,26,64512,1091841
9/15/23,16.4,18,16.4,17.4,51,37732,652053.7
9/14/23,16.4,16.5,16.4,16.4,16,5212,85764
9/13/23,16.4,16.5,16.3,16.4,18,12628,207302
9/12/23,16.5,17,16.4,16.5,23,9781,161382.6
9/11/23,16.8,16.8,16.5,16.6,22,23300,386889.2
9/8/23,16.6,16.9,16.5,16.9,26,75750,1269085.2
9/7/23,16.5,16.8,16.4,16.6,17,7998,132121.6
9/6/23,16.4,16.5,16.3,16.4,18,24022,391809
9/5/23,16.4,16.5,16.2,16.5,64,165621,2727286
9/4/23,16.4,16.9,16.3,16.5,39,33774,555284.7
9/1/23,16.4,16.7,16.4,16.5,6,3483,57431.1
8/31/23,16.8,16.8,16.3,16.3,13,2534,41384.2
8/29/23,16.3,16.5,16.3,16.3,26,23939,390372.2
8/28/23,16.3,16.5,16.3,16.4,19,9279,152702.4
8/25/23,16.6,16.9,16.1,16.3,29,13478,219095.5
8/24/23,16.9,16.9,16.3,16.3,23,7860,128718
8/23/23,16.8,16.8,16.2,16.7,9,271,4526.2
8/22/23,16.6,16.8,16.2,16.3,33,33515,545895.7
8/21/23,16.5,16.7,16.4,16.5,18,9190,151216.5
8/18/23,16.7,16.8,16.4,16.4,20,75813,1243545
8/17/23,16.5,16.8,16.4,16.5,18,10979,181753.2
8/16/23,16.4,16.6,16.2,16.5,23,14126,232338.7
8/15/23,16.6,16.7,16.5,16.5,20,124822,2062035.8
8/14/23,16.7,17,16.6,16.6,89,243924,4064570.8
8/11/23,17,17,16.6,16.9,42,63826,1064306
8/10/23,17,17.5,16.8,16.8,18,1066,18267.3
8/9/23,17,17.8,16.9,17,50,293917,4997518
8/8/23,17,17,16.7,16.9,32,7300,123138.2
8/7/23,17,17.5,16.9,17,31,381536,6485814.1
8/4/23,17.2,17.5,16.7,17.2,26,37300,638311.5
8/3/23,17.5,17.8,17.1,17.2,29,16360,282652.8
8/2/23,17.8,18.4,17.6,17.8,94,52924,945450.6
7/31/23,16.5,17.9,16.5,17.4,117,565449,9739940
7/28/23,16.9,16.9,16.3,16.5,71,299746,4950836.4
7/27/23,17,17,16.2,16.5,52,103469,1721977.3
