Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
1/16/17,0.1,0.1,0.1,0.1,128,5012280,501228
1/13/17,0.1,0.1,0.1,0.1,40,2394493,239449.3
1/11/17,0.1,0.2,0.1,0.1,37,2255009,225501.6
1/10/17,0.2,0.2,0.1,0.2,88,2148565,216898.7
1/9/17,0.1,0.2,0.1,0.2,74,303206427,30326194.1
1/6/17,0.1,0.1,0.1,0.1,22,275005,27500.5
5/26/15,2.2,2.5,1.6,1.9,150,1081175,2152745.1
5/25/15,2.2,2.6,2.1,2.1,84,141913,310058.1
5/22/15,3,3,2,2.2,265,274072,616081.4
5/21/15,4.4,4.4,3.4,3.4,54,55391,193451.5
5/20/15,6.2,6.2,4.4,4.5,132,59393,305051
5/19/15,3,9.7,3,5.8,259,229464,1411382.6
9/8/06,0.5,0.9,0.4,0.6,56,190000,116040
9/6/06,0.7,0.7,0.4,0.4,26,67500,32030
9/5/06,1,1,0.7,0.8,48,68000,56720
9/4/06,1.1,1.1,1,1,6,6800,6900
9/1/06,1,1.2,1,1.1,16,27000,29980
8/31/06,0.8,0.8,0.8,0.8,1,700,560
8/30/06,1,1,0.8,0.8,3,8400,8120
5/12/93,,1,1,1,4,666,666
