Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,19,19.3,18.5,18.7,203,851094,16141484.5
10/12/23,18.1,18.8,18,18.8,238,834219,15458140.9
10/11/23,18.4,18.7,17.9,18,192,900928,16344874.3
10/10/23,18.2,18.7,18.2,18.3,111,274989,5058643.4
10/9/23,19,19,18.1,18.3,274,1105309,20481053.7
10/6/23,19.5,19.5,19,19,83,238991,4596547.2
10/5/23,19.8,19.8,19.3,19.5,111,322154,6292758.9
10/4/23,19,19.9,18.5,19.5,250,630151,12029526.7
10/3/23,19.5,19.8,18.8,19.1,219,583794,11237015.3
10/2/23,20,20,19.5,19.5,264,996028,19442987.3
9/27/23,20.1,20.4,20,20.2,219,867925,17550817.1
9/26/23,19.7,20.1,19.5,20,344,1824725,36383299.3
9/25/23,20,20,19.7,19.7,140,232823,4621320.7
9/22/23,19.8,20.3,19.7,20,178,337061,6740464
9/21/23,20.1,20.1,19.6,19.9,173,309739,6129389.9
9/20/23,20.2,20.8,19.7,20,197,330576,6644317.4
9/19/23,21.2,21.4,19.5,19.9,407,1338754,26799787.1
9/18/23,21.2,21.2,20.9,20.9,170,214561,4512117.3
9/15/23,21.5,21.6,21,21.4,112,192993,4103674.1
9/14/23,21.7,22,21.2,21.4,165,227882,4895565.1
9/13/23,21.4,21.8,21.2,21.7,97,755870,16210781.4
9/12/23,21.5,21.6,21.2,21.4,106,186740,3995202.5
9/11/23,21.8,22.2,21.2,21.5,143,364556,7879850.8
9/8/23,22,22.4,21.8,21.9,139,331821,7294319.7
9/7/23,22,22.4,21.8,21.9,147,475455,10435441.2
9/6/23,22.6,22.6,21.7,22,383,1425805,31643472.4
9/5/23,22.2,22.8,22,22.5,752,3399017,76324120.3
9/4/23,21.6,22.1,21.5,22,455,2216520,48751508.5
9/1/23,21.3,21.7,21,21.4,251,1062373,22511339.6
8/31/23,21.5,21.7,21.1,21.2,135,579503,12305500.3
8/29/23,21.1,21.7,20.9,21.3,317,1043594,22151216.7
8/28/23,22.4,22.4,21,21.2,410,1953610,42197500.7
8/25/23,22,22.8,21.4,22.3,467,1623704,35672235.1
8/24/23,22.5,22.5,21.8,22,415,2284883,50349161.9
8/23/23,22.9,22.9,22.4,22.6,504,3692822,83703100.1
8/22/23,22.2,23,21.6,22.8,1099,6207310,139961578.9
8/21/23,22.4,22.8,21.9,22.2,657,2627806,58543603
8/18/23,22.9,23.5,22,22.3,1468,8528994,194456276
8/17/23,20,23,19.7,22.2,2117,15454083,331880939.5
8/16/23,19.2,20,19.2,19.7,505,1974553,38745330.7
8/15/23,19.7,20.2,19.1,19.2,558,1773243,34584822.2
8/14/23,20.5,20.5,19.5,19.9,726,3417155,67722286.3
8/11/23,20.9,20.9,20,20.1,494,2008674,40735521.5
8/10/23,20.1,20.9,20.1,20.7,1096,5769053,118894250.3
8/9/23,20,20,19.5,19.6,485,1687419,33224087.9
8/8/23,20.2,20.4,19.6,20,874,4200454,83792197.7
8/7/23,19.5,20.4,19.2,19.9,2170,15270595,303198551.8
8/4/23,18.6,19.2,18.1,18.6,1185,7944072,149132343.2
8/3/23,16.9,18.9,16.8,18.6,2470,18805401,337724725.6
8/2/23,16.4,16.7,16.3,16.6,375,3356367,55371687.4
7/31/23,16.6,16.7,16.2,16.4,281,1909718,31408127.5
7/28/23,16.3,16.7,16.3,16.3,380,1734668,28588629
7/27/23,15.6,16.2,15.4,16.1,346,1806166,28959521.2
7/26/23,16,16,15.4,15.5,194,569967,8924906.3
7/25/23,15.9,16.1,15.6,15.8,203,1085936,17408277.9
7/24/23,16,16.2,15.8,16,216,626489,10046319.8
7/21/23,16.5,16.5,16,16.2,329,1434679,23196605
7/20/23,16.4,16.7,16.1,16.3,421,2920376,47957064.3
7/19/23,15.5,16.7,15.5,16.4,1047,8099946,131467994
7/18/23,15.2,15.7,14.9,15.5,349,1160606,17871140.1
7/17/23,15,15.3,14.7,15,429,3649120,54781286
