Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/6/22,40,40,40,40,2,8,320
12/5/22,40,40,40,40,2,50,2000
12/2/22,40,40,40,40,1,5,200
11/30/22,36.1,39,36.1,40,2,51,1849.8
11/29/22,40,40,40,40,3,101,4040
11/21/22,39.9,39.9,36.5,36.7,2,53,2104.5
11/15/22,38.1,38.1,36,36.7,5,482,17677.1
11/14/22,42.5,42.5,42.5,42.5,3,230,9775
11/10/22,40.1,40.1,35,35.1,6,1052,36924.2
11/9/22,46.1,46.1,46.1,46.1,3,60,2766
11/3/22,46.5,46.5,46.1,46.1,3,149,6872.9
11/2/22,47,47,45.2,45.3,4,4300,194900
11/1/22,45.1,47.5,45.1,46.5,6,74,3389.6
10/31/22,45,45,45,46.5,3,50,2250
10/28/22,45,47.9,45,46.5,6,200,9290
10/25/22,47,47.3,47,47.3,4,802,37854.2
10/21/22,49.9,49.9,49.9,47,1,2,99.8
10/20/22,47.8,56,45.2,47,7,151,7102.3
10/19/22,45.5,58.3,45.5,48.7,8,206,10028.3
10/18/22,45,45,45,59,1,50,2250
10/13/22,57.8,67.5,57.6,59,17,1381,80200
10/12/22,44.1,58,44.1,56.1,35,977,54835.4
10/11/22,46,46,44.1,46.7,8,70,3182.5
10/7/22,48,48.9,46,46.7,9,378,17643.9
9/28/22,48,54.9,48,49.4,2,6,322.5
9/26/22,52.5,54.7,45,49.4,12,2002,98861.9
9/22/22,51,57.2,51,56.7,4,1140,64615
9/21/22,58.5,58.5,56.9,57,4,609,34716.5
9/20/22,51,51,51,55.5,1,9,459
9/19/22,53,53,53,55.5,1,1,53
9/15/22,51.1,59.9,51.1,55.5,2,100,5550
9/14/22,64.5,64.5,51,64.5,24,2811,180304.4
9/13/22,35,52,35,51.7,5,312,16122
3/30/21,44.5,44.5,44.5,42,1,1,44.5
3/26/21,42,42,42,42,1,293,12306
3/25/21,44,44,42,42,3,30,1288
3/24/21,42,42,42,42,1,100,4200
3/23/21,43.5,44,43.5,43.8,3,139,6093
3/22/21,42,48,42,42.1,7,205,8640
3/17/21,58,58,42,48.6,2,2,100
3/8/21,51.5,52,51.5,48.6,2,19,985.5
3/5/21,43,49.5,43,48.6,10,524,25185.9
3/4/21,48,49,43,43,16,910,40067
3/3/21,49,49,49,52,1,15,735
3/1/21,52.5,52.5,52,52,2,1200,62450
2/25/21,52.5,52.5,49,49.8,8,2330,116090
2/24/21,62,62,53,53.2,7,1089,58137.7
2/23/21,57.9,62.4,57.9,53,6,90,5260
2/22/21,56.9,61,53,53,24,1820,104307.4
2/19/21,57,57,53,53,11,2305,122492
2/18/21,57.9,57.9,54,54,6,596,32251.3
2/17/21,54,54,54,55,1,20,1080
2/16/21,58.1,59,54,55,38,7825,432961.9
2/12/21,71.5,71.7,60,70.4,7,135,9500.5
2/11/21,58.6,73,55,71.1,18,875,58425.2
2/10/21,66.9,75,57,58.6,17,621,42450.7
2/9/21,60,65.9,60,60.1,3,101,6065.9
2/8/21,69.1,74.9,65,69.9,11,1445,100892.2
2/5/21,61.8,69.1,61.8,68.9,19,9340,640642
