Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,17.5,17.5,17,17,17,3807,64826.5
10/12/23,16.8,17.7,16.4,17.2,80,44070,755065.1
10/11/23,16.8,17.4,16.5,16.8,38,28310,470163.8
10/10/23,17.1,17.8,16.8,17.1,69,104862,1784758.6
10/9/23,17.7,18,16.9,17.2,82,94462,1615165.2
10/6/23,18,18,17.8,17.8,24,20946,373073.8
10/5/23,18,18,17.9,17.9,21,27772,499631
10/4/23,17.9,18.3,17.5,18,23,36594,659988
10/3/23,17.5,18.2,17.5,18,31,18257,327522.8
10/2/23,18.4,18.4,17.5,17.7,59,109227,1948141.8
9/27/23,18.4,18.6,18.1,18.2,48,200134,3665360
9/26/23,18.2,18.3,18,18.1,24,22968,414997.6
9/25/23,18.3,18.5,18,18,50,43477,793794.4
9/22/23,18.4,18.4,18,18,33,14546,262177.8
9/21/23,18.5,18.5,18.2,18.2,23,16882,309031
9/20/23,18.6,18.6,18.3,18.6,51,35971,664337.3
9/19/23,18.4,18.6,18.1,18.2,57,38082,695842.7
9/18/23,19.3,19.3,18.1,18.5,58,69129,1276161.9
9/15/23,19.3,19.4,19,19.1,38,13308,254507.4
9/14/23,18.3,19.6,18.3,19.2,245,335708,6416940
9/13/23,18,18.3,18,18.3,63,136222,2480543.4
9/12/23,18.6,18.6,17.8,18.2,62,71882,1285932.3
9/11/23,18.3,18.6,18.2,18.5,118,130189,2400909.8
9/8/23,18,18.6,17.6,18.3,191,341780,6143386.3
9/7/23,17.4,18,17.4,17.6,208,330751,5882843
9/6/23,16.8,17.4,16.8,17.3,100,176823,3013528.3
9/5/23,16.8,17,16.6,16.7,49,76662,1292967
9/4/23,16.5,16.9,16.5,16.5,27,46136,761444.6
9/1/23,16.9,16.9,16.3,16.5,64,148937,2451367.3
8/31/23,16.8,16.9,16.5,16.9,35,35034,586732.9
8/29/23,16.5,16.6,16,16.5,34,85000,1392326.6
8/28/23,16.5,16.7,16.1,16.2,38,48102,789470.1
8/25/23,16.6,16.6,16,16.4,90,252131,4086055.1
8/24/23,16.6,16.9,16.4,16.8,68,102382,1687447
8/23/23,16.6,16.9,16.5,16.7,120,312962,5216062.4
8/22/23,16.8,16.8,16.4,16.7,57,119439,1992290.4
8/21/23,16.1,17,16.1,16.4,73,102865,1721322
8/18/23,16.1,17.4,16,16.1,158,314776,5152701.2
8/17/23,16.6,16.9,16,16.2,107,171195,2796516.9
