Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,48.6,48.6,48.6,45.5,1,7,340.2
10/12/23,45.5,48.6,45.5,45.5,5,1402,63797.2
10/11/23,46.6,48,46.6,46.7,3,172,8025
10/10/23,47.1,47.1,46.5,50,5,80,3741.6
10/6/23,48.8,48.8,48.8,50,2,16,780.8
10/5/23,48.8,48.8,48.8,50,1,10,488
10/4/23,48.8,48.8,48.8,50,6,59,2879.2
10/3/23,48.9,48.9,48.9,50,1,73,3569.7
10/2/23,49.9,49.9,46.5,50,5,32,1591.4
9/27/23,49.9,50,49.9,50,2,30,1498
9/26/23,47.2,50,47.2,50,5,481,23994
9/25/23,50.8,50.9,47,50.7,5,452,22964
9/22/23,51.7,51.7,51.7,51.7,2,100,5170
9/20/23,48.1,51.8,48.1,50.7,3,61,3137.1
9/19/23,51.9,51.9,48.3,50.7,7,140,7102.5
9/18/23,52,52,52,52,2,100,5200
9/15/23,50.8,52,50.8,52,35,5625,290199.6
9/14/23,51,51,48,50.8,7,635,30879
9/13/23,50.9,51.1,47.2,49.1,22,2078,103805.5
9/12/23,48.5,50.9,47,49.6,22,3999,195643.9
9/8/23,48,49,48,48,6,1002,48097.5
9/7/23,47,47,47,48,1,28,1316
9/6/23,46.8,48.5,46.8,48,5,1264,59352.5
9/5/23,48.5,48.5,48.5,48.5,8,677,32834.5
9/4/23,48.5,48.5,48.5,46.7,1,26,1261
9/1/23,46.7,46.7,46.7,46.7,4,100,4670
8/31/23,48.3,48.4,46.7,46.7,8,599,28026.8
8/29/23,48,48,48,46.6,3,21,1008
8/28/23,48.5,48.5,46.6,46.6,6,2136,99556.6
8/25/23,48.5,48.5,48.5,47,3,57,2764.5
8/24/23,48.5,48.5,47,47,3,2010,94485
8/23/23,48.5,48.5,48.3,48.3,3,5,242
8/22/23,48.5,48.5,48,48.3,9,2010,97046.6
8/21/23,46.6,48.9,46,46.4,8,3206,148732.4
8/18/23,48.4,48.5,46.5,46.5,15,7567,362045.7
8/17/23,48.5,48.5,47,47,9,7848,368933.5
8/16/23,47.7,48.9,47.7,48.2,16,1330,64191.5
8/15/23,46,46.5,46,46,4,374,17213
8/14/23,47.9,47.9,46,46.2,21,1407,64872.9
8/11/23,46.1,47.4,46,46,8,2005,92274
8/10/23,48.5,48.5,45,46,64,4641,213177.5
8/9/23,47.9,48.8,47.3,47.6,15,2804,133444.3
8/8/23,49.4,49.4,48,48,9,310,14951
8/7/23,49.4,49.4,49.4,49.4,1,5,247
8/4/23,49.5,49.5,47.5,49.4,12,3434,164677
8/2/23,50,50,49.5,49.6,7,303,15039.2
7/31/23,50,51.4,50,50,7,2320,116028
7/28/23,51.5,51.5,50,50,8,6057,302881.5
7/27/23,50.6,51.5,49.2,50.1,17,7390,375761.9
7/26/23,50,51,50,50.7,15,3660,185154
7/25/23,50.8,50.9,47,50.2,29,6178,309911.3
7/24/23,49.8,50,49.8,50,6,1111,55539
7/21/23,50,50,49.9,49.9,2,21,1048
7/20/23,50.1,50.2,48.2,49.9,8,662,33066.1
7/19/23,51,51.3,50,51,7,1746,89027.8
7/18/23,51.5,51.5,50,50.5,17,875,44006.7
7/17/23,47.8,51,47.8,49.7,49,6391,316550.3
