Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,10.9,10.9,10.5,10.8,43,187254,2006841.2
10/12/23,10.5,10.8,10.5,10.8,50,351176,3745667.5
10/11/23,10.5,10.8,10.5,10.5,109,765908,8162819.6
10/10/23,10.5,10.8,10.5,10.6,55,337586,3548503.8
10/9/23,10.8,10.9,10.3,10.5,177,1869217,19675008
10/6/23,10.9,11,10.8,10.8,39,83046,900257.9
10/5/23,11.3,11.4,10.8,10.9,86,1235690,13566604.8
10/4/23,10.8,11.4,10.8,11.1,84,219698,2409871.6
10/3/23,10.9,10.9,10.6,10.8,77,240669,2594912.4
10/2/23,11,11.1,10.9,10.9,32,95164,1037436.9
9/27/23,11.2,11.2,10.5,11,117,866578,9525202.9
9/26/23,11,11.2,10.9,11,45,260829,2869270.4
9/25/23,11.2,11.3,11,11.1,62,207500,2302857.6
9/22/23,11.2,11.3,11.1,11.2,56,131247,1461693.4
9/21/23,11.4,11.4,11.1,11.2,57,1297212,14630193.4
9/20/23,11.2,11.4,11.2,11.3,66,178939,2026115
9/19/23,11.5,11.5,11,11,209,1048935,11718270.5
9/18/23,11.6,11.8,11.4,11.5,80,1015401,11776695.1
9/15/23,11.7,11.8,11.3,11.6,94,719873,8306419.1
9/14/23,11.8,11.8,11.6,11.7,67,2681682,31128211.9
9/13/23,11.8,11.8,11.7,11.7,38,76217,896480.9
9/12/23,12,12,11.8,11.8,59,290647,3446606.3
9/11/23,12.3,12.3,11.9,11.9,65,330517,3968853.2
9/8/23,12.1,12.2,12,12.1,84,341296,4121066
9/7/23,11.8,12.1,11.8,12,64,422850,5074840.4
9/6/23,12.2,12.4,11.6,11.7,139,1060161,12651459.9
9/5/23,11.6,12.2,11.6,12,144,1413482,16969792.8
9/4/23,11.7,12.2,11.6,12,150,755533,9019388.2
9/1/23,11.5,11.8,11.1,11.5,150,658256,7532142.3
8/31/23,11.9,11.9,11.3,11.5,148,929883,10735536.7
8/29/23,12.2,12.3,11.9,12,144,1335341,16137686.3
8/28/23,12.4,12.5,12.2,12.3,93,488892,6020031.3
8/25/23,12.3,12.5,12,12.4,125,507802,6196865.3
8/24/23,12.5,12.6,12.3,12.3,163,1102581,13693224.9
8/23/23,12.7,12.8,12.4,12.6,191,1224956,15424521.8
8/22/23,12.5,12.9,12.4,12.7,236,691793,8720170
8/21/23,12.9,13,12.4,12.5,290,1015440,12869470
8/18/23,12.6,12.9,12.6,12.9,459,5375554,68338274.7
8/17/23,12.5,12.7,12.4,12.5,263,2980896,37271332.8
8/16/23,12,12.6,11.8,12.5,597,7656056,95384878.8
8/15/23,11.7,12.7,11.7,12,989,8534014,104792552.3
8/14/23,11.2,11.8,11,11.7,414,5148668,58034775.3
8/11/23,11.7,11.7,11.2,11.2,507,4113966,46599633.5
8/10/23,11.2,12.3,11.2,12.1,969,32545557,369789330.1
8/9/23,11.1,11.3,10.9,11,129,865978,9554713.6
