Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/6/21,0.5,0.9,0.5,0.7,153,562074,390316.7
12/3/21,0.6,0.7,0.5,0.5,85,485291,278001.6
12/2/21,0.7,0.8,0.6,0.6,91,332220,223670.5
12/1/21,1.1,1.1,0.6,0.7,241,1641013,1230739.2
11/30/21,1,1.7,1,1.1,344,1474557,1944799.6
11/29/21,2.4,4.9,0.4,1.2,1392,5656664,9540031
3/12/21,0.1,0.1,0.1,0.1,39,1118801,111880.1
3/10/21,0.1,0.2,0.1,0.1,68,780871,78797.3
3/9/21,0.2,0.3,0.1,0.1,88,2993636,398928.6
3/8/21,0.3,0.4,0.1,0.2,114,1549954,311519.2
3/5/21,0.4,0.4,0.3,0.4,45,576158,215786.3
3/4/21,0.3,1.4,0.2,0.5,413,2061367,1543400.4
4/25/19,0.1,0.1,0.1,0.1,1,114,11.4
4/24/19,0.1,0.1,0.1,0.1,2,1001,100.1
4/23/19,0.1,0.1,0.1,0.1,5,25000,2500
4/18/19,0.1,0.1,0.1,0.1,17,78398,7839.8
4/17/19,0.1,0.3,0.1,0.2,29,149927,17006.1
12/1/06,2,2,2,2,2,200,400
