Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
4/30/19,0.1,0.1,0.1,0.1,1,100,10
4/25/19,0.1,0.1,0.1,0.1,1,1,0.1
4/12/05,13.75,15,13.75,14.75,9,6000,88400
4/11/05,14.5,14.5,13.75,13.75,8,15200,215400
4/8/05,15,16,15,15,4,1900,28700
4/7/05,15.25,15.5,14.5,14.5,35,45700,682825
4/6/05,14.25,15.25,14,15,26,54700,801350
4/5/05,13.5,14.25,13.5,14.25,3,10400,147900
4/4/05,15,15,13.5,13.75,6,2500,34375
4/1/05,15,15.5,15,15,4,8100,122150
3/31/05,12.5,15,12.5,12.75,9,21500,274050
3/30/05,12,13,12,12.75,6,16300,207100
12/10/04,4.5,5,4.25,4.5,31,63400,283225
12/9/04,5,5,4.5,4.5,10,10700,53150
12/8/04,4.5,5,4.5,4.75,9,8100,39350
12/7/04,4.25,5,4.25,5,9,19500,95400
12/6/04,4.5,4.5,4.5,4.5,9,9700,43650
12/3/04,4,4.5,4,4.5,17,30200,128475
12/2/04,4.25,4.5,4.25,4.5,5,6000,26075
12/1/04,4,4.5,4,4.5,9,11100,49475
11/30/04,3.5,4.5,3.5,4.5,5,13200,54500
