Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/30/11,31.8,34,30.1,32.9,351,799400,25530850
9/29/11,32.4,33.3,31.7,32.6,328,1160500,37401820
9/28/11,33.5,34,30.7,31.3,303,511300,16255760
9/27/11,33.5,34,31.9,33,59,943000,30314420
9/26/11,32.1,36.2,30.5,31.4,115,873400,27473760
9/23/11,33.2,33.5,32.1,33,23,26600,878600
9/22/11,33.2,35.8,33.2,34.8,26,74300,2529320
9/21/11,33.9,35.7,33.2,35.1,14,22600,777700
9/20/11,34,35.7,34,34.2,81,177800,6066790
9/16/11,33.5,37,33.5,36.7,38,79900,2908620
9/15/11,34.2,34.5,34,34,20,66300,2262090
9/14/11,35.5,35.9,34,35,25,35200,1228600
9/13/11,36.7,37.2,35.5,36.1,26,24500,900570
9/12/11,36.2,37.1,35.2,36.4,49,119200,4364180
9/9/11,37.6,38.9,37,37.6,66,574100,21364080
9/8/11,37.9,40.4,37,38.9,232,482700,18775540
9/7/11,33,37.9,33,36.5,185,477700,17363290
9/6/11,34.6,35,34,34.2,63,472900,16089800
9/5/11,36.5,36.5,34.6,35,47,122100,4319940
9/2/11,34.5,36.2,33.2,35,183,2257200,77813430
9/1/11,31.5,34.5,31.5,32.8,112,860400,28480860
8/30/11,31,32.6,31,32,44,89000,2848170
8/29/11,32,32,31,31.2,14,26100,814540
8/26/11,33,33.1,31.2,31.9,14,13000,408060
8/25/11,30.1,33.5,30.1,32.1,133,299900,9587940
8/24/11,31.9,31.9,30.5,30.7,21,96600,3029980
8/23/11,30.5,32,30.5,31.2,27,118800,3686950
8/22/11,32.3,33.1,30.2,31.6,89,166900,5353020
8/19/11,32.5,34.5,29.9,30,102,289900,9147370
8/18/11,30,37,30,32.1,269,702000,22423610
8/17/11,29.3,30,28.2,29.5,33,40500,1186740
8/16/11,27.5,28.9,27,28.8,36,113600,3163020
8/15/11,28,28,27,27.5,12,16800,462600
8/12/11,28,28,27.7,28,3,1700,47540
8/11/11,27.4,29,27.4,29,8,11800,338720
8/10/11,27.8,27.9,27.3,27.6,8,11600,320540
8/9/11,27.8,27.8,27.8,27.8,1,200,5560
8/8/11,27.1,29.4,27,29.3,16,12100,349260
8/5/11,27.9,27.9,27.8,27.9,2,300,8360
8/4/11,29,29.8,28,29.4,9,9000,263620
8/3/11,30.4,30.4,27.9,27.9,2,800,22570
8/2/11,31,31,26.2,27.8,7,2500,69020
8/1/11,31.9,31.9,30,30,5,5700,171460
7/29/11,29.9,31.9,29.9,30.6,30,162200,4958480
7/28/11,28,29.5,27,28.9,20,27200,768980
7/27/11,27,28,27,28,2,1400,38800
7/26/11,27,28.8,26,28,23,36200,971800
7/25/11,29,32.4,26.1,27.4,62,150100,4404130
7/22/11,24.6,29.9,22.8,27.9,29,94000,2546240
7/21/11,26.7,26.9,25.1,26.1,14,25600,650570
7/20/11,26,28,26,27.7,8,6600,181480
7/19/11,28.1,28.1,26.5,26.8,6,3900,104750
7/18/11,28.5,28.5,28,28.1,12,10100,283700
7/15/11,29,30,28.5,29.3,14,22900,671750
7/13/11,28.8,29,28.8,29,4,1600,46300
7/12/11,29,29,28.1,28.2,6,12500,352980
7/11/11,31.5,31.5,30,30.2,22,46800,1420110
7/8/11,31.8,32.5,31.5,31.9,12,19600,624930
7/7/11,32,32,32,32,14,14600,467200
7/6/11,31.6,33.1,31.6,32.8,11,10600,347940
7/5/11,31.7,32.8,31.6,31.7,6,2400,76080
7/4/11,34,34,32.1,32.1,4,2700,88950
7/1/11,31.7,33,31.7,33,13,90000,2965560
6/30/11,32.9,34.9,31.6,32.9,20,168300,5548910
6/29/11,31.3,32.9,31.3,32,7,3200,102260
6/28/11,32.9,33,31.7,31.8,11,12800,420720
6/27/11,33,33,31.4,31.8,28,83200,2692890
6/24/11,31,34,31,32.9,29,72100,2316340
6/23/11,31.1,33,31,31.5,15,24500,775800
6/22/11,33.2,33.5,30.2,32.3,28,45100,1481270
6/21/11,31,33.5,31,31,22,16400,526940
6/20/11,31.5,32.1,31.5,32,11,7300,233630
6/17/11,32.1,35,32.1,33.2,21,69400,2425860
