Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,46.5,46.9,46.5,46.8,4,997,46674.3
10/12/23,46.8,46.8,46.8,46,1,25,1170
10/11/23,46,46,46,46,2,103,4738
10/10/23,47,47,46.9,46.9,4,354,16602.7
10/9/23,47,47,47,46.9,1,7,329
10/6/23,46.9,46.9,46.9,46.9,3,521,24434.9
10/4/23,47.4,48,47.4,47.6,6,1893,90081.9
10/3/23,44.7,47,44.1,46.8,18,2782,127755.7
10/2/23,45.5,45.5,44.6,44.6,20,1067,48052.4
9/27/23,46.6,46.6,45.5,45.5,11,570,26012
9/26/23,46,46,46,46,5,156,7176
9/25/23,46.5,46.5,46.5,46.7,8,69,3208.5
9/22/23,47,47,46.6,46.7,2,7,327
9/21/23,47,47,47,46.7,3,8,376
9/20/23,47,47,46.7,46.7,2,63,2959.5
9/18/23,48.3,48.3,46.6,46.7,5,35,1649.6
9/15/23,47,47,47,46.7,1,38,1786
9/13/23,48,48,46.6,46.7,5,1132,52900.6
9/12/23,47.1,47.1,47.1,47.1,10,2103,99051.3
9/11/23,47.4,47.4,46.7,47.4,10,71,3352.1
9/8/23,48.7,48.7,47.1,47.4,79,48393,2289348.1
9/7/23,49.9,52,48.6,48.6,12,1395,68904.3
9/6/23,47.9,50,47.9,49.8,6,717,35664
9/5/23,50.1,50.1,47.5,47.6,25,261775,12452335.2
9/4/23,52.4,52.4,52.4,52.1,1,3,157.2
9/1/23,49.9,53.5,49.2,52.1,11,1888,98228
8/31/23,51.5,51.5,49.2,51.5,4,2003,103147.6
8/29/23,51.6,51.6,51.6,51.6,2,345,17802
8/28/23,48.4,52,48.4,51.4,14,5525,268966.9
8/25/23,49,52,48,50.7,37,2921,146284.5
8/24/23,50.5,50.5,50,50.3,6,136,6834
8/23/23,50,52,50,51.9,5,614,31875.5
8/22/23,52.5,52.5,52.5,52.5,1,118,6195
8/21/23,49.5,54,49.5,52.4,11,3088,161652.8
8/18/23,53,53,50.1,52,3,15,757.6
8/17/23,55,55,52,52,12,4680,245880.2
8/16/23,53,57.9,50.1,54.7,38,5592,306102.5
8/15/23,50.9,56,50.2,52.5,66,29125,1520480.4
8/14/23,49,53,49,50.1,20,6366,317283.6
8/11/23,49.8,49.9,49.8,49.8,3,450,22430
8/10/23,49.7,49.9,47,49.7,12,683,33969.9
8/9/23,49.3,49.9,49.3,49.9,15,4275,211804.5
8/8/23,47.1,49.9,47,49.5,22,40843,1921866.1
8/7/23,48,50,47.5,48.8,24,8458,408284
8/4/23,49.5,50.7,47.5,48,13,29521,1406436.3
8/3/23,50,52,48.2,50.4,21,4007,202019.1
8/2/23,47.5,51.8,47.3,47.5,11,2258,108026.4
7/31/23,47.3,49,47.2,47.5,14,200701,9533119
7/28/23,47,49.7,47,49.7,13,206013,9698846.1
7/27/23,45.9,49.8,45.8,46.9,14,44670,2050580.6
7/26/23,45.5,46,45.5,45.8,9,1733,79356.3
7/25/23,45.6,45.6,45,45.2,2,3,135.6
7/24/23,46,46,45.1,45.2,7,1504,68497.7
7/21/23,44.2,46,44,45,37,32377,1450391
7/20/23,44.5,45,44.2,44.4,9,790,35080.5
7/19/23,45.5,45.5,45.5,45.8,1,80,3640
7/18/23,45.5,45.9,44.2,45.8,9,1451,66449.5
7/17/23,46,46,44,45.5,12,6465,294124.1
