Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/15/20,0.3,0.4,0.2,0.3,376,7655590,1866678.6
12/14/20,0.3,0.5,0.2,0.3,269,7301182,2510448.2
12/11/20,0.4,0.4,0.2,0.3,138,2009376,582070.3
12/10/20,0.5,0.5,0.3,0.4,125,9492655,3769880.4
12/9/20,0.6,0.7,0.4,0.5,104,963861,534502.2
12/8/20,0.2,2.2,0.2,0.6,431,3589608,2701933.6
11/27/14,6,6,5,5.7,88,291387,1642424.5
11/26/14,6.6,7,6,6,67,2386206,14461208.4
11/25/14,6.9,7.2,6.5,6.5,40,83361,564387.5
11/24/14,6.5,7,6,6.6,43,222044,1454268.5
11/21/14,8.8,8.8,6,7.3,109,1665356,10371470.7
11/20/14,10.1,11,8.6,8.8,61,211220,2080347.6
