Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,7,7.1,7,7,16,60347,422929
10/12/23,6.8,7,6.7,7,19,52025,357658
10/11/23,6.9,7,6.9,6.9,17,24437,168625.3
10/10/23,7,7,6.9,6.9,19,44900,310036.1
10/9/23,7.2,7.2,6.8,6.8,58,107016,735769
10/6/23,7.2,7.2,7,7,17,40758,286475.2
10/5/23,7.2,7.3,7,7,12,38053,266660.9
10/4/23,6.9,7.3,6.9,7.3,12,6359,46362.3
10/3/23,7.2,7.5,6.9,7,48,121626,855491.8
10/2/23,7.4,7.5,7.3,7.4,33,29508,216633.7
9/27/23,7.7,7.7,7.5,7.5,12,13100,98258.5
9/26/23,7.6,7.7,7.4,7.7,19,27672,211538.7
9/25/23,7.6,7.7,7.4,7.5,11,2835,21502.9
9/22/23,7.6,7.6,7.4,7.5,10,3449,26052.2
9/21/23,7.5,7.6,7.4,7.4,28,101033,749547.7
9/20/23,7.4,7.5,7.4,7.4,15,96123,711510
9/19/23,7.4,7.4,7.3,7.3,36,54284,400051.6
9/18/23,7.4,7.5,7.4,7.4,18,20129,149364.8
9/15/23,7.6,7.6,7.4,7.5,35,48486,360352.6
9/14/23,7.6,7.6,7.5,7.5,31,14747,110739.7
9/13/23,7.6,7.6,7.5,7.6,25,26303,197352.8
9/12/23,7.6,7.8,7.5,7.5,56,152372,1143985.9
9/11/23,7.8,7.8,7.6,7.6,38,97310,739985
9/8/23,7.9,7.9,7.6,7.8,12,1300,10120
9/7/23,7.7,8,7.6,7.6,59,271274,2120743
9/6/23,7.8,7.8,7.5,7.6,29,93771,711404.5
9/5/23,7.6,7.8,7.5,7.7,95,248196,1888608.7
9/4/23,7.6,7.7,7.5,7.6,45,101948,775926.8
9/1/23,8,8,7.6,7.6,50,108578,835847.4
8/31/23,8,8,7.8,7.8,56,103964,812873.4
8/29/23,7.9,8,7.8,8,31,24883,195959.4
8/28/23,7.9,8,7.7,7.8,75,298613,2317659.6
8/25/23,8.1,8.1,7.9,8,40,78923,624691.7
8/24/23,8.1,8.3,7.9,8,58,206488,1654285.2
8/23/23,7.8,8.2,7.8,8.1,47,61588,493531.4
8/22/23,8,8.2,7.8,7.8,100,231469,1827590.8
8/21/23,8.2,8.4,8,8,55,145512,1166018.7
8/18/23,8.5,8.5,7.9,8,163,465924,3772381.7
8/17/23,8.6,8.8,8.2,8.4,144,254722,2126800
8/16/23,8.2,8.7,7.5,8.1,180,669526,5502235.2
8/15/23,8.6,8.8,8.3,8.4,99,248704,2106219.2
8/14/23,8.9,8.9,8.5,8.8,195,526894,4574103.1
8/11/23,8.8,9.3,8.8,9,463,1654376,14952653.4
8/10/23,8.1,8.9,8.1,8.8,670,3389173,28921726.8
8/9/23,7.8,8.2,7.7,8,187,821165,6555424.1
8/8/23,8,8,7.5,7.7,93,308835,2330269.4
8/7/23,7.9,8.1,7.6,7.7,106,451307,3564637.1
8/4/23,7.8,7.9,7.4,7.5,80,447101,3429178.1
8/3/23,8,8,7.6,7.7,29,174394,1333434.6
8/2/23,7.7,8,7.7,7.9,31,43639,342781.8
7/31/23,8,8,7.7,7.8,26,57045,444857
7/28/23,7.6,7.9,7.5,7.6,45,54830,424119.2
7/27/23,7.9,8,7.6,7.7,81,225385,1748248.5
7/26/23,7.7,8.1,7.6,7.7,415,2591344,20580161.2
7/25/23,7.4,7.7,7.3,7.6,73,128765,972651.2
7/24/23,7.6,7.6,7.4,7.4,37,26098,195838.5
7/21/23,7.2,7.6,7.2,7.4,22,279343,2044313.2
7/20/23,7.4,7.5,7.2,7.4,25,52221,386888.9
7/19/23,7.4,7.4,7.2,7.3,34,47580,345524.7
7/18/23,7.3,7.4,7.2,7.2,27,35211,257951
7/17/23,7.5,7.6,7.3,7.4,18,25097,185953
7/14/23,7.6,7.6,7.3,7.4,40,38368,283912.8
7/13/23,7.6,7.6,7.4,7.4,21,29766,222813.8
7/12/23,7.6,7.6,7.4,7.5,50,94946,713313
7/11/23,7.5,7.7,7.4,7.7,57,328412,2511312
7/10/23,7.3,7.6,7.3,7.5,24,166610,1246128.1
7/7/23,7.6,7.6,7.3,7.3,24,20735,151973.8
7/6/23,7.3,7.6,7.2,7.4,19,34241,251947.3
7/5/23,7.2,7.6,7.2,7.4,58,164723,1234791
7/4/23,7.3,7.4,7.1,7.4,32,36298,265042.1
6/28/23,7.4,7.4,7.2,7.2,11,1406,10265.8
6/27/23,7.3,7.4,7.1,7.3,26,87817,639601.2
6/26/23,7.3,7.4,7.3,7.4,10,135,997.3
6/23/23,7.4,7.4,7.2,7.4,12,13161,97281.1
6/22/23,7.3,7.4,7.2,7.3,11,11904,86876.3
6/21/23,7.2,7.3,7,7.2,24,17664,125638.1
6/20/23,7.1,7.5,7.1,7.1,9,3060,21733.6
6/19/23,7.1,7.1,6.9,7.1,24,93874,656328
6/16/23,7.1,7.4,7.1,7.4,9,18000,132900
6/15/23,7.2,7.5,7.2,7.2,7,50858,366190.2
6/14/23,7.5,7.5,7.3,7.3,15,56447,420794
6/13/23,7.4,7.6,7.4,7.4,44,205833,1537899.1
6/12/23,7.4,7.4,7,7.3,38,75487,545432.2
6/9/23,7.3,7.4,7.1,7.2,35,65219,473343
