Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,9.6,10,9.5,9.9,178,895349,8768701
10/12/23,10,10,9.5,9.7,327,1288958,12503185.9
10/11/23,10.4,10.6,9.8,9.9,419,2144756,21515644.9
10/10/23,10.5,10.9,10.4,10.5,201,477058,5033838.1
10/9/23,10.8,10.8,10.3,10.4,189,1345601,14142463.1
10/6/23,10.9,11.1,10.8,10.8,122,200109,2171716.2
10/5/23,11.3,11.3,10.8,10.9,154,375912,4107781.5
10/4/23,10.7,11.2,10.4,11,518,2404882,26027670.4
10/3/23,11.3,11.3,10.7,10.8,239,1427616,15625740.1
10/2/23,11.4,11.7,11,11.1,203,1806105,20302873
9/27/23,11.5,11.6,11.3,11.4,200,2005312,22983137.7
9/26/23,11.4,11.7,11.4,11.5,90,562770,6510461.3
9/25/23,11.9,11.9,11.4,11.4,268,1718755,19796958
9/22/23,11.8,12,11.6,11.7,280,2018213,23633715.6
9/21/23,12.3,12.3,11.8,11.9,383,1947452,23395679.6
9/20/23,11.9,12.3,11.8,12.2,854,3470848,41988251.7
9/19/23,11.8,12,11.6,11.6,171,1100818,12875515.9
9/18/23,11.9,12,11.6,11.7,160,643238,7570264.8
9/15/23,11.9,11.9,11.6,11.6,101,478410,5578805.3
9/14/23,11.7,12,11.5,11.8,126,1108541,13004603.6
9/13/23,11.9,12,11.7,11.8,155,1435007,17148148.8
9/12/23,12,12.1,11.8,12,107,832400,9964613.2
9/11/23,12,12.1,11.8,11.9,138,927464,11107239.9
9/8/23,12.3,12.4,12,12,261,1475769,17867718.7
9/7/23,11.8,12.4,11.6,12.2,689,6577549,79800167.7
9/6/23,11.7,11.8,11.4,11.5,192,1883038,21792816.9
9/5/23,11.7,11.7,11.5,11.6,211,2887332,33274591.4
9/4/23,11.7,11.8,11.5,11.5,126,864506,9963830.2
9/1/23,11.5,11.8,11.4,11.7,188,915583,10552688.1
8/31/23,11.5,11.7,11.4,11.5,123,740830,8544648
8/29/23,11.7,11.7,11.4,11.5,201,1205775,13922517
8/28/23,11.6,11.9,11.5,11.8,192,614488,7174359.8
8/25/23,11.8,11.8,11.5,11.5,178,915757,10561067.9
8/24/23,11.8,12,11.6,11.7,159,1042625,12178305.2
8/23/23,12.1,12.1,11.6,11.8,307,2000029,23646253.9
8/22/23,11.5,12.1,11.5,12,458,3623906,43071437.4
8/21/23,11.9,11.9,11.3,11.4,359,2798236,32132891.9
8/18/23,12.4,12.4,11.6,11.8,455,3398377,40344065.2
8/17/23,12.6,12.6,12,12.1,320,2819740,34482852.6
8/16/23,12.1,12.6,11.8,12.5,761,9419709,115451171.3
8/15/23,12,12.6,11.9,12.1,1657,20297016,248241391.2
8/14/23,11.5,11.7,11.2,11.6,361,3856438,44365702.5
8/11/23,11.7,11.8,11.5,11.6,217,2556833,29741283.9
8/10/23,11.9,12,11.6,11.8,519,4200352,49521154.6
8/9/23,10.9,11.8,10.9,11.7,1025,10379159,119816789.6
8/8/23,11.3,11.3,10.9,10.9,196,1441794,15759740.8
8/7/23,11.3,11.4,11,11.2,312,2144295,23866090.4
8/4/23,11,11.3,11,11.2,312,2747123,30490106.5
8/3/23,11,11.2,10.8,10.9,416,2345686,25739665.8
8/2/23,11,11.5,11,11.1,249,1424726,15902952.8
7/31/23,11,11.4,10.9,11.3,239,1084319,12149334.8
7/28/23,11.2,11.4,10.8,11,660,3510018,38639178.1
7/27/23,11.1,11.5,11,11.2,309,1752941,19662849.7
7/26/23,11.4,11.6,11.2,11.2,181,797856,9078581.7
7/25/23,11.4,11.6,11.1,11.4,366,2772283,31647169.8
7/24/23,11.8,11.8,11.4,11.4,206,933512,10814018
7/21/23,12,12.1,11.6,11.7,490,3785848,44673317.1
7/20/23,11.5,12.1,11.4,11.9,1501,14989859,176783166.6
7/19/23,10.9,11.4,10.7,11.1,842,7137974,78417937.8
7/18/23,11.3,11.4,10.7,10.8,683,4877197,53617007.8
7/17/23,11.6,11.6,11.1,11.2,585,1941067,21836618.8
