Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/19/20,0.1,0.2,0.1,0.1,300,17252748,1725553.8
11/18/20,0.1,0.2,0.1,0.1,277,6864888,688414.8
11/17/20,0.2,0.2,0.1,0.1,57,672323,95224
11/16/20,0.1,0.2,0.1,0.1,59,1513095,256825.5
11/13/20,0.2,0.2,0.1,0.1,88,1775717,289720.5
11/12/20,0.2,0.5,0.1,0.2,527,12033242,2614097.9
4/29/14,0.1,0.1,0.1,0.1,14,1100010,110001
4/28/14,0.1,0.2,0.1,0.1,31,781201,78140.1
4/25/14,0.1,0.1,0.1,0.1,23,1053922,105392.2
4/24/14,0.2,0.3,0.1,0.1,51,3294388,333950.5
4/23/14,0.2,0.2,0.2,0.2,39,716636,143327.2
4/22/14,0.3,0.5,0.2,0.3,50,328590,90828
4/25/12,0.1,0.2,0.1,0.1,147,10977824,1118293.4
4/24/12,0.1,0.1,0.1,0.1,5,21700,2170
4/23/12,0.1,0.2,0.1,0.1,239,7404359,761160.2
4/20/12,0.2,0.3,0.1,0.2,195,6548634,1295756.8
4/19/12,0.4,0.4,0.2,0.2,283,7470383,2296158.3
4/18/12,0.5,0.9,0.3,0.4,1130,42479959,26292196.6
