Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/17/23,712,715,712,808.5,2,24,17157
5/16/23,799.75,899,700.5,808.5,29,196,157821.25
5/15/23,684.75,800,684.75,747,23,199,148671.25
4/26/23,655.25,655.25,655.25,670,4,5,3276.25
4/24/23,657.5,670,657.5,670,14,324,214938
4/18/23,737.5,800,737.5,800,15,288,229544.75
4/17/23,605.25,717,605.25,711.25,10,137,97027.5
4/6/23,604.25,605.25,604.25,696.25,4,5,3025
4/4/23,601.25,601.25,601.25,696.25,1,1,601.25
3/31/23,699.5,699.5,699.5,696.25,1,2,1399
3/21/23,687.5,688,687.5,696.25,4,28,19262.75
3/20/23,640,687.5,640,696.25,3,4,2698
3/16/23,582,582,582,696.25,1,1,582
2/16/23,648,650,648,696.25,3,30,19450.75
2/13/23,551.5,600,551.25,696.25,3,29,16035.25
2/8/23,622.75,622.75,622.75,696.25,1,10,6227.5
2/1/23,697,697,697,696.25,1,4,2788
1/31/23,696,696,696,696.25,1,2,1392
1/30/23,619,799.5,619,696.25,9,46,29328.75
1/23/23,560.5,560.5,560.5,696.25,1,2,1121
1/3/23,699.5,699.5,699.5,696.25,1,1,699.5
12/29/22,669.5,669.5,669.5,696.25,1,10,6695
12/21/22,665,665,665,696.25,1,1,665
11/30/22,668,668.75,668,696.25,3,21,14036.25
11/24/22,550.5,626,525.25,696.25,3,32,17413.75
11/22/22,725.5,725.5,725.5,696.25,1,10,7255
11/8/22,696,696,696,696.25,1,1,696
11/2/22,692,692,692,696.25,1,1,692
10/31/22,700,700,700,696.25,1,1,700
10/28/22,708,708,708,696.25,1,1,708
10/13/22,600,705,600,696.25,9,88,52905
10/12/22,600,600,600,696.25,3,8,4800
10/6/22,696.25,696.25,696.25,696.25,1,4,2785
10/4/22,696.25,703,696.25,696.25,10,20,13991.5
10/3/22,696.5,702,696.25,696.25,3,3,2094.75
9/30/22,696.25,696.5,696.25,696.25,3,243,169191.25
9/29/22,696,696,690,557.5,2,3,2076
9/26/22,630,630,630,557.5,1,15,9450
9/12/22,630,630,630,557.5,1,1,630
9/7/22,689.75,689.75,689.75,557.5,1,1,689.75
9/2/22,689.75,689.75,689.75,557.5,1,1,689.75
9/1/22,680.25,680.25,680.25,557.5,1,1,680.25
8/31/22,679.75,679.75,679.75,557.5,1,1,679.75
8/26/22,675,675,675,557.5,1,1,675
8/24/22,601.25,601.25,601.25,557.5,2,11,6613.75
8/23/22,690.5,691,690.5,557.5,6,22,15194
8/19/22,689.5,689.5,595,557.5,3,12,7329
8/16/22,650.5,690.5,582,557.5,5,13,8545
8/12/22,650.5,650.5,650.5,557.5,1,2,1301
8/2/22,560,560,560,557.5,1,2,1120
7/29/22,655.5,655.5,655.5,557.5,1,1,655.5
7/27/22,572.5,572.5,572.5,557.5,2,54,30915
7/27/22,572.5,572.5,572.5,557.5,2,54,30915
6/30/22,649,649,649,557.5,1,1,649
6/22/22,601,601,600,557.5,2,21,12610
6/20/22,633,633,633,557.5,1,10,6330
6/13/22,580,580,580,557.5,2,5,2900
6/9/22,600,600,600,557.5,1,10,6000
6/2/22,558,594.75,550,557.5,14,119,66351.25
5/30/22,608,608,608,608.75,1,73,44384
5/27/22,744,744,562,608.75,4,4,2780
5/26/22,745,745,745,608.75,1,1,745
5/25/22,651,651,651,608.75,1,3,1953
5/24/22,621,621,620,608.75,4,14,8683.5
5/23/22,651,748,651,608.75,4,4,2750
5/19/22,620,620,620,608.75,1,1,620
5/18/22,620,620,620,608.75,1,1,620
5/17/22,700,700,700,608.75,3,8,5600
5/12/22,605,605,605,608.75,2,2,1210
5/4/22,604,604,604,608.75,1,1,604
4/28/22,505,505,501,608.75,3,25,12542
4/27/22,551,551,551,608.75,1,1,551
4/25/22,526,526,525,608.75,3,27,14176
4/4/22,551,551,551,608.75,3,12,6612
3/28/22,610.25,610.25,610.25,608.75,1,3,1830.75
3/25/22,611.25,611.25,611.25,608.75,1,25,15281.25
3/24/22,650,650,650,608.75,1,1,650
3/15/22,612,612,612,608.75,1,3,1836
3/10/22,735,735,735,608.75,1,5,3675
3/9/22,686.75,745,686.75,608.75,3,3,2171.75
3/8/22,650,686.75,600,608.75,13,170,103883.25
3/7/22,650,655,650,650.25,6,112,72820
3/4/22,635,640.5,632,731.75,5,31,19715.25
3/2/22,699,700,699,731.75,6,36,25194
2/28/22,700,804,700,731.75,6,42,29504
2/24/22,651,651,650.5,731.75,7,44,28630.5
2/23/22,700.25,700.25,700,731.75,2,6,4200.25
2/18/22,797,797,797,731.75,2,2,1594
2/17/22,798,798,798,731.75,1,10,7980
2/14/22,796,796,750,731.75,9,61,47495
2/11/22,760,760,760,731.75,1,21,15960
2/10/22,750.25,750.25,701.5,731.75,13,181,132461.25
2/9/22,750.5,760,750,751.25,4,160,120128
2/8/22,810.25,810.25,716,833,4,4,3122.75
2/7/22,850,899,850,833,3,11,9821
2/2/22,920,920,899.5,833,2,15,13595
2/1/22,825,919,825,833,9,213,176638.75
1/31/22,850,890,850,890.5,3,4,3440
1/28/22,889.5,920,889,890.5,14,122,108629.25
1/27/22,803,876.75,803,889.75,14,45,37753.75
1/26/22,870,870,800,889.75,9,56,47190
1/25/22,875,1025,850,889.75,15,150,133475.5
1/24/22,799,875,799,821,60,2413,1953907.5
1/21/22,751,799,750,700,7,66,50483.5
1/20/22,735,735,735,700,1,4,2940
1/19/22,732.5,735,732,700,4,21,15376
1/18/22,735,735,735,700,1,25,18375
1/13/22,730,730,730,700,3,40,29200
1/12/22,790,790,790,700,1,10,7900
1/5/22,705,706,700,700,4,47,33110
1/4/22,700,700,700,700,1,9,6300
12/31/21,700.25,780,700.25,700,5,7,5220.5
12/30/21,701,701,701,700,3,40,28040
12/23/21,700,700,700,700,2,100,70000
12/22/21,701,701,701,709.25,1,5,3505
12/21/21,701,701,701,709.25,1,5,3505
12/20/21,700,799,700,709.25,5,108,76590
12/17/21,701,701,701,723,1,10,7010
12/15/21,700,700,700,723,4,9,6300
12/14/21,700,725,700,723,4,23,16373
12/8/21,700,700,700,723,1,90,63000
12/7/21,680,700,680,723,2,63,44080
12/6/21,723,723,675.25,723,8,48,33883.5
12/3/21,720,725,720,723,6,102,73749
12/2/21,676,720,676,717.75,10,183,130660.5
12/1/21,675,675.25,670,723.25,5,5,3370.25
11/30/21,675,700,675,723.25,3,31,20950
11/29/21,699.75,699.75,660,723.25,2,4,2719.5
11/25/21,675,713.75,675,723.25,2,51,34463.75
11/19/21,680,710,670,723.25,7,98,66435.5
11/17/21,677,677,670,723.25,3,50,33570
11/15/21,717.25,717.25,717.25,723.25,1,30,21517.5
11/10/21,715,715,700,723.25,3,12,8430
11/3/21,720,720,715,723.25,2,11,7870
11/2/21,640.25,640.25,640.25,723.25,1,10,6402.5
11/1/21,720,720,720,723.25,1,2,1440
10/15/21,721,721,721,723.25,1,3,2163
10/14/21,720,722,720,723.25,3,3,2164
10/7/21,660.75,699.5,660.75,723.25,5,20,13942.5
10/1/21,718.5,718.5,718.5,723.25,1,50,35925
9/28/21,657.25,657.25,657.25,723.25,1,1,657.25
9/27/21,724.75,725,700,723.25,5,117,84610.25
9/22/21,774.25,774.25,774.25,654.5,1,1,774.25
9/7/21,699,699,644,654.5,2,2,1343
9/3/21,699,699,645.25,654.5,3,31,20486.5
9/2/21,643.5,699,641.75,654.5,9,130,85072.25
9/1/21,698.75,698.75,698.75,678,4,40,27950
8/31/21,674,699,674,678,3,6,4169
8/27/21,650,650,641,678,2,10,6419
8/25/21,699.75,699.75,699.75,678,1,3,2099.25
8/24/21,640,640,640,678,2,3,1920
8/19/21,660,660,640,678,6,63,41250
8/17/21,603,699.75,603,678,2,52,32517
8/13/21,661,661,654,678,7,30,19686
8/12/21,670,670,663,678,3,15,10034.25
8/11/21,675,675,671,678,4,13,8771
8/10/21,675,675,675,678,1,3,2025
8/9/21,679,679,679,678,1,1,679
8/6/21,680,680,680,678,1,1,680
8/5/21,678,678,678,678,1,3,2034
8/4/21,678,678,678,678,3,100,67800
8/3/21,678,680,678,680,4,25,16998
8/2/21,678.25,680,677,680,7,85,57758.25
7/30/21,680,680,680,680,6,50,34000
7/29/21,685,685,685,680,2,13,8905
7/28/21,700,700,680,680,12,161,109700
7/27/21,677,677,676,670.5,4,60,40562
7/22/21,707,768,655.25,670.5,9,30,21161
7/20/21,705,705,705,670.5,1,2,1410
7/16/21,703.5,703.5,703.5,670.5,1,1,703.5
7/15/21,731,732,731,670.5,4,56,40966
7/14/21,759.75,770,759.75,670.5,6,6,4579.5
7/13/21,768,768,768,670.5,1,2,1536
7/12/21,711.25,711.25,711.25,670.5,1,1,711.25
7/9/21,778.5,778.5,750,670.5,4,4,3057
7/8/21,703.75,703.75,703.25,670.5,6,15,10552
7/7/21,779.25,779.75,702.75,670.5,4,24,18626.75
7/6/21,779,779,778.75,670.5,5,17,13242.75
7/5/21,779.75,779.75,672,670.5,4,14,10693.5
7/2/21,660,660,660,670.5,1,1,660
6/30/21,680.25,799,680.25,670.5,2,2,1479.25
6/22/21,735,735,735,670.5,1,10,7350
6/21/21,745,745,745,670.5,1,1,745
6/16/21,705,705,700,670.5,2,2,1405
6/15/21,716.25,716.25,716,670.5,4,7,5013
6/11/21,789,789,789,670.5,1,10,7890
6/9/21,711.75,711.75,711.75,670.5,1,1,711.75
6/3/21,789.75,810,789.75,670.5,2,2,1599.75
6/2/21,770,790,750,670.5,5,7,5410
6/1/21,700.25,750,625,670.5,15,114,76428.25
5/31/21,820,820,820,817.25,2,11,9020
5/20/21,730,765,730,817.25,4,4,3000
4/19/21,798.75,798.75,798.75,817.25,1,1,798.75
4/9/21,750,750,750,817.25,2,2,1500
3/31/21,821.75,822,821.75,817.25,3,10,8218
3/17/21,814.75,814.75,665,817.25,2,2,1479.75
2/25/21,817.75,817.75,817.75,817.25,1,1,817.75
2/24/21,721,721,721,817.25,2,20,14420
2/23/21,710.25,720,710.25,817.25,2,27,19391.25
2/16/21,800,800,800,817.25,2,27,21600
2/11/21,800,800,800,817.25,2,33,26400
2/10/21,800,800,800,817.25,1,4,3200
2/9/21,800,800,800,817.25,2,17,13600
2/8/21,800,800,800,817.25,3,13,10400
2/1/21,798.75,849.5,798.25,817.25,9,39,31664.5
1/29/21,810,838.75,796.25,817.25,9,39,31495.5
1/27/21,830.75,830.75,805,817.25,19,130,106392
1/26/21,875,875,875,915.2,1,1,875
1/25/21,880,880,880,915.2,2,12,10560
1/22/21,870,870,820.5,915.2,6,74,61715.75
1/21/21,816,869,816,915.2,4,45,38045
