Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/8/21,0.1,0.1,0.1,0.1,4,1003,100.3
6/7/21,0.1,0.1,0.1,0.1,17,5614,561.4
6/4/21,0.1,0.1,0.1,0.1,1,1750,175
6/3/21,0.1,0.1,0.1,0.1,13,400010,40001
6/2/21,0.1,0.1,0.1,0.1,1,10000,1000
6/1/21,0.1,0.1,0.1,0.1,5,162000,16200
5/31/21,0.1,0.1,0.1,0.1,14,112009,11200.9
5/28/21,0.1,0.1,0.1,0.1,3,4531,453.1
5/25/21,0.1,0.1,0.1,0.1,5,5510,551
5/24/21,0.1,0.1,0.1,0.1,14,1628805,162880.5
5/21/21,0.1,0.1,0.1,0.1,167,41165010,4116501
7/11/05,0.3,0.3,0.1,0.2,117,756900,167230
7/8/05,0.1,0.4,0.1,0.3,46,94500,27230
7/7/05,0.1,0.1,0.1,0.1,2,1400,140
7/6/05,0.1,0.1,0.1,0.1,17,23500,2350
