Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/28/19,9,9,6,6.6,142,527597,3597645.2
11/27/19,6.5,7.8,5.8,7.2,73,179088,1240541.7
11/26/19,6,7.6,6,6.9,67,77107,489307.1
11/25/19,5.5,7,5.5,5.7,48,181555,1034766
11/22/19,8,8,5,6.7,45,130697,717811.4
11/21/19,5.1,10,5,6,18,24596,140254.4
5/23/06,0.1,0.1,0.1,0.1,54,892600,89260
5/22/06,0.2,0.2,0.1,0.1,82,844600,105420
5/19/06,0.3,0.3,0.1,0.2,35,122700,24670
5/18/06,0.3,0.3,0.2,0.2,37,482800,112340
5/17/06,0.4,0.4,0.3,0.3,10,61900,20070
5/16/06,0.3,0.4,0.3,0.4,29,145500,55880
5/15/06,0.4,0.4,0.3,0.3,24,201700,61910
5/10/06,0.6,0.6,0.5,0.5,33,139000,69600
5/9/06,0.5,0.6,0.5,0.6,32,155800,86060
