Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,12.6,12.6,12.6,12.2,1,60,756
10/12/23,12.4,12.4,12,12.2,9,4030,49299.5
10/11/23,12.6,12.6,12.6,12.3,1,25,315
10/10/23,12.3,12.3,11.7,12.3,12,9840,120036.2
10/9/23,12.4,12.4,12,12.1,5,2920,35306
10/6/23,12.3,12.3,12.3,12.4,1,75,922.5
10/5/23,12.4,12.4,12.4,12.4,4,1450,17980
10/4/23,12.6,12.9,12.3,12.4,5,667,8347.3
10/3/23,12.6,12.6,12.5,12.5,12,5196,64993
10/2/23,13.3,13.3,12,12.2,62,52449,640699.5
9/27/23,12.8,13.2,12.8,13,8,1324,17170.8
9/26/23,12.9,13.2,12.6,12.9,34,12181,154655.6
9/25/23,13.9,13.9,12.8,12.8,47,86786,1117466.8
9/22/23,13.3,13.8,13.1,13.2,11,11703,153910.4
9/21/23,13.5,13.5,13.5,13.5,7,4111,55498.5
9/20/23,13.9,13.9,13.6,13.8,5,1002,13873.3
9/19/23,13.9,13.9,13.5,13.3,3,59,797.3
9/18/23,14,14,13.2,13.3,32,36097,481278.5
9/15/23,13.9,14,13.4,14,34,25844,354544
9/14/23,14.2,14.2,13.6,13.6,13,1263,17229.6
9/13/23,14,14,13.5,13.6,38,49626,675725.2
9/12/23,14.4,14.4,13.8,13.8,16,17374,240025.7
9/11/23,14.4,14.4,14,14,29,39373,551668.3
9/8/23,14.5,14.5,14.2,14.2,19,16608,235902.4
9/7/23,14.6,14.6,14.1,14.1,21,17132,242382.6
9/6/23,14.2,14.2,14.2,14.2,5,10100,143420
9/5/23,14.2,14.7,14.2,14.2,16,12887,183085.9
9/4/23,14.6,14.6,14.2,14.2,3,1869,26647.4
9/1/23,14.7,14.7,14.2,14.2,11,4426,63316.2
8/31/23,14.7,14.7,14.4,14.6,5,124,1807.8
8/29/23,14.3,14.4,14.3,14.3,2,110,1574
8/28/23,14.8,14.8,14.8,14.2,1,1,14.8
8/25/23,14.5,14.8,14.1,14.2,35,61069,867343.6
8/24/23,15,15,14.5,14.5,4,2505,36324.2
8/23/23,15,15.2,14.4,14.4,23,30952,458330.2
8/22/23,15.2,15.2,15,15,9,108080,1621200.2
8/21/23,15.1,15.2,14.6,15,39,137191,2061227.8
8/18/23,14.6,15.5,14.1,15.1,177,346860,5209989.9
8/17/23,14,14.5,13.6,14.1,29,11870,167396.1
8/16/23,13.6,14,13.6,13.7,12,20781,284692.2
8/15/23,13.5,13.7,13.5,13.5,4,3569,48194.5
8/14/23,13.8,13.8,13.7,13.7,10,15000,205860
8/11/23,13.8,13.8,13.5,13.7,13,2571,34904.7
8/10/23,14,14,13.8,13.8,4,2243,31255.2
8/9/23,14.5,14.5,13.8,13.8,3,1209,16690.5
8/8/23,14.1,14.4,13.8,14,16,24547,344472.8
8/7/23,14.6,14.9,14.4,14.5,23,17165,249808
8/4/23,14.8,15,14.6,14.6,13,7208,105439.2
8/3/23,15,15,14.6,14.7,40,133629,1992697
8/2/23,14.9,14.9,14.7,14.7,4,2079,30577.1
7/31/23,15,15.2,14.9,14.9,16,126841,1902815
7/28/23,15,15,14.4,14.7,29,146611,2199022.6
7/27/23,14.4,14.9,14.4,14.8,36,42002,620591.1
7/26/23,14.8,14.8,14.3,14.5,17,39398,568400.8
7/25/23,14.5,14.9,14.5,14.8,19,11421,168642.3
7/24/23,15.1,15.1,14.7,15,35,52365,785412.2
7/21/23,14.5,15.3,14.5,15,35,195127,2926891.7
7/20/23,15.1,15.1,14.7,15,37,74069,1110907.9
7/19/23,14.3,15.3,14.3,15,60,121707,1819070.6
7/18/23,13.6,14.2,13.6,14.2,31,51538,726582.3
7/17/23,13.5,14.1,13.5,14,39,54204,757475.6
