Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/22,24.5,24.5,22,23.4,210,488977,11636688.4
3/11/22,29.5,29.5,21.5,23.3,79,358511,8767598
3/10/22,21.8,29.3,21,24.9,170,172671,4178140.9
3/9/22,24,25.4,19,20,141,109396,2282041.6
3/8/22,26.7,29,22,23.5,199,1371973,33563332.3
3/7/22,34.9,36,26,27.1,1102,5097619,151328488.6
3/4/22,34.5,36,32.3,34.6,96,451757,15573265.5
3/3/22,33.9,35.6,32.5,34.7,52,714845,24334144.3
3/2/22,35,36,32.6,33.7,90,302250,10442891.3
2/28/22,33.5,37,33.5,35.4,314,1029752,37068832.7
2/25/22,26.3,36.9,26,34.3,224,590786,17909728.6
2/24/22,30.5,31,26.6,27.1,113,289674,8197416.1
2/23/22,31.5,31.9,23.1,28.9,97,248701,6793808.3
2/22/22,30.8,33.4,29.9,30,136,488223,14966154.6
2/21/22,33.2,35.7,31.3,31.9,130,339689,11393576.7
2/18/22,38,38,33.2,35,273,876451,31700240.8
2/17/22,36,38.9,35,37,575,1877368,70403979.2
2/15/22,28.9,35.1,27.9,34.9,1024,4321483,142602323.2
2/14/22,28,29,27.6,28.1,55,193619,5427307
2/11/22,27.1,29.3,27,28.9,81,278054,7998006.8
2/10/22,26.1,29,25.5,27.9,124,380486,10637084.9
2/9/22,28.6,29.9,26,26.1,256,1327506,35675496.4
2/8/22,30,31.9,28,28.5,776,3208679,94704360.7
2/7/22,24,28.7,24,28.7,1118,4038721,111324852.7
2/3/22,22,24.1,21.5,23,317,1241759,28110369.7
2/2/22,17.7,22.5,17.6,21.7,271,866898,18648368.5
2/1/22,18.5,18.5,17,17.6,39,63346,1122853.2
1/31/22,18.5,18.5,17.5,18.2,24,30746,556433.5
1/28/22,17.8,18.8,17.4,18.1,57,98078,1757204.9
1/27/22,18.9,20,17.9,18.1,44,72091,1311063.4
1/26/22,19,19.7,18.7,19,11,5551,105350.6
1/25/22,20.4,20.4,19,19.3,60,142446,2777180.3
1/24/22,19,19.7,18.4,19.4,36,93815,1815446
1/21/22,20.2,20.2,19.3,19.5,16,5147,100305.5
1/20/22,19.2,20.4,19.2,20,77,268808,5374085.8
1/19/22,19,20,18.4,18.9,69,252515,4773333.8
1/18/22,20.2,20.5,18,18.4,138,305811,5679527.9
1/13/22,20.4,20.4,19,20,63,102228,1969543.6
1/12/22,22.8,23.2,19.4,19.6,148,407555,8032523.8
1/11/22,20,23.9,19.1,21.5,150,294959,6163125.4
1/10/22,20.6,21.2,19,20.9,123,288986,5820336.7
1/7/22,22.2,22.4,19.1,20.3,298,472862,9678468.4
1/6/22,27,28,22.2,22.4,991,2071801,48833016.8
1/5/22,29.8,34,28.3,29.5,667,2473089,75795822.6
1/4/22,28,28.6,25.7,27.7,152,689331,19116549.2
1/3/22,28,29,25.7,28.1,268,1215870,33616773.9
12/31/21,23.4,27.7,23.1,26.8,430,2276509,60496294
12/30/21,25.5,27.8,23.3,23.7,252,895474,21897521.3
12/29/21,24.2,26.9,23.3,26.2,552,8860309,211129241
12/28/21,22,25,22,23.6,406,4434190,103948603.8
12/27/21,23,23.6,21.8,22,48,239474,5383785.8
12/24/21,22.8,23.4,22,22.7,49,366916,8333787
12/23/21,23.5,23.5,22.4,22.8,137,930803,21205189.4
12/22/21,20.5,23.3,20.3,22.8,323,1276978,28546546
12/21/21,19.5,20.9,18,19,92,287439,5627482.9
12/20/21,20,21,19.5,19.7,56,51806,1042452.4
12/17/21,21,21,19.8,20,40,140747,2851620
12/16/21,22,22.5,19.6,19.8,100,153853,3148218.2
12/15/21,23,23,20.5,21.3,78,112415,2419465.1
12/14/21,21.5,25.2,20,22.7,676,4210653,91662720.6
12/13/21,17,21.5,17,20.2,223,943042,18168261.4
12/10/21,17,18.3,16.1,17.4,67,185272,3215284.2
12/9/21,16.3,17,16.3,17,26,53183,903438.9
12/8/21,17,17.2,16.1,16.1,8,63,1069.9
12/7/21,16.3,17.3,16.1,16.1,15,1868,30167.8
12/6/21,16.9,16.9,15.9,16.1,27,5686,90716.3
12/3/21,15.7,17.4,15.7,16.1,32,82700,1324826.7
12/2/21,16.3,17.5,15.9,16.6,75,273795,4542189.8
12/1/21,17,18.2,16,16.7,49,37008,615764.6
11/30/21,18.3,18.3,16.5,16.7,57,75440,1285775.9
11/29/21,18.2,18.4,18.2,18.2,10,6510,118583.5
11/26/21,18.4,18.4,17,17.5,8,12111,211868.5
11/25/21,17.7,19,16.6,16.8,27,116381,1948063.1
11/24/21,17.9,17.9,17,17.7,18,31367,551421.1
11/23/21,18.5,18.5,17.6,18,18,57139,1028241.7
11/22/21,18,18.4,17,17.7,59,84131,1487528
11/19/21,19.3,19.3,17,17.8,45,77872,1413936.6
11/17/21,18.8,19,18.5,18.7,15,35509,662845.6
11/16/21,18.8,20.9,18.8,18.9,77,245842,4801618.1
11/15/21,18,19.5,17.7,18.6,59,75196,1403210.7
11/12/21,18.8,19.5,18.8,19.5,4,3270,63611
11/11/21,19,19,18.6,18.6,17,52622,992418
11/10/21,18,19.4,18,19,50,124872,2350974.2
11/9/21,21,21,17.2,18.7,118,289759,5755875.8
11/8/21,19,20.4,18.1,19.9,257,921712,18047696.1
11/5/21,19,19.5,16.5,18.4,162,504294,9113832.4
11/3/21,18.3,19.5,17.9,18.4,180,719266,13466618
11/2/21,17.4,19,17.2,18,170,344385,6247859.2
11/1/21,16.9,17.5,16.8,16.9,37,43997,754307.6
10/29/21,17.4,17.4,16.4,17.3,30,41458,688184.1
10/28/21,17.6,17.8,17.1,17.5,32,24333,426090.4
10/27/21,17.9,17.9,16,17.1,49,51958,898566
10/26/21,17.7,18.5,17.2,17.6,85,227246,4069821.1
10/25/21,18.4,18.4,17,17.6,46,94476,1646290.4
10/22/21,19.8,19.8,17,17.3,200,436445,7796091.9
10/21/21,18,20.8,17,19,674,1753017,33995752.1
10/18/21,14.9,18.5,14.4,16.9,237,890819,14954374.3
10/15/21,14.9,15,14.1,14.9,13,2230,33228
10/14/21,14.3,15.7,14.3,14.9,30,99271,1472140.1
10/13/21,14.9,14.9,14,14,43,32202,453806.5
10/12/21,15,15,14.2,14.3,55,144251,2117841.3
10/11/21,16,16,14.9,15,70,152597,2310338.8
10/8/21,15,15.8,14.6,15.2,71,186864,2810865
10/7/21,16.2,16.5,14,15.1,120,261900,4065280.6
10/6/21,14,17,14,16.2,221,752851,11724599.8
10/5/21,14.8,15,13,13.7,131,295447,4126520
10/4/21,12.1,14.8,12,14,222,793502,10738725.2
10/1/21,12,12.1,11.5,12,43,443395,5319094
9/30/21,11,12,11,11.8,15,49001,571961
9/29/21,11.8,11.8,11.1,11.3,32,156013,1759391.7
9/28/21,11.6,12.6,11.6,11.9,48,175413,2107807.2
9/27/21,11.8,11.8,11.1,11.8,27,46794,543840.4
9/24/21,11.6,11.8,11.6,11.8,10,8530,99652
9/23/21,12.2,12.2,11.5,11.6,15,34510,403521.3
9/22/21,12,12,11.7,11.8,24,51331,612842
9/21/21,12.4,12.4,11.8,11.9,46,80572,972322
9/17/21,12,12.4,11.8,12.1,131,466118,5631710.5
9/16/21,11,12.7,10.7,11.9,453,1232770,14575028.3
9/15/21,10.5,11.4,10.4,11.2,70,94700,1051033
9/14/21,9.9,10.6,9.9,10.4,8,4400,45910
9/13/21,10,10.5,9.9,9.9,16,24858,248082.1
9/10/21,10,11.4,10,10.2,79,108006,1140034
9/9/21,10.5,12,9.6,9.8,229,1444817,15513674.8
9/8/21,8.6,10.3,8.6,10.2,134,585306,5540991.4
9/6/21,8.4,8.6,8.1,8.3,19,2840,23754
9/3/21,8.6,8.6,8.2,8.5,19,23050,195320
9/2/21,8.8,9,8.5,9,17,7635,68612.6
9/1/21,9,9,8.5,8.9,16,6310,54509
8/31/21,9.1,9.5,8.6,8.7,28,4603,40852.1
8/30/21,9.4,9.5,9.1,9.1,104,12928,118737
8/27/21,9.1,9.5,9.1,9.4,4,1800,16760
8/26/21,8.9,9.7,8.9,9.6,16,103580,976498
8/25/21,8.9,8.9,8.9,8.9,1,100,890
8/24/21,8.9,8.9,8.9,8.9,1,66,587.4
8/23/21,8.9,8.9,8.9,8.9,1,1000,8900
8/20/21,9.1,9.1,9,9.1,5,2536,22944
8/18/21,10,10,10,9,1,1,10
8/17/21,10,10,9.7,9,3,76,740.2
8/16/21,9,9,9,9,1,764,6876
8/12/21,9.9,10,9.9,9.9,6,77090,770830
8/10/21,9.5,10,9.5,9.5,3,502,4769.9
8/9/21,9.6,9.6,9.6,9.6,8,48803,468508.8
8/6/21,9.6,9.6,9.6,9.6,1,50,480
8/5/21,9.6,9.8,9.6,9.6,6,5061,48585.8
8/4/21,9.7,9.9,9.6,9.6,3,1798,17380.8
8/3/21,9.6,9.6,9.6,9.6,3,2023,19420.8
8/2/21,9.9,9.9,9.7,9.7,2,850,8265
7/30/21,10,10,10,10,28,93631,936310
7/29/21,9.8,9.9,9.8,9.9,8,6188,60652.9
7/28/21,9.5,10,9.5,10,15,30052,300444.5
7/27/21,9.8,10.1,9,9.8,45,139704,1385917.8
7/26/21,8.8,10,8.8,10,91,377324,3634814.3
7/22/21,8.8,8.8,8.4,8.7,11,19781,173234
7/20/21,8.8,8.8,8.4,8.5,27,72321,616787.8
7/19/21,9.3,9.3,8.8,8.9,12,2513,22873
7/16/21,9,9,8.8,8.9,8,63770,564896
7/15/21,8.5,9.5,8.5,8.8,68,227490,2055151.6
7/14/21,8.2,8.5,8.2,8.5,14,3700,31260
7/13/21,8.3,8.4,8.3,8.3,11,1299,10790
7/12/21,8.2,8.2,8.2,8.2,1,650,5330
7/8/21,8.5,8.5,8.3,8.4,12,2651,22318.5
7/6/21,8.5,8.5,8.3,8.3,8,32520,270198
7/5/21,8,8.6,8,8.1,3,10001,80508.6
7/2/21,7.5,9,7.5,8.9,59,378662,3284770.1
7/1/21,7.2,7.7,7.2,7.6,30,37997,287229
6/30/21,7,7,7,7,3,4212,29484
6/29/21,7,7,6.8,6.9,5,2000,13715
