Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/15/23,1229,1299.5,1229,1284,9,100,128395.5
5/11/23,1201,1201,1200,1317.75,4,4,4801
5/9/23,1246,1246.75,1230,1317.75,3,5,6182.75
5/8/23,1188,1189,1188,1317.75,2,2,2377
4/26/23,1195,1200,1195,1317.75,8,13,15557.75
4/25/23,1008,1199,1008,1317.75,3,11,11282
4/17/23,1050,1050,1050,1317.75,2,15,15750
4/12/23,1010.25,1010.25,1002,1317.75,11,31,31114.5
4/11/23,1010.5,1150,1010.5,1317.75,7,39,39555
3/21/23,1200,1200,1200,1317.75,1,1,1200
3/13/23,1001.25,1001.25,1001.25,1317.75,1,1,1001.25
3/7/23,1000,1000,1000,1317.75,2,28,28000
2/28/23,995,1198,992,1317.75,9,37,39397.75
2/27/23,1000.5,1000.5,991,1317.75,8,78,77393.25
2/21/23,991.5,991.5,991.5,1317.75,1,1,991.5
2/1/23,1239.75,1239.75,1239.75,1317.75,1,1,1239.75
1/31/23,1242.75,1242.75,1240,1317.75,2,2,2482.75
11/30/22,1247,1247,1247,1317.75,2,7,8729
11/22/22,1249,1249,1249,1317.75,1,2,2498
11/11/22,1000,1000,1000,1317.75,1,5,5000
11/2/22,1113,1113,1113,1317.75,1,1,1113
10/19/22,1317,1317,1317,1317.75,1,1,1317
10/18/22,1051,1051,1051,1317.75,1,1,1051
10/14/22,1054.5,1054.5,1050.5,1317.75,3,10,10509.25
10/12/22,1052,1052,1052,1317.75,1,34,35768
10/4/22,1110.5,1110.5,1110.5,1317.75,1,1,1110.5
9/30/22,1340,1340,1340,1317.75,1,1,1340
9/29/22,1330,1340,1330,1317.75,2,3,4010
9/28/22,1208.5,1340,1208.5,1317.75,4,100,131785
9/26/22,1100,1100,1050.5,1091.5,2,20,21257.5
9/22/22,1160,1160,1160,1091.5,1,10,11600
9/16/22,1150,1350,1150,1091.5,6,22,25915.25
9/13/22,990.5,1150,990.5,1091.5,10,100,109160
9/9/22,1100,1150,1100,956.75,3,20,22450
8/31/22,1099.75,1100,1099.75,956.75,2,11,12099.75
8/26/22,1050,1050,1050,956.75,1,1,1050
8/23/22,1050,1050,1050,956.75,1,5,5250
8/17/22,1110,1110,1110,956.75,1,1,1110
8/16/22,1098.5,1098.5,1098.5,956.75,1,1,1098.5
8/15/22,1050,1098.5,1050,956.75,3,15,15992.5
8/10/22,1000,1000,1000,956.75,1,30,30000
8/5/22,970,970,970,956.75,1,1,970
8/4/22,1000,1000,1000,956.75,1,12,12000
8/1/22,963,963,963,956.75,1,43,41409
7/29/22,1100,1100,1100,956.75,1,1,1100
6/28/22,1004,1004,955,956.75,3,308,294669
6/10/22,1195.5,1195.5,1001,1209.5,2,15,15987.5
6/7/22,950.5,950.5,950.5,1209.5,1,9,8554.5
6/1/22,1000,1150,1000,1209.5,2,12,12300
4/4/22,920.25,920.25,920.25,1209.5,2,2,1840.5
3/31/22,1290,1290,1290,1209.5,1,43,55470
3/14/22,1101.25,1101.25,1101.25,1209.5,1,5,5506.25
3/11/22,1101,1101,1101,1209.5,4,5,5505
3/9/22,1102,1102,1101,1209.5,4,16,17623
2/23/22,1151.25,1151.25,1151.25,1209.5,1,2,2302.5
2/15/22,1374,1374,1374,1209.5,1,2,2748
2/10/22,1180.25,1248,1180.25,1209.5,2,6,7149.25
2/9/22,1180.25,1180.25,1180.25,1209.5,1,10,11802.5
2/8/22,1180,1180,1180,1209.5,1,12,14160
2/7/22,1180,1180,1180,1209.5,1,2,2360
1/31/22,1349,1349,1349,1209.5,1,2,2698
1/27/22,1163,1163.25,1163,1209.5,3,20,23263.75
1/26/22,1163,1163,1163,1209.5,1,3,3489
1/25/22,1374,1374,1162.25,1209.5,4,7,8723
1/24/22,1230,1281,1209.5,1209.5,10,50,61672.75
1/21/22,1150,1150,1125,1209.5,2,16,18050
1/19/22,1100,1100,1100,1209.5,2,7,7700
1/10/22,1200,1200,1200,1209.5,1,2,2400
1/7/22,1220,1220,1220,1209.5,2,4,4880
1/6/22,1200,1219,1200,1209.5,2,100,120950
12/31/21,1150,1247,1150,1113.75,6,27,31635
12/30/21,1045,1045,1045,1113.75,1,20,20900
12/23/21,1100,1100,1100,1113.75,2,29,31900
12/22/21,1100,1100,1100,1113.75,1,10,11000
12/17/21,1112,1245,1112,1113.75,5,16,18198
12/10/21,1112,1112,1112,1113.75,1,1,1112
12/1/21,1015,1050,1015,1113.75,3,27,28280
11/30/21,1145,1190,1070,1113.75,10,35,39483.5
11/29/21,1111,1114,1011,1113.75,22,140,155716
11/24/21,1011,1011,1011,1005,1,1,1011
11/23/21,1115,1115,1011,1005,2,2,2126
11/19/21,1100,1129,1100,1005,3,3,3329
11/15/21,1012,1100,1012,1005,3,6,6160
11/12/21,1012,1012,1012,1005,1,5,5060
11/5/21,1010.25,1010.25,1000,1005,8,86,86503.5
11/3/21,1010,1010,1010,1005,1,2,2020
11/2/21,1050,1050,1050,1005,3,20,21000
11/1/21,1050,1050,1050,1005,1,2,2100
10/27/21,1004.5,1012,1004.5,1005,13,257,258253.25
10/22/21,1025,1025,1025,1036.5,2,9,9225
10/21/21,1025,1025,1021,1036.5,3,6,6142
10/14/21,1020,1020,1020,1036.5,1,1,1020
10/12/21,1027,1140,1026.25,1036.5,5,5,5245.75
10/6/21,1026,1026,1026,1036.5,1,1,1026
10/4/21,961,961,960,1036.5,2,11,10570
9/30/21,1012,1125,1012,1036.5,6,15,15730
9/15/21,1150,1150,1150,1036.5,1,1,1150
9/8/21,1100,1100,1036,1036.5,3,3,3186
9/3/21,1036,1036,1036,1036.5,2,6,6216
9/2/21,1037,1037,1037,1036.5,7,9,9333
8/31/21,1100,1246,1100,1036.5,3,7,8530
8/26/21,1036,1036,1036,1036.5,1,1,1036
8/9/21,1100,1100,1100,1036.5,1,1,1100
8/5/21,1050.5,1050.5,1050.5,1036.5,1,1,1050.5
8/4/21,1150,1260,1037,1036.5,17,51,54602.75
8/3/21,1150,1289,1150,1036.5,9,62,76397
7/30/21,1060,1099.75,1055,1036.5,7,54,57572.75
7/28/21,1124.5,1124.5,1100,1036.5,4,6,6722.5
7/26/21,1124.5,1200,1124.5,1036.5,4,6,6953.5
7/22/21,1249,1249,1125,1036.5,5,42,47374
7/19/21,1124,1124,1124,1036.5,1,4,4496
7/13/21,1248,1248,1248,1036.5,1,1,1248
7/8/21,1200,1200,1200,1036.5,3,5,6000
7/7/21,1220.25,1294.75,1036.5,1036.5,6,17,18340.75
7/6/21,1120.25,1120.25,1120.25,1036.5,1,1,1120.25
7/5/21,1120.25,1120.25,1120.25,1036.5,1,10,11202.5
7/1/21,1120.25,1120.25,1120.25,1036.5,1,1,1120.25
6/30/21,1120,1249,1120,1036.5,3,4,4867
6/28/21,1086,1210,1086,1036.5,3,3,3506
6/23/21,1206,1206,1206,1036.5,1,10,12060
6/22/21,1224,1275,1205,1036.5,12,85,107260
6/21/21,1195,1195,1195,1036.5,1,1,1195
6/11/21,1248,1275,1248,1036.5,3,25,31355
6/2/21,1184,1184,1184,1036.5,1,4,4736
5/31/21,1045,1190,1045,1036.5,13,33,35940
5/28/21,1148,1148,1030,1036.5,24,111,115166.5
5/25/21,1050,1050,1045,1102.5,7,27,28325
5/21/21,1102.5,1149,1102.5,1102.5,3,4,4456.5
5/20/21,1195.5,1195.5,1195.5,1102.5,1,1,1195.5
5/18/21,1102,1102,1102,1102.5,1,1,1102
5/12/21,1007,1199,1006.25,1102.5,15,102,112458.5
5/3/21,1000.25,1000.25,1000,1203.2,2,24,24000.5
4/28/21,1025.25,1025.25,1025,1203.2,3,17,17425.5
4/16/21,1100,1100,1100,1203.2,1,1,1100
4/9/21,1025,1025,1025,1203.2,1,17,17425
4/7/21,1130,1130,1130,1203.2,1,5,5650
4/6/21,1025,1025,1025,1203.2,2,10,10250
3/31/21,1134,1134.75,1134,1203.2,2,10,11343
3/29/21,1050,1090.75,1011,1203.2,5,18,18747.5
3/25/21,1002,1002,1000,1203.2,3,20,20018
3/24/21,1000,1000,1000,1203.2,1,5,5000
3/22/21,1000,1000,1000,1203.2,1,3,3000
3/4/21,1050.5,1050.5,1050.5,1203.2,1,5,5252.5
3/2/21,1093.75,1093.75,1050,1203.2,11,20,21269.5
2/25/21,1113,1113,1100,1203.2,9,18,19928.25
2/23/21,1140.5,1150,1140.5,1203.2,5,22,25191
2/19/21,1152,1152,1150,1203.2,4,10,11508
2/16/21,1349.5,1349.5,1349.5,1203.2,1,14,18893
2/15/21,1203.25,1203.25,1151,1203.2,4,15,17787.5
2/12/21,1203.25,1203.25,1203.25,1203.2,1,10,12032.5
2/10/21,1300,1300,1300,1203.2,1,1,1300
2/8/21,1350,1350,1350,1203.2,1,1,1350
2/5/21,1461,1461,1350,1203.2,5,16,22266
2/3/21,1200,1200,1200,1203.2,1,10,12000
2/2/21,1203.25,1203.25,1200,1203.2,3,21,25222.75
2/1/21,1203.5,1203.5,1203.5,1203.2,1,1,1203.5
