Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/6/22,16.5,16.5,15.8,15.9,110,179358,2879059.2
12/5/22,17,17.5,16,16.2,157,263917,4335732.1
12/2/22,18.1,18.1,16.7,17,41,61426,1053757.8
12/1/22,18.5,19,17,17.4,91,158118,2845632.4
11/30/22,16.1,18.9,15.5,18.2,218,372124,6566309.2
11/29/22,15.9,16.3,15.5,16,53,22456,357233.9
11/28/22,16,16.3,15.9,16,29,43271,692093
11/25/22,15.7,16.5,15.5,15.7,57,103897,1619138.5
11/24/22,16.5,16.5,15.6,15.9,28,28237,444045.1
11/23/22,16.2,16.5,15.8,16.2,44,49067,799908
11/22/22,16.5,16.5,15.5,16.2,22,11629,188671.3
11/21/22,16.5,16.5,14.5,15.5,60,77072,1181869.6
11/18/22,16.6,16.6,15,15.2,84,77609,1222695.6
11/17/22,16.6,16.9,16,16.5,32,27884,462999.2
11/16/22,16.9,17.2,16.5,16.6,38,58306,989515.1
11/15/22,17,17.4,16.5,16.5,24,54831,932176
11/14/22,18.6,18.6,16.5,16.9,81,103073,1746692.6
11/11/22,16.3,18,16.2,17.5,160,371665,6419325.1
11/10/22,16.3,16.3,16,16.1,26,16459,266785.5
11/9/22,17.2,17.2,15,15.6,163,358469,5644690.2
11/8/22,17.5,17.5,16.5,16.8,41,14553,245857.4
11/4/22,17.2,17.5,17,17.1,34,134753,2314391.2
11/3/22,17.2,17.5,16.5,17.2,64,149211,2475883.3
11/2/22,17.5,18.2,17,17.6,55,66559,1170374
11/1/22,18,18,17.5,17.7,81,100994,1801433.1
10/31/22,17.9,18.4,17.8,18.1,62,165619,2986584.3
10/28/22,19,19,17.6,18.1,113,352182,6363683.9
10/27/22,19.2,19.2,18.7,19,67,126103,2393616.1
10/26/22,19,19.4,18.5,19,40,22975,431068.4
10/25/22,19.7,19.8,18.5,18.8,73,58106,1103184.4
10/21/22,19.8,20,19.8,20,40,34120,681132
10/20/22,20.5,20.5,19.6,19.8,63,61035,1211631.9
10/19/22,21,21.7,20,20,161,399829,8164503.8
10/18/22,21,22,21,21,37,49961,1050855.4
10/17/22,20.1,22.2,20.1,21.1,54,149942,3161016.8
10/14/22,22.5,22.9,20,21.6,90,183581,3892440
10/13/22,22,22.9,21,21.6,72,41447,901073.9
10/12/22,21.1,22,20,21.2,64,193416,3944480.6
10/11/22,22.9,22.9,21,21.1,39,23579,505824.3
10/7/22,22,22.9,21.1,21.9,78,134534,2924248.1
10/6/22,24,24,22,22,97,104556,2312007.8
10/5/22,23,23.9,22.6,23.7,37,11122,257139.4
10/4/22,23.9,23.9,20.5,22.2,56,32924,745128
10/3/22,23.9,24.7,23.9,24.1,43,11541,278778.6
9/30/22,25.4,25.6,24,24.7,111,140190,3472608.3
9/29/22,25.5,25.5,24.5,24.7,148,160986,3997656
9/28/22,26,26,24.9,25.2,219,455562,11549457.7
9/27/22,26,26.2,25.5,26,47,44963,1157830.2
9/26/22,26.7,26.8,25,25.6,147,117735,3034467.7
9/23/22,26,26.8,25.6,26,111,144727,3763304.3
9/22/22,26.7,28,25.9,26,173,247774,6619876.1
9/21/22,27,27.4,25.7,26.1,82,74623,1951623.3
9/20/22,27.9,28.1,26.8,26.9,125,88378,2419056
9/19/22,28.6,29.3,27.5,27.9,117,109036,3088056
9/16/22,28.3,28.3,27.4,27.5,67,105898,2948451.1
9/15/22,28,29.3,27.4,27.9,151,123692,3450998.3
9/14/22,28,28.4,27.5,27.8,76,46416,1290267.7
9/13/22,29.6,29.6,28,28.1,57,29466,848885.4
9/12/22,27.2,30,27.2,29.1,135,244104,7069652.3
9/9/22,27.7,28.9,27,27.2,215,259721,7138002.8
9/8/22,28.5,28.9,27.5,27.8,121,227785,6388528.9
9/7/22,29.5,29.5,27.5,28.1,82,95062,2665175.2
9/6/22,30,30,28,28.3,62,165245,4755366.1
9/5/22,29.1,31.6,29,29.4,123,276911,8349908.9
9/2/22,29.8,30,28,28.6,130,109219,3163391.1
9/1/22,29,30,28.8,29.4,182,319128,9433391.7
8/31/22,28.9,28.9,27,27.9,50,89379,2509398.2
8/30/22,28.4,28.9,26.2,28.3,47,42241,1184883.3
8/29/22,28.5,28.5,27,27.8,33,46367,1304808.6
8/26/22,29,29.4,26.1,28.1,118,190670,5332258.3
8/25/22,29.6,30,28,28.7,80,88616,2617602.1
8/24/22,31,31.3,29,29.7,174,587695,17585777.9
8/23/22,32,32.8,31,31.2,99,115123,3645326.8
8/22/22,31.7,32.7,30,31.2,178,316660,9883885.8
8/19/22,30.6,32.4,30,31,138,252783,7759716.6
8/18/22,32.7,33.4,30.1,30.6,179,225922,7029830.6
8/17/22,35,35,29.7,30.6,497,1080525,33592908.4
8/16/22,34.9,35.4,29.6,34.2,765,2261776,75011134.4
8/15/22,27.5,33.2,27.4,32.5,1142,2897721,92254686.4
8/12/22,23.8,27.3,23.6,26.6,388,673123,17556802.6
8/10/22,24,24,22.7,23.6,45,21523,509825.6
8/9/22,22.5,24,22.5,23.7,82,269024,6342147.3
8/8/22,24,26.3,23.3,23.7,35,62981,1491299.8
8/5/22,25,26.8,23,24.3,123,233479,5876404.9
8/4/22,24,24.9,23.7,24.4,237,330142,7996652.7
8/3/22,23.9,24.8,23,23.5,39,14742,348515.2
8/2/22,23,24,22,23.9,61,180600,4289612.2
8/1/22,23,23,22.1,22.3,26,8834,197736.1
7/29/22,23.6,23.6,22.5,22.6,11,18882,426303.6
7/28/22,23,23.8,22.5,22.6,40,38055,870331
7/27/22,24,25,23,23.1,32,272387,6695362.8
7/27/22,24,25,23,23.1,32,272387,6695362.8
7/26/22,24.7,24.7,24,24,5,13108,314594.1
7/25/22,24.5,24.7,24,24.3,6,4334,105471.7
7/22/22,25.4,25.4,24,24.5,12,21219,520331
7/21/22,23.2,25,23.2,23.9,17,31387,778549.3
7/20/22,24.5,24.9,23,23.5,56,42040,992835
7/19/22,24,24.4,22.9,23.9,28,15714,375746.6
7/18/22,22.9,24.2,22.9,23.8,12,3945,94047.7
7/15/22,24,24.3,22.5,23,20,35350,815447.3
7/14/22,23.5,23.5,22,23,20,11439,263364.3
7/12/22,24.5,24.9,23,23.4,26,11747,279846
7/11/22,23.5,25,22.9,23.7,59,126752,3001946.1
7/8/22,21.1,23.6,21.1,22.8,51,82733,1896581.1
7/7/22,22.1,24,21.5,21.9,24,28656,641941.8
7/6/22,23.5,24,22.1,22.5,27,34966,788360.1
7/5/22,24,24,22.7,23.4,52,81749,1926114.9
7/4/22,25,26,24,24.4,51,794210,20578439.1
7/1/22,26,26,24.4,25.9,15,8728,224531.8
6/30/22,24,27.4,23,26.5,161,622251,16381739.4
6/29/22,23.8,25,22.1,24,47,77951,1845981.3
6/28/22,22,24.4,21.5,23.5,22,16241,374700.9
6/27/22,25.5,25.5,23.4,24,11,16921,418323.5
6/24/22,24.3,25.8,24.2,24.8,46,122739,3066915.2
6/23/22,23.8,24.5,23.8,24.2,18,15648,378147.4
6/22/22,24,24,23,23.8,16,19244,458268.4
6/21/22,24.5,24.5,22,24,20,33733,808432.5
6/20/22,22,24.5,21,22.6,93,202014,4450344.5
6/17/22,22.9,23,21.1,21.7,26,65645,1436102
6/16/22,24.5,24.5,21.1,21.6,20,22166,481623.5
6/15/22,22.5,24.9,21.2,23.9,67,278060,6628046.2
6/13/22,23.7,24.4,22.5,23.3,31,22412,526827.1
6/10/22,24.9,25.9,23.4,23.7,42,38792,944575.3
6/9/22,25,25,23.5,23.7,44,27564,669335.5
6/8/22,23.3,25,23,24.8,24,26578,656126.8
6/7/22,23,24,22,23.4,67,425826,9481579.8
6/6/22,25,25,22,23.3,76,257518,6053773.5
6/3/22,25,25.1,24.9,25,21,24219,605295
6/2/22,25,26.4,24.5,25.2,48,154180,3873617.2
6/1/22,25,25,24.3,25,27,223338,5581524.4
5/31/22,26,26.9,24.3,25.1,58,60751,1532354
5/30/22,27,28,25.6,25.7,54,61065,1587698.2
5/27/22,26.3,27.5,25.8,27,39,21679,569868.7
5/26/22,28,28,26,27.4,34,33906,917947
5/25/22,28.5,28.5,27.5,28,78,46115,1292024
5/24/22,30.5,30.5,26.1,28.7,90,79769,2300042.8
5/23/22,30,31.4,29.1,30.3,256,386314,11720224.7
5/20/22,29.9,29.9,26.8,27.3,33,90791,2500182.4
5/19/22,28,30.5,26.5,26.5,82,88975,2431354.5
5/18/22,32,35,25.2,27.9,298,592861,18363588.7
5/17/22,27,31.9,27,30.5,342,670890,19771341.1
5/13/22,24,28,24,25.6,204,455870,11549657.2
5/12/22,22.3,24,21.1,23.8,46,67040,1562635.6
5/9/22,20.2,23.5,20.2,23,44,171921,3984894
5/6/22,21.6,23.5,20,20.2,76,218289,4495350.1
5/5/22,23.9,23.9,22,22.7,15,12498,294684
5/4/22,26.5,27.5,23.7,24,40,23162,561005.3
4/29/22,25,28.8,23,23.5,79,140608,3454545
4/28/22,22,28,21,24.5,105,599359,14114934.9
4/27/22,20,25,19,24.5,68,270083,6262851.1
4/26/22,23.5,23.5,19,20.2,21,69730,1411495
4/25/22,25,25,25,25,11,75543,1888575
4/8/22,30,32.5,26,29.7,65,81677,2401747.9
4/7/22,32,32,28,29.2,113,305668,9085041.1
4/6/22,36.5,36.5,31.9,32,74,188045,6075401.9
4/5/22,35.5,36,31.5,34.8,86,121666,4148788.5
4/4/22,30,39.6,30,33,69,129427,4285937.6
4/1/22,37,39.8,30.7,35,11,15870,516214.4
3/31/22,44.9,44.9,35,37.6,39,57897,2236436.7
3/30/22,45.5,48.4,38,40.3,211,655080,26535476.6
3/29/22,50,50,45.1,46.5,124,259604,12393711.5
3/28/22,52.5,54,47,50.4,95,142479,7231238.4
3/25/22,56.5,57,52,53,46,58193,3103438.8
3/24/22,56,56.5,54,55,65,193424,10645100.4
3/23/22,55.1,58.9,55.1,56,46,321437,18811925.2
3/22/22,58.4,59,56.1,56.1,23,18105,1035040.9
3/21/22,55,59.7,55,56.1,57,55522,3167920.9
3/18/22,56,58.9,53.7,58.5,71,43676,2506482.2
3/16/22,53,57.9,52,55.4,80,236245,13015649.9
3/15/22,57.2,57.5,52,54,106,219755,11910204
3/14/22,57.5,59.8,55.1,56,64,121445,6902362.5
3/11/22,62.5,62.5,55,57.5,185,570873,32935553
3/10/22,51,62.5,51,61.3,325,646782,38149123.6
3/9/22,60,62.9,48.1,50.1,204,369932,18999477.5
3/8/22,63.3,65,55,58,246,463170,27591188.5
3/7/22,70,70.9,62,63.2,311,489472,32702077.7
3/4/22,64.3,69,64.3,65.2,117,459644,30283361.5
3/3/22,68,69.9,65,65.5,106,291168,19704186.8
3/2/22,68.6,72,66.6,67.3,177,509374,35151714.5
