Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,13,13.3,12.7,13,33,123067,1596089.3
10/12/23,12.5,13.2,12.5,13.1,26,67659,869138.4
10/11/23,13,13.3,12.6,12.7,11,4240,54484
10/10/23,12.3,13.4,12.3,13.3,23,24811,325947.8
10/9/23,13.4,13.4,12.1,13,18,23122,285975.9
10/6/23,13.5,13.5,13.1,13.1,11,21009,281369.9
10/5/23,13.7,13.7,13.5,13.5,12,5098,69555.9
10/4/23,12.9,13.7,12.8,13.5,51,74566,989945.1
10/3/23,13.7,13.7,12,12.7,50,83238,1067490.8
10/2/23,14.2,14.2,13.3,13.5,59,92199,1258214.4
9/27/23,14,14.2,13.8,14.2,31,49665,692862.3
9/26/23,14,14.1,13.9,14,32,44051,613673.7
9/25/23,13.9,14.1,13.9,14,14,31386,436469.3
9/22/23,14.1,14.3,14,14.1,45,74167,1042581.1
9/21/23,14.1,14.2,14,14,17,29181,409592
9/20/23,14.1,14.3,14,14,22,40941,575045.7
9/19/23,14.4,14.5,13.9,14,98,140836,1978993.2
9/18/23,14.8,14.8,14.4,14.4,41,43393,629607.1
9/15/23,14.6,14.8,14.6,14.8,20,62289,920568.4
9/14/23,14.9,14.9,14.6,14.7,37,70891,1045064.6
9/13/23,14.9,14.9,14.6,14.9,67,94316,1387876.9
9/12/23,14.7,15.1,14.5,14.9,104,140953,2083218.7
9/11/23,15,15.4,14.5,14.9,538,3402849,52640658.7
9/8/23,14.6,15.2,14.2,15,225,921217,13765395.2
9/7/23,14.4,14.5,14,14.5,36,103312,1452875.6
9/6/23,14.1,14.5,14,14.4,45,156522,2207481
9/5/23,14.5,14.7,14,14.3,65,191263,2713812.7
9/4/23,14.7,14.8,14.3,14.6,54,69396,1002537.8
9/1/23,14.6,15.3,14.5,14.8,232,999545,14791575.1
8/31/23,14.2,15.2,14,14.8,427,1622879,23829351
8/29/23,14.1,14.2,14,14.1,126,440580,6194091.9
8/28/23,13.9,14.4,13.7,14.2,336,1117416,15844134.6
8/25/23,14,14.3,13.9,14,200,774758,10871015.8
8/24/23,14.4,14.6,13.8,14,351,1195104,16911824.6
8/23/23,12.4,14.4,12.4,13.9,546,2451017,33401995.1
8/22/23,12.1,12.4,11.8,12,29,31328,380547.5
8/21/23,11.8,12.3,11.8,12.2,25,28068,341835.8
8/18/23,12.2,12.3,11.8,11.9,32,156136,1858574.2
8/17/23,12.2,12.4,11.8,12.2,45,497445,5965443
8/16/23,11.9,12.3,11.8,11.8,8,2564,30797.7
8/15/23,11.9,12.3,11.5,11.7,59,146686,1701232.4
8/14/23,12,12.3,12,12,36,137268,1647465
8/11/23,12.3,12.3,12,12.1,22,104701,1267230.5
8/10/23,12.3,12.7,12,12.4,77,370157,4585172.3
8/9/23,12.5,12.5,12.3,12.4,47,159398,1976674.8
8/8/23,12.6,12.8,12.3,12.4,34,21048,261514.6
8/7/23,12.5,12.9,12.2,12.3,37,220973,2720854.5
8/4/23,13,13.3,12.5,12.6,193,1016623,13126196.5
8/3/23,12.5,13.1,12.5,12.9,113,325764,4203201.8
8/2/23,11.9,13,11.9,12.7,299,1253593,15822390.3
7/31/23,11.6,12.1,11.6,12.1,86,206432,2476405.8
7/28/23,11.5,12.1,11.5,11.9,87,465434,5521452
7/27/23,11.5,11.9,11.4,11.6,68,849302,9871519.7
7/26/23,11.8,12,11.4,11.5,64,335317,3856545.6
7/25/23,11.3,12.2,11,11.9,175,969775,11474562.1
7/24/23,11.5,11.6,11.4,11.6,94,232039,2678351.2
7/21/23,11,11.7,11,11.5,197,1639331,18805992.1
7/20/23,11.1,11.3,10.7,11,91,228450,2508649.5
7/19/23,10.7,11.2,10.6,11,140,347136,3801404.1
7/18/23,10.2,10.7,10.2,10.5,111,790376,8353480.2
7/17/23,10.5,10.5,10.3,10.4,35,240159,2491303.7
7/14/23,10.3,10.6,10.3,10.5,55,268497,2795740.1
7/13/23,10.4,10.4,10.2,10.3,53,118060,1216312.4
