Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,39.1,39.1,38.2,38.4,4,61,2331.1
10/12/23,39.1,39.1,38,38.4,5,1000,38421
10/10/23,40,41,40,40.2,13,171,6885.5
10/9/23,41,42.5,41,42.8,2,51,2092.5
10/6/23,40,42.7,40,42.8,3,40,1640.5
10/5/23,42,43.5,42,42.8,4,165,7067.5
10/2/23,45,46.1,45,45,8,47,2143.5
9/27/23,45.2,45.2,45,45,4,470,21222
9/25/23,45.1,45.3,45.1,45.2,6,248,11208.8
9/22/23,45.3,45.6,45.3,46.3,2,11,501.3
9/21/23,45.2,45.2,45.1,46.3,3,7,316
9/20/23,46.9,46.9,45.3,46.3,10,142,6570.4
9/19/23,47.9,47.9,46,45.4,3,57,2627.8
9/18/23,45.4,46,45.3,45.4,5,342,15523.1
9/14/23,45.3,45.3,45.3,46.5,1,5,226.5
9/13/23,46.8,46.8,46.4,46.5,5,85,3948
9/12/23,46.4,46.5,46.4,46.5,3,100,4646.5
9/11/23,45.3,46.7,45,46.5,23,1201,54328.5
9/7/23,47.2,47.3,47.2,47.2,3,63,2975.6
9/6/23,47.4,49,47.1,47.2,14,810,38255
9/5/23,48.7,49.9,47.3,47.9,8,255,12365.9
9/4/23,52,52,47.5,47.6,9,470,22366.4
9/1/23,47,54.4,47,50,33,3412,168000.7
8/31/23,44.9,47,44.9,46.9,8,766,34837.8
8/29/23,45,47.9,41.2,41.3,5,111,4622.9
8/28/23,45.5,45.5,45.5,45.5,2,200,9100
8/25/23,46.8,46.8,46.2,46.3,13,759,35324.8
8/24/23,60.1,65.6,46.5,46.8,105,13145,737034.3
8/23/23,43.7,54.6,43.7,52.5,52,10915,507015.6
8/22/23,35.5,35.5,35.5,36.4,1,10,355
8/21/23,36.4,36.4,36.4,36.4,2,557,20274.8
8/17/23,37,38.5,35,36.6,33,1214,44687.4
8/15/23,38.8,38.8,38.8,38.9,2,58,2250.4
8/11/23,38.9,39.9,38.8,38.9,9,197,7668.9
8/10/23,40.7,40.7,40.7,38.8,1,1,40.7
8/9/23,40,40,40,38.8,3,8,320
8/8/23,38.8,38.8,38.8,38.8,1,43,1668.4
8/4/23,38.8,38.8,38.8,38.8,5,286,11096.8
8/3/23,38.7,38.7,38.7,38.7,1,120,4644
8/2/23,39.1,39.7,38.7,39.5,13,1540,60017.7
7/31/23,39.7,39.7,38.8,39.7,6,1041,41296.8
7/28/23,39.7,39.7,39.7,38.3,1,10,397
7/27/23,38.6,38.6,38.2,38.3,13,1330,51042.2
7/26/23,39.6,39.8,39.6,39.6,2,101,3999.8
7/25/23,39.5,39.6,39.5,39.5,5,567,22397.7
7/24/23,40.8,40.8,40.7,40.7,6,203,8272.4
7/21/23,40.7,40.7,39.5,40.7,4,1101,44809.5
7/19/23,40.1,40.9,39.8,40.4,19,1541,61985.5
7/18/23,39.9,39.9,39.9,39.9,3,164,6543.6
7/17/23,40.5,40.5,39.5,39.8,9,541,21446.5
