Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,16.4,16.4,16.4,15.8,1,1,16.4
10/12/23,16.5,16.5,15.7,15.8,8,22023,345837.6
10/11/23,16,16,15.6,15.6,18,39550,617151.2
10/10/23,16.2,16.3,16.2,16.2,8,9039,146432.2
10/9/23,16.1,16.1,15.5,15.6,13,44546,707747.5
10/6/23,16.7,16.7,16.1,16.1,29,24808,401503.5
10/5/23,16.5,16.6,16.4,16.4,25,195112,3204206.4
10/4/23,16.6,16.6,16.1,16.1,7,9152,147417.4
10/3/23,16.2,16.6,16.1,16.1,71,66223,1068712.5
10/2/23,16.6,16.6,16.2,16.2,12,41949,689575.5
9/27/23,16.9,16.9,16.6,16.7,4,2203,37070.1
9/26/23,16.6,16.9,16.6,16.9,5,20300,342980.3
9/25/23,16.8,16.9,16.6,16.7,15,19977,334592.2
9/22/23,16.9,17,16.6,16.6,8,3176,52889.1
9/21/23,16.6,16.6,16.6,16.6,4,24417,405322.2
9/20/23,16.7,16.9,16.6,16.6,14,67998,1128972.3
9/19/23,16.8,16.9,16.4,16.9,40,119939,1980653.5
9/18/23,16.4,16.5,16.4,16.5,6,10136,167243.8
9/15/23,16.8,16.8,16.2,16.6,17,27609,458212.2
9/14/23,16.9,16.9,16.4,16.5,16,1627,27153.3
9/13/23,16.7,16.9,16.5,16.5,6,3195,52718.7
9/12/23,16.5,16.9,16.4,16.5,19,37888,625401.2
9/11/23,17,17,16.2,16.4,16,15213,249212.2
9/8/23,17,17,16.4,16.4,4,3019,49518.5
9/7/23,16.4,16.8,16.2,16.5,8,107088,1736966.1
9/6/23,16.3,16.4,16.1,16.1,9,12015,193966.6
9/5/23,16.9,16.9,16.2,16.5,20,88682,1462704.5
9/4/23,16.9,16.9,16.4,16.5,12,11576,191189.4
9/1/23,16.4,17.2,16.4,17,31,126656,2142876.2
8/31/23,16.6,16.6,16.3,16.4,26,53871,882354.5
8/29/23,17.1,17.2,16.6,16.7,21,10164,171625.4
8/28/23,16.4,17.5,16.4,16.9,109,275770,4759510
8/25/23,15.7,16.4,15.7,16.3,16,5774,94176.9
8/24/23,16.1,16.2,15.9,16.1,30,251498,4034569.2
8/23/23,15.9,16.1,15.7,16,34,203148,3233741.9
8/22/23,16,16,15.1,15.9,22,29675,470554.2
8/21/23,16,16.2,15.8,15.9,33,135778,2164232.3
8/18/23,15.6,16.1,15.6,16,27,474874,7596124.5
8/17/23,16,16.6,16,16.2,56,452019,7346939
8/16/23,15.4,16,15.4,15.6,36,177245,2787450.8
8/15/23,15.4,16.4,15.3,15.4,31,16361,259721.3
8/14/23,15.5,15.8,15.2,15.7,41,306804,4739637.3
8/11/23,15.3,15.7,15.2,15.2,13,13574,209231.9
8/10/23,15.5,15.7,15.2,15.5,17,87807,1359253.3
8/9/23,15.9,15.9,15,15.7,53,170406,2627897.3
8/8/23,15.7,15.9,15.6,15.9,25,151819,2379936.4
8/7/23,15.8,16.2,15.6,15.9,49,295445,4665256.2
8/4/23,16,16.4,15.8,16,56,100552,1603305.9
8/3/23,16.3,16.8,15.8,16.6,40,63121,1027789.2
8/2/23,15.6,16.3,15.6,16.3,49,908647,14718999.4
7/31/23,16.5,16.5,16.1,16.2,60,361975,5917500
7/28/23,15.4,16.4,15,15.9,77,400470,6147370.8
7/27/23,15.5,15.6,15.5,15.5,15,11163,173027.2
7/26/23,15.9,15.9,15.5,15.5,20,16267,252743.6
7/25/23,15.5,15.8,15.5,15.5,40,83386,1296840.5
7/24/23,15.5,15.9,15.5,15.7,35,90698,1417425.6
7/21/23,15.6,15.8,15.5,15.7,43,138107,2147812.5
7/20/23,16.2,16.2,15.6,15.9,35,107208,1683820
7/19/23,16.1,16.5,15.9,16,52,221524,3542463.1
7/18/23,16.5,16.5,15.9,16.1,38,158525,2552371.7
7/17/23,16.4,16.5,16.1,16.2,48,135732,2201541
