Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,10.9,11.2,10.8,11.2,13,36400,397276
10/12/23,11.4,11.4,10.9,11.2,4,1291,14672.4
10/11/23,11,11.3,10.8,11.1,35,39719,435624.9
10/10/23,11.4,11.4,10.8,11.1,26,39260,434894.8
10/9/23,11.2,11.5,11,11,33,91902,1017956.3
10/6/23,11.1,11.9,11.1,11.8,16,19249,218628.7
10/5/23,11.8,12,11.8,11.9,5,2904,34407.6
10/4/23,11.5,11.8,11.5,11.8,18,28936,335329.6
10/3/23,11.5,11.8,11.5,11.7,9,14135,165077.5
10/2/23,11.9,11.9,11.5,11.7,26,29240,340977.9
9/27/23,12.3,12.3,11.8,12,13,103200,1238620
9/26/23,11.8,12,11.8,12,18,53445,640500
9/25/23,12.3,12.3,12,12.1,12,54202,655824.5
9/22/23,12,12.4,12,12.3,23,57793,708696.2
9/21/23,12.4,12.4,12,12.2,12,465524,5678288.8
9/20/23,12.3,12.4,12,12.3,28,199968,2453301.5
9/19/23,12.4,12.5,12.2,12.3,70,186682,2316120.9
9/18/23,12.3,12.5,12.2,12.4,111,270584,3357741.9
9/15/23,11.9,12.3,11.9,12.2,50,85549,1045289.3
9/14/23,11.8,12.3,11.7,12.1,129,642746,7719371.5
9/13/23,11.7,11.7,11.3,11.3,15,21350,244496.4
9/12/23,11.6,11.8,11.6,11.7,34,162008,1891266.6
9/11/23,11.8,11.8,11.3,11.5,20,80734,931544.9
9/8/23,11.5,11.6,11.2,11.5,22,205844,2377132.5
9/7/23,11.7,11.7,11.4,11.7,7,11001,128411.7
9/6/23,11.8,11.9,11.3,11.7,53,142270,1673915.4
9/5/23,11.6,11.8,11.4,11.5,48,228443,2629970.7
9/4/23,11.5,11.6,11.2,11.5,33,90785,1042495
9/1/23,11.5,11.5,11,11.4,40,360642,4032413.7
8/31/23,10.9,11.5,10.8,11.4,52,153620,1675212.6
8/29/23,11.1,11.4,11,11,23,22740,250814.8
8/28/23,11.1,11.7,11,11.1,34,50581,562958.3
8/25/23,11.4,11.7,11.1,11.4,37,33031,377770.5
8/24/23,11,11.4,10.8,11.4,54,101560,1121962.8
8/23/23,11,11.1,10.8,10.9,92,106228,1160270.7
8/22/23,11,11.3,10.9,11,97,144669,1593562.8
8/21/23,11.1,11.4,10.9,11,53,85570,951036.9
8/18/23,11.2,11.9,11,11,117,174432,1925164.3
8/17/23,11.2,11.8,11.2,11.2,67,118492,1344750.1
8/16/23,11.5,11.7,11,11.3,70,83967,943227
8/15/23,12.2,12.2,11.5,11.5,39,56461,656430
8/14/23,12,12,11.7,11.7,63,371955,4376593.6
8/11/23,12.1,12.3,12,12,28,165479,1991628
8/10/23,12.5,12.5,12.1,12.2,29,105719,1299293
8/9/23,12.5,12.7,12.2,12.3,93,140899,1742418.5
8/8/23,12,13,12,12.3,274,935301,11764709.4
8/7/23,11.8,11.9,11.8,11.8,17,8069,95224.2
8/4/23,12,12.1,11.7,11.8,61,118793,1405251.8
8/3/23,12.5,12.5,12,12.2,44,342285,4170798
8/2/23,12,12.5,12,12.4,41,390689,4790661.7
7/31/23,12,12.2,12,12.1,29,118828,1428161
7/28/23,12.5,12.5,12,12.2,36,148877,1839308.6
7/27/23,11.7,12.4,11.7,12.3,96,400092,4860347.2
7/26/23,11.9,12,11.4,11.7,56,69329,813110.5
7/25/23,11.8,12.3,11.8,11.9,47,537695,6457969.6
