Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/5/23,1321,1321,1300,1300,9,279,362725.5
10/3/23,1330,1330,1330,1434,2,10,13300
9/22/23,1320.75,1320.75,1320.75,1434,4,4,5283
9/21/23,1487.5,1487.5,1320.5,1434,3,4,5780.5
9/18/23,1423.75,1489,1313.25,1434,13,74,105604.75
9/14/23,1429,1429,1429,1434,1,1,1429
9/11/23,1429.5,1495,1419,1434,6,260,372848.5
9/7/23,1360,1360,1347,1300,3,5,6748
9/6/23,1349,1349,1349,1300,1,3,4047
9/5/23,1349,1349,1349,1300,1,3,4047
9/4/23,1302,1302,1300,1300,7,41,53343
9/1/23,1350,1350,1301.25,1300,6,38,50813.25
8/31/23,1350,1350,1300,1300,3,76,99320
8/22/23,1310,1310,1310,1300,1,4,5240
8/11/23,1300.25,1300.25,1300.25,1300,1,1,1300.25
8/10/23,1300.5,1400,1300.25,1300,8,18,24303.5
8/9/23,1300,1300,1300,1300,1,1,1300
8/8/23,1349.75,1349.75,1349.75,1300,3,4,5399
8/7/23,1349.75,1349.75,1349.75,1300,1,1,1349.75
8/3/23,1300,1300,1300,1300,1,100,130000
8/2/23,1300,1300,1300,1300,10,367,477100
7/31/23,1300,1300,1300,1300,5,1436,1866800
7/28/23,1301,1301,1300,1300,16,3535,4595505.25
7/27/23,1350,1350,1350,1300,1,1,1350
7/24/23,1365,1365,1365,1300,1,1,1365
7/21/23,1350,1350,1350,1300,1,1,1350
7/19/23,1325,1325,1325,1300,1,2,2650
7/17/23,1350,1399.75,1300,1300,9,185,241100
