Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,162,162,162,190,2,5,810
10/11/23,185.75,185.75,185.75,190,1,4,743
10/9/23,185.75,185.75,185.75,190,1,1,185.75
10/6/23,186,186,186,190,1,2,372
10/2/23,208,208,190,190,31,4553,872211.75
9/27/23,208,208,208,208,2,151,31408
9/25/23,191.75,191.75,191.75,200.25,1,2,383.5
9/21/23,192,192,191.75,200.25,2,9,1726.25
9/20/23,199.75,209,199.75,200.25,6,510,102080.75
9/19/23,199.75,199.75,199.75,182.75,1,1,199.75
9/18/23,208.75,208.75,208.75,182.75,2,2,417.5
9/15/23,180.5,188.25,180.5,182.75,9,101,18447
9/14/23,210,210,210,206,1,10,2100
9/13/23,205.5,206,205.5,206,4,31,6382
9/12/23,204.75,206,204.75,206,6,1019,209893.75
9/8/23,200,209.5,200,206,4,4,825.75
9/7/23,206,206,206,206,3,100,20600
9/6/23,197,212.75,183,206,17,166,34182.75
9/1/23,181.5,181.5,165,177.25,6,118,20902
8/28/23,181.25,181.25,181.25,181.25,1,169,30631.25
8/25/23,193,193,189.75,188,2,73,14079.25
8/24/23,193.5,193.5,192,188,2,14,2701.5
8/22/23,181,181,181,188,1,4,724
8/21/23,190,190,187,188,2,55,10444
8/18/23,189.75,189.75,185,188,3,138,25927.25
8/17/23,188.25,200,180,180.5,35,1614,291820.5
8/16/23,200,200,197.75,203.5,2,7,1395.5
8/15/23,210,215,191,203.5,25,1171,238377.5
8/14/23,200,211,189.25,200.5,30,2030,404063
8/11/23,170.25,189,170.25,176,3,5,889
8/9/23,182.25,182.25,175,176,8,315,55483.25
8/7/23,175.25,176,175.25,171.5,2,2,351.25
8/4/23,185.75,186,185.75,171.5,4,12,2230.75
7/27/23,197.75,198.75,197.75,171.5,7,47,9315
7/26/23,171,172.5,171,171.5,4,8,1375
7/25/23,172.5,172.5,172.5,171.5,1,2,345
7/20/23,182.75,187.25,181,171.5,6,38,7070.75
7/19/23,171,180,170,171.5,7,358,61403
7/18/23,171,178,170,170.25,7,751,128228.75
7/17/23,179.75,180,178,175.5,4,11,1971.5
