Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,980.75,980.75,980,987,3,50,49002.5
10/9/23,975,976,975,987,3,4,3902
10/3/23,1000,1044.25,1000,987,3,3,3088.5
9/22/23,972,972,972,987,1,2,1944
9/21/23,975,975,971,987,2,6,5834
9/20/23,987,987,981,987,2,25,24585
9/19/23,987,997,987,987,5,16,15822
9/15/23,983,983,970,987,6,68,66090
9/14/23,983,983,983,987,3,5,4915
9/13/23,989,989,987.5,987,2,5,4940.5
9/12/23,988,988,988,987,2,8,7904
9/11/23,990,990,987.25,987,4,10,9885.75
9/8/23,991.25,991.25,989,987,9,25,24738
9/7/23,1021.5,1021.5,986,987,9,49,48402.25
9/6/23,991,991,990,987,7,86,85149.5
9/5/23,1002,1002,1000,987,4,12,12015.5
9/4/23,1005,1030,981.25,987,37,262,261759.5
9/1/23,1005,1005,989,1000.5,18,76,75992.25
8/31/23,1030,1030,998.25,1000.5,7,58,58570.5
8/29/23,1001.25,1041.25,1000.25,1000.5,6,10,10047
8/28/23,1042.75,1042.75,1042.75,1000.5,4,9,9384.75
8/25/23,992.5,1044,990,1000.5,10,34,33758
8/24/23,1044,1048.75,1000,1000.5,7,16,16185.75
8/23/23,999.25,999.25,999.25,1000.5,2,9,8993.25
8/22/23,1001,1043.75,999.5,1000.5,12,123,123047.25
8/21/23,1048.75,1048.75,1000,1000.25,20,139,139079.75
8/18/23,999.5,1045,999,1045,8,201,207745.5
8/17/23,1092,1092,999,1025,16,185,189616
8/16/23,1007.25,1007.25,999,999,33,683,682430.25
8/15/23,1005,1092.25,999.25,1000.5,32,405,405158
8/14/23,1095,1095,1050,1097.5,2,2,2145
8/10/23,1095,1095,1095,1097.5,4,9,9855
8/9/23,1096.75,1096.75,1050,1097.5,5,55,57800.75
8/8/23,1097.5,1097.5,1023,1097.5,2,6,6212.5
8/7/23,1083.75,1097.75,1083.75,1097.5,94,233,254463.75
8/3/23,1015,1015,1015,1100,4,16,16240
8/2/23,1027,1090,1019.75,1100,8,87,89052.25
7/31/23,1057,1099,1026,1100,29,83,86489.25
7/28/23,1100,1100,1100,1100,4,103,113300
7/27/23,1070,1070,1070,1032.75,1,1,1070
7/26/23,1057,1147.75,1057,1032.75,7,14,14921.75
7/25/23,1056.5,1056.5,1056.5,1032.75,2,10,10565
7/21/23,1050,1098.5,1021.5,1032.75,12,207,213755.25
7/20/23,1098.5,1098.5,1034,1076.75,7,154,165894.25
7/19/23,1044.25,1098.5,1044.25,1078.25,25,103,111069
7/18/23,1044.75,1044.75,1020.5,1041.75,2,3,3085.75
7/17/23,1040.75,1050,1040,1041.75,10,106,110435
