Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,131.5,131.5,131.5,130,2,3,394.5
10/12/23,129,130,129,130,4,5418,704016
10/11/23,130,130,129,129,12,5513,716257
10/10/23,130,131,128.5,130,8,1089,140920
10/9/23,130.25,130.25,127.25,130,23,4104,533354.5
10/6/23,133.25,133.5,130.5,132.75,18,4160,550950.25
10/5/23,134.5,135,132.5,132.5,8,1369,182045
10/4/23,134.5,135,132.25,134,16,81021,10865950.25
10/3/23,134.5,135,134.5,135,7,821,110824.5
10/2/23,139,139,132.5,134.25,43,16472,2221840.5
9/27/23,138,139.25,138,139.25,4,1154,159444.5
9/26/23,137,138,137,137,5,1841,252223
9/25/23,137,137,135.25,135.5,10,880,119487
9/22/23,135.25,138.5,135.25,138,44,20791,2862434
9/21/23,136.25,138.5,135,135.25,27,17336,2344456.75
9/20/23,139.5,139.5,135,135.5,52,7358,997768.75
9/19/23,139,139.75,135,137.5,37,15834,2149003
9/18/23,139,140,138,138.5,20,1195,166253
9/15/23,140,143.75,140,140,9,3106,434861.25
9/14/23,145,145,140,140.25,61,63287,8918123
9/13/23,145,145,142,143.25,24,9783,1400686.5
9/12/23,145,145.75,144,145,29,49898,7235215
9/11/23,144.25,148,144,145,10,6415,925243.5
9/8/23,146,147.5,144,147.5,22,8451,1239802.25
9/7/23,149,149,146.25,147,10,1251,183650.25
9/6/23,148,149.5,148,148,15,10757,1592439.5
9/5/23,150,150,148,148,107,516291,77441204.75
9/4/23,150,150,148.25,149,196,723870,108569873.8
9/1/23,146.75,146.75,145.5,146,30,95632,13962052
8/31/23,145.75,147,145.75,146.75,18,77401,11365828.5
8/29/23,146,149,145.25,149,15,4718,699715.5
8/28/23,149.25,149.75,147.25,149.25,8,253,37745.5
8/25/23,148.5,148.5,146,146,8,5748,839557.5
8/24/23,148,151,146.5,150,452,909876,136461244.3
8/23/23,149.75,149.75,145.25,145.5,8,1676,244088
8/22/23,150,150,146,148,21,7561,1122358.5
8/21/23,144.5,150.5,144.5,150,101,93543,14020304.75
8/18/23,141.5,144.75,140,144.25,35,32836,4721751.75
8/17/23,140.25,141.25,139,141,53,38982,5470135.75
8/16/23,142,142,139.75,139.75,23,14840,2075532.75
8/15/23,144.5,144.5,140.25,141.5,11,3050,434642.75
8/14/23,144,144.5,142,144.5,15,4432,630479.75
8/11/23,144.25,144.5,142.75,143,25,3809,546098.5
8/10/23,149.75,149.75,143.5,144.75,36,8400,1221631.5
8/9/23,151.5,151.5,150,151.25,229,143763,21715080.25
8/8/23,144.75,152,144.75,151,475,382932,57483051
8/7/23,148,149.75,144,149,18,5983,883298.5
8/4/23,140,150,140,149.25,51,70010,10116637.25
8/3/23,147.5,148,138,142.75,36,6612,959730
8/2/23,149.75,150,147.5,148,22,2125,317195
7/31/23,147.25,149.75,147.25,149.75,81,72540,10860207.25
7/28/23,147,149,147,148,11,1028,151702.25
7/27/23,148,149.75,145.5,149.75,122,395240,59183899.5
7/26/23,147.5,150,147.5,149.75,55,33260,4973670.25
7/25/23,149.75,149.75,147,149.75,107,324786,48620834.5
7/24/23,148,150,148,149.75,165,1036451,155177812.5
7/21/23,150,150,147,149,28,22248,3305898
7/20/23,142,150.5,141,150,480,1674035,250877376.5
7/19/23,141,142.5,140.25,142.25,30,8662,1222245.75
7/18/23,137,143,137,140.25,117,155414,21549868
7/17/23,137,137,132.5,136,20,107905,14675984
7/14/23,136.75,137,132,135.5,27,18248,2472088.5
7/13/23,132.25,137,132.25,136.75,29,512114,69648283.5
7/12/23,134.5,135,131,135,73,228575,30828221.25
7/11/23,130.25,135.5,130.25,133,70,876216,118205925
7/10/23,127.5,130.25,127.5,130,77,740980,96316216.75
7/7/23,126.5,127.5,126.5,127.25,35,117043,14840131.25
7/6/23,123,127,123,126.25,11,2510,315427.5
7/5/23,123,129.5,120.5,126,80,117522,14518914.75
7/4/23,123,123,120,121.75,81,110221,13353169.5
6/28/23,122.25,123,120,122.5,39,69369,8477890.5
6/27/23,122,123.25,122,122.5,25,22412,2746508.25
6/26/23,121,123,121,122,18,12834,1566904.5
6/23/23,120,122,119,119.25,14,20683,2466733
6/22/23,120,120,119,119,25,13055,1555727.5
6/21/23,119,121,117.75,120,67,86904,10417136.25
6/20/23,120,120,118,118.25,18,3306,391956
6/19/23,120,120,118,120,30,51052,6121435.5
6/16/23,121.75,121.75,119,119.5,11,608,72483.25
6/15/23,121,121,118,120,5,1900,228048
6/14/23,122,122,118,118.5,23,1402,166678.75
6/13/23,122,122,120,120,64,71549,8586347.75
6/12/23,117,120,117,120,40,36095,4291961.5
6/9/23,116.5,117,115,116,55,9707,1121164.5
6/8/23,120,120,117,117,31,13623,1593914.25
6/7/23,118.75,120,117,117,37,6800,800905.25
6/6/23,121.75,121.75,117.25,119.25,17,1230,147623.75
6/5/23,121,124.5,120,121.75,28,8137,980433
6/2/23,119,121,119,119,42,21116,2528488.5
6/1/23,119,119,118,118,34,79780,9415482.5
5/31/23,119,120,119,119,9,10412,1239243.5
5/30/23,120,120,118.75,119.5,11,198,23680.25
5/29/23,123.5,123.5,118.5,120,41,10148,1217837.25
5/26/23,123,123,120,120,61,45505,5488797.25
5/25/23,125,126,124,125,13,2439,303792.75
5/24/23,125.25,125.25,123.5,124,4,300,37298.75
5/23/23,124,125.25,122,125.25,12,8272,1034267.75
5/22/23,122,125,121.25,123.5,22,3843,471723
5/19/23,126,126,124.25,125,22,2665,333316
5/18/23,126,126,125.5,125.75,20,11893,1495458.25
5/17/23,125.75,125.75,125.5,125.75,13,334,41995.75
5/16/23,129.75,129.75,126,126,22,14910,1879809.75
5/15/23,128,129.25,127,127.25,18,7582,964693.5
5/12/23,127.25,128.25,127,127.25,22,6795,863924.5
5/11/23,128.5,129,127.25,127.75,19,2755,351637.5
5/10/23,129.25,129.25,129.25,129.25,4,44,5687
5/9/23,132,132,129,129.25,22,25657,3311995.25
5/8/23,133,133,129,129,27,166651,21512210.5
5/4/23,133,133,129.5,129.5,4,22862,2960765
5/3/23,135.5,135.5,133,133,8,24245,3277155
5/2/23,136,137,133,133,30,4240,567633
4/28/23,138,138,133.5,135,8,10282,1387875.5
4/27/23,136,136,135,135,51,982989,132703935
