Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/9/11,23.5,23.8,22.4,23.5,80,42700,980850
11/8/11,26.5,26.5,23.5,24,196,236800,5768720
11/4/11,29,29,27,27,65,64700,1765870
11/3/11,28.2,29.9,28.1,28.9,16,9500,274990
11/2/11,29.8,30,27,29.3,126,338500,9789310
11/1/11,28,28,27.8,28,10,4800,134100
10/31/11,28.9,29,27.8,28,28,9900,278090
10/28/11,30,30,28.9,28.9,13,8400,245140
10/27/11,28.9,30,28.4,30,15,38100,1137690
10/25/11,29,29,28.7,28.8,8,3600,103720
10/24/11,29,29,29,29,1,300,8700
10/21/11,27,29,27,29,6,4200,119460
10/20/11,30,30,28,28,12,23800,667470
10/19/11,28.7,30,27,28.7,32,24400,681320
10/18/11,30.5,31.1,29.6,30.6,30,46100,1418980
10/17/11,30.1,31.1,30,30.6,32,57000,1724720
10/14/11,35,35,33,34,9,24700,816700
10/13/11,33.5,33.5,33,33,20,17700,584460
10/12/11,33.5,33.9,33.2,33.3,12,8600,287330
10/10/11,33.1,33.6,33.1,33.6,3,2200,73820
10/7/11,34,34.8,33.5,33.6,16,29200,1012930
10/6/11,34.5,34.5,33.8,34,7,1400,47720
10/5/11,35,35,34,34,14,7700,263190
10/4/11,35,35,35,35,19,11500,402500
9/30/11,35,35.2,35,35,37,26900,941590
9/29/11,35,35,35,35,4,1200,42000
9/28/11,35.6,35.6,34,34.8,10,39500,1376390
9/27/11,34.9,35,34,35,21,123700,4323400
9/26/11,35,35.1,34,34.1,13,14700,504090
9/23/11,33.8,35.2,33.8,35,32,55800,1950890
9/22/11,34,35,34,35,47,214100,7487070
9/21/11,33.8,35,33.2,34.1,30,709800,24830230
9/20/11,33.7,34,33.5,33.8,31,31700,1071130
9/16/11,33.5,34.5,33.5,34.4,21,262300,9011430
9/15/11,34,34.5,33.6,33.8,39,47800,1616430
9/14/11,34,34.8,33.7,34,53,64600,2208610
9/13/11,33.8,34.3,33,33.6,84,147400,4942570
9/12/11,36.3,36.4,33,33.6,185,214800,7286910
9/9/11,36.3,36.3,34.9,35.6,55,137900,4878480
9/8/11,34.8,35.9,34.8,34.8,15,11800,412840
9/7/11,35,35,34.2,34.8,30,157600,5482980
9/6/11,35,36,34.6,35.5,41,441800,15673790
9/5/11,34.5,36.5,34.5,35.9,26,24000,862360
9/2/11,35.7,36.7,35,35.7,53,37200,1334430
9/1/11,36.4,36.9,34.7,35,50,81300,2881340
8/30/11,34,37.4,33.5,35.3,81,300900,11070070
8/29/11,33.5,34,33.5,33.6,16,10100,340010
8/26/11,34.5,35.5,33.5,33.8,32,60700,2083240
8/25/11,33.5,33.6,33.4,33.5,15,24000,804100
8/24/11,33,34.1,33,33.1,34,48500,1622440
8/23/11,34.2,34.7,33,34.1,25,23700,797090
8/22/11,36.9,37,34.1,34.4,27,26000,921700
8/19/11,36,37.4,35,35.3,42,149200,5538520
8/18/11,36.5,38,36,36.1,70,264200,9873760
8/17/11,38,38,36,36.2,71,97500,3563250
8/16/11,35.5,38.5,35.5,36.6,361,748900,27688570
8/15/11,33,35.4,33,34.7,22,24000,824730
8/12/11,35.9,37,34.1,34.5,163,298200,10818260
8/11/11,33,35.9,32,35,100,190400,6555150
8/10/11,33,33.9,33,33.1,24,31500,1048070
8/9/11,35,35,32,33,56,194600,6479200
8/8/11,32.5,34.5,31.3,34.1,74,197500,6694110
8/5/11,32.5,35.5,32.5,33.1,250,752900,25524530
8/4/11,33,33.4,32.5,33.1,11,5900,193400
8/3/11,32.1,33.5,32.1,33.4,27,60500,2023900
8/2/11,32.4,34,32.4,33.6,8,6100,204790
8/1/11,32,34,32,34,10,17500,587110
7/29/11,32.8,34.4,32.8,33.2,45,65400,2214680
7/28/11,30.2,32.7,30.2,32.3,36,62600,2005330
7/27/11,31,31.8,30,31.1,14,40000,1223900
7/26/11,30.2,31.9,30,30.8,25,24300,748250
7/25/11,30.5,32,30,30.9,32,35800,1105620
7/22/11,31,35.5,30.9,33.6,35,88200,2827700
7/21/11,31.2,31.4,31,31,16,37000,1149280
7/20/11,31.9,32,31.9,31.9,6,1100,35100
7/19/11,31.9,32,31.8,31.9,12,12200,389600
7/18/11,32.5,33,31.7,32.3,17,33200,1088370
7/15/11,34,34,32.5,33.1,6,2200,72350
7/13/11,32,34,31.7,33.8,25,30300,1007560
7/12/11,32,32.8,31.6,31.9,30,40500,1290630
7/11/11,33.5,33.9,32.5,33.4,34,73900,2449480
7/8/11,35.8,35.8,33.5,33.5,7,6200,208230
7/7/11,35.4,35.5,34.1,34.1,11,4700,160810
7/6/11,34,35.2,31.5,34.5,92,183700,6234670
7/5/11,34,35,34,34.7,13,24200,839780
7/4/11,35.7,35.7,34,34.1,15,9200,314840
7/1/11,35,35.9,34.9,35.8,71,190100,6752270
6/30/11,31.9,35.5,31.9,35,108,307500,10628270
6/29/11,31.6,33.8,31,32.3,48,163300,5195920
6/28/11,33.1,34.9,31.7,32.1,26,34500,1113660
6/27/11,33,33.1,32.1,33.1,12,3500,114990
6/24/11,33.7,33.7,33,33.1,16,11300,376860
6/23/11,33.3,34,33.3,33.7,18,25000,841380
6/22/11,35,35.5,33.5,33.9,37,71000,2415900
6/21/11,35,35,33.5,34,28,56400,1922070
6/20/11,34,35.5,34,35,66,158100,5435050
6/17/11,33.1,35.5,33.1,33.8,15,11900,401900
6/16/11,33.5,35,33,34,35,43400,1462010
6/14/11,34,34.8,33.7,34,41,75000,2553690
6/13/11,35.1,36,34.1,34.1,18,18600,646300
6/10/11,35.5,35.8,34,34.5,50,77800,2723440
6/9/11,36.3,36.3,35,35.9,23,49800,1756440
6/8/11,35.5,36.9,35.4,36.3,29,30700,1107360
6/7/11,36.5,38,35.2,35.6,41,64100,2310030
6/6/11,38,38.2,35,36.2,36,58200,2156190
6/3/11,38.6,39.8,38,38.6,25,25700,987250
6/2/11,40,40.8,38.6,39.2,34,23800,932020
6/1/11,39,39.5,37.7,38.1,51,79800,3056670
5/31/11,40,40.5,38.5,39,68,59400,2332010
5/30/11,41,41,39.9,40,51,88100,3528820
5/27/11,40.2,41.1,40,40.5,55,58700,2385040
5/26/11,42.5,42.5,40.5,41.2,47,57000,2358760
5/25/11,43,43.5,41.1,41.4,77,102600,4284320
5/24/11,41.1,43.5,41,42.5,163,286800,12126810
5/23/11,42,42.9,41.5,42,58,73300,3064200
5/20/11,42,44.5,41.9,42.7,208,309000,13401090
5/19/11,41.6,43,39.5,41.5,211,264500,11017190
5/16/11,41.7,41.7,40,40.4,52,58000,2358170
5/13/11,41.4,43.5,41,41.4,87,116600,4897570
5/12/11,43,43,41.6,42,108,209500,8814050
5/11/11,45.5,45.5,42.2,43.3,457,799900,35049120
5/10/11,41.6,46.3,40.4,45.2,946,1664100,72899500
5/9/11,38,41.3,38,40.9,457,1010200,40818110
5/6/11,37,38.8,36.7,38,151,273200,10398420
5/5/11,35.3,38,35.1,36.9,77,176000,6426560
5/4/11,36.5,36.5,35.1,35.2,56,109900,3915740
5/3/11,36,37,36,36.5,73,133000,4826660
4/29/11,37,37.1,36.2,36.4,59,80500,2942170
4/28/11,37,37.2,36.5,36.5,73,156100,5708690
4/27/11,37,37.5,36.5,36.8,98,294600,10845200
4/26/11,37,38,37,37,113,137100,5101650
4/25/11,36.5,40,36,36.8,613,987300,38206350
4/21/11,37.6,38.1,35.8,36.9,147,222300,8190130
4/20/11,35,39,35,37.6,418,583900,21490060
4/19/11,35.5,35.6,34.5,35,87,121900,4279500
4/18/11,35,35.5,34.9,35.4,78,78000,2752550
