Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,50.6,50.7,50.6,50.7,7,744,37681.5
10/12/23,50,50.6,50,50.4,28,70230,3533888.7
10/11/23,49.9,50.2,49.8,50.2,45,51991,2603748.5
10/10/23,49.5,50,49.5,49.9,59,63259,3154205
10/9/23,51,51,49.6,49.7,88,210289,10471771.7
10/6/23,51,51.4,51,51.2,20,21521,1098656.4
10/5/23,51,51.5,50.6,50.8,31,31583,1609881
10/4/23,50.6,51.5,50.6,51.5,28,40894,2088142.4
10/3/23,52,52,51,51.1,73,66892,3421239
10/2/23,53,53,51,51.3,54,107031,5556022.5
9/27/23,52,52.6,52,52.5,26,36351,1896309.5
9/26/23,52,52.8,52,52.4,18,19563,1017744
9/25/23,52.3,53.2,52,52.2,16,5669,295732.4
9/22/23,53.5,53.5,52.5,52.6,19,18009,948141.3
9/21/23,53.5,53.5,52.1,52.9,49,114378,6059791.1
9/20/23,53.5,53.5,53,53.2,45,93390,4967160.5
9/19/23,53,53.8,52.5,52.9,47,103474,5479478.5
9/18/23,54,54,53,53,43,118483,6281045.3
9/15/23,54.1,54.1,53.1,53.2,61,52010,2780413.2
9/14/23,52.8,54.3,52.8,54.1,139,797555,42951449.9
9/13/23,52.3,54,52.3,54,109,302229,16253014.3
9/12/23,52.4,52.5,51.6,52.3,46,34394,1793577.4
9/11/23,53.2,53.2,52.1,52.5,49,148292,7756394.4
9/8/23,52.2,53.2,52.2,53.1,76,188301,9975104.2
9/7/23,52.5,53,51.5,52.4,63,91146,4737514.2
9/6/23,53.5,53.6,52.1,52.2,86,223826,11848596.2
9/5/23,54,54,53,53.2,73,108598,5807838.4
9/4/23,52,54,52,53.5,176,461552,24755045.1
9/1/23,51.6,52.5,51.6,52.3,65,128388,6694946.3
8/31/23,51,51.8,50.6,51.5,63,113807,5861960.4
8/29/23,50.8,51.2,50.1,51.2,45,72086,3682301.1
8/28/23,51.6,52.4,51,51.2,75,181877,9319578.1
8/25/23,51.6,52.4,51.1,51.5,48,53840,2755637.2
8/24/23,52.5,52.5,51.5,51.6,53,82587,4258208.6
8/23/23,53.2,53.5,51.2,52.5,94,111877,5913144.6
8/22/23,53.3,53.5,53.2,53.2,69,127936,6807150.7
8/21/23,53.5,54.2,52.7,53.5,109,208875,11181214.1
8/18/23,54.4,54.4,53.5,53.5,137,252430,13567671
8/17/23,52.2,54.8,52.2,54,454,3010342,161544081.4
8/16/23,50.9,52,50.5,51.5,97,282584,14525459.2
8/15/23,50.6,51.2,50.6,51,61,56870,2898622
8/14/23,51,52,50.2,51,81,220761,11165839.6
8/11/23,51.4,52.2,51,52,152,797316,41449727.3
8/10/23,51.1,51.3,51,51,44,39590,2020560.1
8/9/23,51.7,52,51.3,51.3,44,29641,1530413.6
8/8/23,52.5,52.5,51.7,51.8,80,98231,5092618.4
8/7/23,52.8,53,51.5,51.7,176,726624,38287457.9
8/4/23,51.4,53.4,51,52.8,282,621418,32580812.4
8/3/23,50.5,51.5,49.8,51.3,158,682365,34642851.8
8/2/23,50.7,51.2,50.5,51,101,161155,8201342.3
7/31/23,51.2,51.5,50.7,51,95,163194,8342261.6
7/28/23,51.6,51.8,51.1,51.2,135,244959,12597178.8
7/27/23,51.9,52,51.3,51.5,98,450209,23171555.3
7/26/23,52,53,51.2,51.5,59,86655,4494788.2
7/25/23,52,53.7,51.2,52.7,162,539435,28134989.4
7/24/23,53,53.3,51.6,52.2,101,327798,17171582.5
7/21/23,53,53.9,52.1,53.5,129,263978,14085343.2
7/20/23,52.2,54,51.1,53.1,328,994848,53187789.6
7/19/23,51.9,52.1,51.1,51.9,154,431424,22357649.5
7/18/23,51.8,52.3,50.7,52,194,495830,25761127.5
7/17/23,50.5,52.3,50.5,51.5,211,377801,19407268.9
7/14/23,51,51.9,50.3,50.9,135,152295,7727344.9
7/13/23,50.1,52.4,50,50.8,424,8014225,402003129.1
7/12/23,50.3,50.4,49.3,50,127,228457,11361119.3
7/11/23,50,50.8,49.1,50,234,7170032,358595290.7
7/10/23,48,50.5,48,50,138,501093,25021439.6
7/7/23,49.5,50.8,49,50.1,399,1320486,65556921.3
7/6/23,47.8,49.4,46.7,49.3,512,3628698,175305199.9
7/5/23,47,47,46,46.6,157,379778,17732908.4
7/4/23,46.5,47.5,46.2,47,197,473468,22068010.4
6/28/23,44.8,45.4,44,45,103,218167,9797606.7
6/27/23,43,44.5,43,44,47,466543,20519897.1
6/26/23,44,44.4,42.1,44.2,73,71017,3094472.6
6/23/23,45.5,46,44.8,45.2,110,933905,42118906.6
6/22/23,44.5,45.7,44.2,45.2,148,949124,42777032.8
6/21/23,42.6,44.9,42.6,44.5,117,204725,9014411.4
6/20/23,43.4,43.8,42.6,42.8,41,24945,1084332.7
6/19/23,43.3,43.3,42.5,42.7,33,111313,4733448.4
6/16/23,43,43,42.6,42.6,34,44235,1892068.8
6/15/23,42.3,43.3,42.1,42.9,42,85053,3618649.1
6/14/23,42,42.7,42,42.5,38,36546,1545803.5
6/13/23,42.4,42.4,41.6,42,121,553253,23235441.1
6/12/23,41.6,42.4,41.3,42.2,70,146596,6100215.5
6/9/23,41.5,42.1,41.3,41.3,26,44225,1833972.5
