Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,225,227.5,220.5,225.5,19,2389,537042.5
10/12/23,217,227.75,217,224.75,24,2650,590995.75
10/11/23,217.5,224.5,214,214,12,1160,251693.25
10/10/23,215,217.5,213,213,8,3552,757091
10/9/23,215,220,212,213.75,14,1277,270967.25
10/6/23,220,227,215,217,20,27469,6050292.75
10/5/23,228,228,220,224.5,26,18185,4041810.25
10/4/23,221.75,227.5,220,220.5,13,2128,469436.25
10/3/23,224,230,222,230,23,36649,8419005.75
10/2/23,219.5,225,215,216.5,18,5734,1252316
9/27/23,219.25,226,219.25,226,20,10032,2233694.5
9/26/23,218.25,220,218.25,219,3,1121,245618.25
9/25/23,220,224.75,218,218.25,14,2321,507173.5
9/22/23,225,225.5,220,225.5,30,9267,2083905.5
9/21/23,226,226,220.25,222,16,3028,672162.25
9/20/23,220,226,220,225.5,9,130,29278.75
9/19/23,221,221,219,219.75,25,9310,2050020.5
9/18/23,228,228,221,225,16,5528,1235641.5
9/15/23,222,228,222,227,6,32,7159.25
9/14/23,221,227,221,227,22,59869,13583736.5
9/13/23,220,227,215.25,220.75,39,33253,7375602.25
9/12/23,228.75,228.75,219,220,61,94112,20738848.75
9/11/23,229.75,230,222,224.75,42,24706,5581657.25
9/8/23,235,235,225.5,229,32,12335,2813411.25
9/7/23,228,230,221,229,90,27099,6141138
9/6/23,218.75,230,218.75,225.25,49,14252,3161850.75
9/5/23,218.5,229,218.25,227.75,42,17926,4021999
9/4/23,226.5,232,210.25,225.75,54,17470,3897505.75
9/1/23,231,233.5,227,227.75,70,12127,2778957.5
8/31/23,238,238,230.25,232.25,44,61141,14345028
8/29/23,229,242,229,234.75,127,117463,27718133
8/28/23,234.75,247.25,226,231,293,122838,29007081.75
8/25/23,220,233,219,230.25,423,284566,65032581.75
8/24/23,222.5,224.5,218,220,93,22843,5024264.5
8/23/23,214.25,222,214.25,221.5,168,62927,13831669.25
8/22/23,205,219.5,205,218.5,101,46524,10027864.75
8/21/23,210,216.75,205,208.75,137,62677,13121559.75
8/18/23,214,219.75,214,217.5,181,108107,23522620
8/17/23,215.25,220,215,216.25,98,41745,9027768.25
8/16/23,222.75,227,214,221,174,196230,44233052.25
8/15/23,208,223.75,207,222.75,424,175840,38590059.5
8/14/23,202,213.75,202,207.75,251,140630,29220202.5
8/11/23,195,205,189,200.25,452,425968,83063301.5
8/10/23,172.75,175,170,172.5,35,12576,2165379
8/9/23,167.5,169.75,165,167,16,36420,6072803.75
8/8/23,165.25,169.75,165.25,169.5,14,3125,521058.5
8/7/23,167,172,165,169,54,49151,8304542.5
8/4/23,169,169,167,167,12,4345,728445
8/3/23,172,173.25,168,169,36,28024,4735550.75
8/2/23,167,172,167,168,27,14695,2470592
7/31/23,164,169.5,164,169.5,4,1576,260489
7/28/23,168.5,170,164,169,18,7385,1233674.5
7/27/23,162.5,167.75,162,167,21,10020,1669529.75
7/26/23,164.75,168.5,164.75,168,16,8425,1412430
7/25/23,165.25,165.25,163,164.5,21,32017,5273639.75
7/24/23,167,167,164.5,165.5,19,15927,2659126.5
7/21/23,164.5,167.5,164.5,167,38,55674,9290099.75
7/20/23,163.5,165,163.5,164.25,23,15251,2512844.25
7/19/23,160.5,164.25,160.25,160.25,11,6285,1010963.75
7/18/23,164,164,160.25,162,35,9145,1477740
7/17/23,161.25,164.5,161.25,163,16,12457,2030425.25
7/14/23,162.5,162.75,160.25,162.5,37,44117,7105732.75
7/13/23,167.75,170,162.75,163.5,80,22973,3829722
7/12/23,152,166,152,164.25,74,37069,5967878.5
7/11/23,150.75,157.5,150.75,152,27,4999,769287
7/10/23,150,154.75,150,152,49,40213,6055359
7/7/23,146,150.5,145.5,150.25,71,60490,8929616.75
7/6/23,142.25,145,140.5,144.75,17,6074,874207.25
7/5/23,146.75,146.75,142,142,12,1159,164976.5
7/4/23,136.75,149,136.75,145.25,42,21780,3086403.25
6/28/23,136.75,136.75,135.5,136,7,4000,543647.5
6/27/23,136.5,136.5,135.75,135.75,9,1150,156227
6/26/23,136.25,136.5,136.25,136.5,3,225,30706.25
6/23/23,142,142,136.25,137.25,8,680,95987.5
6/22/23,139.5,139.5,138,139.75,2,50,6960
6/21/23,135.75,140,135.5,139.75,15,4210,587485.25
6/20/23,135,142.5,134.25,135,27,48799,6588432.75
6/19/23,137.75,139.75,134.5,135.5,17,2641,358916.75
6/16/23,136.75,137,135,136.5,10,25209,3403499.25
6/15/23,137,140,137,137.75,21,3079,422974.75
6/14/23,138,138,134.5,136.75,8,148,20242.5
6/13/23,138.75,138.75,138.75,135,1,5,693.75
6/12/23,139,139,135,135,22,85263,11512880
6/9/23,135,135,134,134,7,2275,305200
6/8/23,136,136,135.5,136,7,132,17944.5
6/7/23,138,138,137.5,137.75,2,11,1513
6/6/23,139.75,139.75,135,137.75,7,552,76088.5
6/5/23,140,140,135,139.25,24,3773,524184.5
6/2/23,131.25,139.25,131.25,138,19,4175,575922.5
6/1/23,131.25,137,131,136,11,1272,172134.25
5/31/23,131.5,132.75,131.5,131.5,7,2566,337462.75
5/30/23,132.25,132.25,131,131.5,13,8002,1052228.25
5/29/23,134,134,131.5,132,23,20731,2755150
5/26/23,133,134,133,134,6,1150,153050
5/25/23,136,136,133,133,7,2091,278113
5/24/23,136.75,136.75,131.5,131.5,8,2237,294270.25
5/23/23,134,134,131.5,132,7,1102,147460.5
5/22/23,136.5,136.5,135,133,3,6,814.5
5/19/23,133,136.25,133,133,3,3156,419767.5
5/18/23,133.5,133.5,131,132,8,218,28697.25
5/17/23,134.5,134.5,133,133.5,17,354,47358
5/16/23,137,137,134.5,134.5,15,743,99988.25
5/15/23,135,137,134.5,134.5,19,2927,393910
5/12/23,135.5,135.75,135.5,135.5,15,5733,776822.25
5/11/23,137,137,135,135.5,16,985,133922.5
5/10/23,138.5,138.5,136,138,11,775,107031.25
5/9/23,141,141.5,136,136,20,1381,189922.25
5/8/23,134.75,136,134.5,134.5,11,2946,396241.25
5/4/23,135,135,134.25,134.5,11,2896,389794
5/3/23,134,135.75,134,135.75,9,6319,847139.75
5/2/23,136.5,136.75,133,134.5,19,23968,3269944
4/28/23,136.25,140,136.25,136.75,9,5346,733349.75
4/27/23,138,139.5,136,137,11,2113,290593
4/26/23,139.75,140,139,139,20,8376,1165060.25
4/25/23,141.75,141.75,137,139.75,45,17490,2446006
4/24/23,140,143.75,140,140.75,27,9666,1366417.75
4/21/23,140,142,140,140.75,48,132672,18638834
4/20/23,137,140,136,140,19,3484,484343.75
4/19/23,140,140.5,136.5,138.5,17,2974,413189.75
4/18/23,143,143.75,139.75,140,14,4617,654629
4/17/23,141.75,142,137,137,18,3790,523319.5
4/12/23,136,142,136,140,54,24852,3390475.25
4/11/23,134.25,136,133.75,134.25,9,654,87787.25
4/10/23,135,135,131,132,23,4873,641582.25
4/6/23,135,136.25,135,135.25,25,29250,3949092.5
4/4/23,135,138,131,131,4,2171,292208
4/3/23,131,131.5,131,131.25,10,1130,148232
3/31/23,132,132,130.75,130.75,7,350,46012.5
3/30/23,135,135,130,130,4,320,42602.5
3/29/23,129.5,134,129.5,130.5,4,146,19039.5
3/28/23,130,130,129.75,130,11,2677,348008.75
3/27/23,134.75,136,130,130,15,9707,1264670.75
3/24/23,132.25,132.25,131,132.25,12,1555,205587.5
3/23/23,134,134,132.75,133,8,1145,153007.25
3/22/23,135.75,136.5,134,134.75,18,11120,1494722.75
3/21/23,138.25,139,136,136.5,8,2405,330315.5
3/20/23,136,139,136,137.75,20,7066,968779
3/17/23,136,137.25,135,135,16,4516,609752.75
3/16/23,137,140,134,138.25,31,3198,445878
3/15/23,137,137,134,134,3,1001,134137
3/14/23,130.25,137.5,130.25,132,16,15593,2095020.75
3/13/23,133,138,131.25,135,18,3716,496154.25
3/10/23,135.25,140.75,133,133,5,474,63190.5
3/9/23,135,139,128.25,135,40,26243,3545601
3/8/23,128.5,140,128.5,132.25,84,31400,4183570.25
3/7/23,126,128.75,123.5,125,43,19736,2476717.5
3/3/23,125,130,124.25,126.5,23,3305,416259.25
3/2/23,125,125,125,125,6,3090,386250
3/1/23,128.5,128.5,125,125,13,4142,519777.5
2/28/23,129.75,129.75,122,125,34,6031,751171.5
2/27/23,134.5,134.5,123.5,123.75,51,11275,1397007
2/24/23,131.5,131.5,128.25,129.25,29,4496,583978.25
2/23/23,132,132,126.25,130,92,45771,5886431
2/22/23,126,129,126,126.25,15,5111,647228.25
2/21/23,125,127,125,127,19,4743,600083
2/20/23,128.75,128.75,122.5,123.25,6,115,14193.75
2/17/23,128.75,128.75,128.75,120.5,2,20,2575
2/16/23,129,129,120,120.5,26,3785,456507.75
2/15/23,125,125,123,124,8,802,99379.5
2/14/23,121.5,124.75,120,121,28,6043,728458
2/13/23,134.5,135,121,121.75,23,2727,333833.5
2/10/23,129.75,130,115.75,120,56,6900,834610.25
2/9/23,125,125.25,125,125,16,2387,298376
2/8/23,125,125.25,125,125.25,16,2276,284620
2/7/23,125.25,125.25,124.75,125,21,4821,602749.5
2/6/23,130,130,125,125.25,32,4079,511240
2/3/23,130,130,125,126.5,8,660,85287.5
2/2/23,126,128,125,125.75,27,8692,1092350.75
2/1/23,125.75,126,125,125.5,13,12410,1556466
1/31/23,127,127,125.25,127,13,490,62182.5
1/30/23,129.5,129.5,129.5,127,2,25,3237.5
1/27/23,127,127,127,127,1,110,13970
1/26/23,125.75,127,125.5,126.75,27,31203,3933061.75
1/25/23,129.75,129.75,129.75,125,3,12,1557
