Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,21,21.5,21,21.5,9,4850,104146
10/12/23,21.4,21.4,18.5,20.3,21,20310,378620.5
10/11/23,20.7,21.5,20.7,21,6,879,18444.3
10/10/23,20.5,21,20.5,21,2,357,7394
10/9/23,20.6,20.6,19,20.5,16,2316,45404.1
10/6/23,21.8,21.8,21.6,21.6,5,1300,28280
10/5/23,21.5,21.5,21.1,21.4,7,3632,77583
10/4/23,21.5,22,21.5,21.6,4,700,15100
10/3/23,21.5,21.9,21.3,21.4,15,6000,128692.5
10/2/23,21.7,21.7,21.6,21.7,15,3898,84385.9
9/27/23,22.2,22.2,22,22,7,11154,247388
9/26/23,23.1,23.1,21.6,22.2,6,160,3585
9/25/23,21.2,21.4,21.2,21.3,5,212,4510.5
9/22/23,23,23,21.2,22.2,4,65,1486
9/21/23,22,23.2,22,22.2,12,1174,25952.8
9/20/23,22.8,23.4,22,22.3,19,2793,62417.6
9/19/23,22.6,23.6,22.6,22.8,13,3343,75702.4
9/18/23,23.8,23.8,22.7,22.8,10,2543,57845.7
9/15/23,22.7,24,22.7,24,18,11245,267145.5
9/14/23,22.8,22.9,22.7,22.9,11,1216,27788.5
9/13/23,23.5,24.2,22.5,24,12,4370,100633
9/12/23,23.5,23.5,22.3,23.5,7,5305,122263.5
9/11/23,24.5,24.5,23.7,24.3,19,6272,153220.3
9/8/23,22.2,24.5,22.2,24,39,10976,260599.1
9/7/23,22.1,23.4,22.1,22.4,10,456,10213.2
9/6/23,22.8,23.4,22.5,23.4,15,13038,304767.3
9/5/23,23.9,23.9,22.5,22.9,15,1809,41478.1
9/4/23,23.9,23.9,23.9,23.9,3,201,4803.9
9/1/23,23,24.1,22.9,22.9,20,6592,152910.3
8/31/23,23.4,23.4,22,23,5,1581,35823
8/29/23,23.4,23.8,23.2,23.4,7,469,10987.7
8/28/23,24,24,22.6,23,9,1585,37526
8/25/23,24.9,25,24,24,8,2634,63750
8/24/23,23.7,25.3,23.2,24.8,20,2088,51686.2
8/23/23,22.3,25.7,22.3,24.7,140,131553,3196646.5
8/22/23,21.9,22.4,20.9,22,48,20136,442812.7
8/21/23,21,21,20.1,20.1,9,2721,54809.1
8/18/23,21.5,21.5,20,20.8,13,4041,82188.3
8/17/23,21,21.5,20.5,21.5,21,7977,171399.1
8/16/23,21.4,21.4,20.1,20.1,3,213,4294.3
8/15/23,21.3,21.8,20,21.2,20,20691,438917.1
8/14/23,20.3,21.8,20,21,24,26073,552784.8
8/11/23,19,20,19,19.5,15,4186,80818
8/10/23,19.5,20,18.7,19.7,13,12695,250465
8/9/23,19.5,20,19.5,20,5,1529,30330
8/8/23,19.6,20.3,19.5,19.8,4,180,3572.5
8/7/23,20,20.5,19.5,19.6,14,994,19883.8
8/4/23,19.9,20,19.4,20,14,40905,817536.3
8/3/23,19.4,20,19.3,20,16,33888,675757.7
8/2/23,19.2,19.5,19.2,19.2,5,10150,195195.6
7/31/23,19.2,19.4,19.2,19.2,26,17670,339464
7/28/23,20.2,20.2,19.7,19.7,19,5123,102732.7
7/27/23,20,20.7,20,20.5,18,4326,88598.7
7/26/23,20.1,20.8,18.9,19.8,22,7574,147637.8
7/25/23,18.9,21.2,18.9,20.8,53,16900,341982.1
7/24/23,18.8,19.9,18.8,19.2,25,20973,403736.5
7/21/23,19.7,19.9,18.4,19.8,43,12190,238866.4
7/20/23,18,19.8,18,18.7,60,17880,333709.4
7/19/23,17.1,18,17.1,18,15,7640,136585.2
7/18/23,17.6,17.8,17.2,17.6,22,5248,92243.8
7/17/23,17.5,18.1,17.5,17.6,26,12274,218890.8
