Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/31/18,0.4,0.4,0.3,0.3,11,9741,3022.3
5/31/18,0.1,0.1,0.1,0.1,1,1,0.1
5/30/18,0.1,0.1,0.1,0.1,1,10000,1000
5/30/18,0.4,0.4,0.4,0.4,12,577691,231076.4
5/28/18,0.4,0.4,0.4,0.4,5,107152,42860.8
5/25/18,0.4,0.5,0.4,0.4,5,61113,24455.2
5/25/18,0.1,0.1,0.1,0.1,2,2000000,200000
5/24/18,0.4,0.4,0.4,0.4,1,1500,600
5/24/18,0.1,0.1,0.1,0.1,2,11400,1140
5/23/18,0.4,0.4,0.4,0.4,1,2625,1050
5/23/18,0.1,0.2,0.1,0.1,6,23218,2321.9
11/19/13,0.1,0.1,0.1,0.1,1,10,1
11/18/13,0.1,0.1,0.1,0.1,20,20185,2018.5
11/15/13,0.1,0.1,0.1,0.1,64,246896,24689.6
11/14/13,0.1,0.2,0.1,0.1,75,2256224,225632.8
11/13/13,0.2,0.2,0.1,0.1,147,1852248,192538.5
11/12/13,0.1,0.2,0.1,0.1,225,10182124,1038726.6
6/29/05,0.1,0.1,0.1,0.1,44,1750700,175070
6/28/05,0.1,0.1,0.1,0.1,66,1186900,118690
6/27/05,0.2,0.2,0.1,0.2,22,515900,67890
6/24/05,0.2,0.3,0.2,0.2,10,82700,18540
6/16/05,0.1,0.3,0.1,0.3,0,0,0
