Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
2/15/19,1.3,1.3,1.2,1.3,3,101,131.2
2/14/19,1.3,1.5,1.2,1.3,58,193571,251842.5
2/13/19,1.4,1.6,1.3,1.4,64,109336,157720.9
2/12/19,1.6,1.7,1.6,1.6,20,48249,78228.4
2/11/19,1.6,1.8,1.5,1.6,14,17552,29268.2
2/8/19,1.6,1.9,1.5,1.6,64,129293,224383.2
2/7/19,1.9,2,1.8,1.9,13,16860,31980
2/6/19,2,2,2,2,3,257,514
2/5/19,1.8,2,1.8,1.8,2,7,12.8
2/1/19,1.8,2,2,1.8,2,11,22
1/31/19,1.8,2,1.8,1.8,21,4814,8837.7
1/30/19,2,2,1.8,2,4,1003,2005.7
1/29/19,2,2,1.9,2,10,3501,6672
1/28/19,1.9,2,1.9,1.9,6,19800,37650
1/25/19,2,2,1.9,2,4,152,299
1/24/19,1.8,2,1.8,1.8,10,21054,37937.8
1/23/19,1.9,2,1.9,1.9,12,12601,23942
1/22/19,2,2,1.9,2,6,420,829.9
1/21/19,2,2,1.9,2,32,23709,46256.5
1/18/19,2,2.1,2,2,3,356,712.6
1/17/19,2,2.1,2,2,28,37593,75386.1
1/16/19,1.9,2,1.9,1.9,3,103,196
1/14/19,1.9,2,1.9,1.9,6,3025,5748
1/11/19,1.9,1.9,1.9,1.9,5,12145,23075.5
1/10/19,2,2,1.9,2,15,62743,123355.6
1/9/19,1.9,2,1.9,1.9,17,7007,13714
1/8/19,2,2.1,2,2,30,51730,103560.5
1/7/19,2,2,2,2,5,5010,10020
1/4/19,2.1,2.2,2,2.1,18,4429,9241.9
1/3/19,2.2,2.2,2.2,2.2,1,100,220
1/2/19,2,2.2,2.2,2,1,90,198
12/31/18,2,2.1,2,2,5,2500,5100
12/28/18,2.1,2.1,2.1,2.1,13,18611,39083.1
12/27/18,2.1,2.2,2.1,2.1,2,3,6.5
12/26/18,2.1,2.3,2.1,2.1,3,2610,5493
12/24/18,2.1,2.3,2.1,2.1,5,3800,8170
12/21/18,2.1,2.3,2.1,2.1,2,2510,5273
12/20/18,2.2,2.4,2.2,2.2,12,20831,48537.3
12/19/18,2.2,2.3,2.1,2.2,9,2218,5087.4
12/18/18,2.2,2.3,2.1,2.2,18,24786,53262.2
12/17/18,2.1,2.2,2,2.1,5,126,264.4
12/14/18,2,2.2,2.2,2,2,4,8.8
12/13/18,2,2.3,2,2,12,20720,42520
12/12/18,2.2,2.3,2.2,2.2,2,621,1366.3
12/11/18,2.2,2.3,2.2,2.2,11,36628,80586.7
12/10/18,2.2,2.3,2.2,2.2,8,3726,8199.3
12/7/18,2.2,2.3,2.2,2.2,13,14746,33448.8
12/5/18,2.3,2.4,2.3,2.3,3,6001,13802.4
12/4/18,2.3,2.3,2.3,2.3,8,20011,46025.3
12/3/18,2.2,2.4,2.2,2.2,3,7010,15924
11/29/18,2.3,2.3,2.3,2.3,8,9362,21532.6
11/28/18,2.3,2.3,2.3,2.3,13,12339,28379.7
11/26/18,2.4,2.4,2.4,2.4,1,100,240
11/23/18,2.2,2.4,2.2,2.2,2,4857,10765.4
11/21/18,2.3,2.3,2.2,2.3,5,1795,3998
11/16/18,2.1,2.2,2.2,2.1,1,16,35.2
11/15/18,2.1,2.3,2.1,2.1,9,13808,29068.8
11/14/18,2.2,2.2,2.2,2.2,2,2405,5291
11/13/18,2.4,2.4,2.2,2.4,2,1700,3780
11/12/18,2.3,2.3,2.3,2.3,6,4500,10350
11/9/18,2.4,2.5,2.3,2.4,8,2616,6326.8
11/8/18,2.5,2.6,2.3,2.5,7,40700,101660
11/7/18,2.5,2.5,2.3,2.5,5,4295,9898.5
11/5/18,2.4,2.5,2.4,2.4,5,3532,8636.8
11/2/18,2.5,2.5,2.4,2.5,4,1103,2657.4
11/1/18,2.4,2.4,2.4,2.4,11,15492,37180.8
10/31/18,2.4,2.4,2.2,2.4,9,17138,37822.3
10/30/18,2.4,2.4,2.2,2.4,3,1020,2446
10/29/18,2.3,2.4,2.3,2.3,28,23960,56848.2
10/26/18,2.1,2.3,2.1,2.1,6,204,428.8
10/25/18,2,2.1,2,2,2,2100,4210
10/23/18,2,2.2,2,2,3,1088,2196
10/19/18,2.2,2.2,2,2.2,3,3,6.4
10/17/18,2.2,2.2,2.1,2.2,20,18920,41612
10/16/18,2.2,2.2,2.2,2.2,7,38350,84370
10/15/18,2.2,2.3,2.2,2.2,8,21601,47527.3
10/12/18,2.3,2.3,2.3,2.3,1,1698,3905.4
10/11/18,2.2,2.4,2.1,2.2,12,28916,62865.3
10/10/18,2.1,2.1,2.1,2.1,8,10201,21422.1
10/9/18,2.1,2.2,2.1,2.1,13,16948,36045.6
10/8/18,2.1,2.2,2,2.1,7,1323,2819.7
10/5/18,2.1,2.2,2.1,2.1,6,4000,8480
10/4/18,2,2.2,2,2,11,9702,19524.4
10/3/18,2,2.3,2,2,35,62982,133777.8
10/2/18,2.3,2.5,2.2,2.3,23,14397,32483.7
10/1/18,2.5,2.5,2.3,2.5,4,1979,4806.7
9/28/18,2.5,2.5,2.4,2.4,8,16700,40100
9/26/18,2.5,2.5,2.5,2.5,1,410,1025
9/25/18,2.5,2.5,2.5,2.5,9,12662,31655
9/21/18,2.6,2.7,2.5,2.6,11,4600,11970
9/20/18,2.7,2.8,2.7,2.7,4,6990,18881
9/19/18,2.6,2.8,2.6,2.7,5,620,1663
