Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
2/15/19,0.5,0.6,0.4,0.5,20,201401,99990.5
2/14/19,0.6,0.6,0.5,0.6,21,8536,5121.2
2/13/19,0.5,0.7,0.4,0.5,137,611744,321732.3
2/12/19,0.6,0.7,0.6,0.6,19,176493,106096
2/11/19,0.7,0.7,0.7,0.7,5,10022,7015.4
2/8/19,0.6,0.9,0.5,0.6,247,972546,605187.4
2/7/19,0.8,0.9,0.8,0.8,41,160093,128281.9
2/6/19,0.9,1,0.9,0.9,7,16100,14500
2/5/19,1,1,1,1,1,1,1
2/1/19,1,1,1,1,2,300,300
1/31/19,0.9,1,0.9,0.9,21,42736,38482.5
1/30/19,1,1,1,1,7,589,589
1/29/19,0.9,1,0.9,0.9,7,87285,78586.5
1/28/19,0.9,0.9,0.9,0.9,51,3950,3555
1/25/19,0.9,1,0.9,0.9,12,38864,34978.7
1/24/19,0.9,1,0.8,0.9,16,30322,27339.3
1/23/19,0.9,0.9,0.9,0.9,6,10100,9090
1/22/19,0.9,1,0.9,0.9,8,30850,27775
1/21/19,1,1,0.9,1,11,13298,12878
1/18/19,0.9,1,0.9,0.9,21,15204,13705.5
1/17/19,0.9,1,0.9,0.9,13,72118,64906.3
1/16/19,0.8,0.9,0.8,0.8,12,15101,12440.9
1/14/19,0.8,0.9,0.8,0.8,6,2901,2600.9
1/11/19,0.9,0.9,0.8,0.9,11,10479,9329.1
1/10/19,0.9,0.9,0.8,0.9,31,131451,118304.9
1/9/19,0.9,1,0.9,0.9,33,90281,86855.9
1/8/19,1,1.2,1,1,38,251353,251919.2
1/7/19,1.1,1.1,1.1,1.1,1,10000,11000
1/4/19,1.1,1.2,1.1,1.1,2,1000,1112.5
1/3/19,1.1,1.2,1.1,1.1,6,46970,51692
1/2/19,1.1,1.2,1.1,1.1,4,2891,3198.1
12/31/18,1.1,1.1,1,1.1,12,95000,99702.2
12/28/18,1.1,1.2,1.1,1.1,5,4685,5159
12/26/18,1.1,1.2,1.1,1.1,14,43593,48052.3
12/24/18,1.1,1.2,1.1,1.1,6,11901,13601.2
12/21/18,1.2,1.2,1.1,1.2,4,11150,12565
12/20/18,1.2,1.2,1.2,1.2,2,2200,2640
