Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,43.5,44,43.5,44,3,20568,894992
10/12/23,43.1,44.9,43.1,44.9,30,25358,1127144.1
10/11/23,44.9,44.9,43,44,40,15968,691813
10/10/23,44.9,45,44.5,44.9,20,22060,992384.4
10/9/23,44.6,44.9,44.2,44.8,43,17868,796494.4
10/6/23,45,45.7,44.5,44.9,37,48036,2160762.3
10/5/23,46,46.2,45,45,45,11744,534784.4
10/4/23,45.9,46.4,45.5,46,42,19521,897307
10/3/23,47,47,45.1,45.7,66,35910,1660253.9
10/2/23,47.1,48,46.5,46.6,57,111608,5252067.4
9/27/23,47.8,47.8,47,47.4,83,116243,5502289.5
9/26/23,48,48.6,47.7,47.7,40,42873,2054641
9/25/23,48.9,49,48,48,24,28479,1370187.3
9/22/23,48,49,47.9,48.1,34,26086,1252178.6
9/21/23,49,49,48,48,56,25400,1220972.4
9/20/23,49.2,49.2,48.1,48.5,57,28801,1403184.5
9/19/23,49.9,50,48.9,49,86,141811,7016927.1
9/18/23,50.1,50.1,48.9,49.9,259,365310,18202902.6
9/15/23,51,51,50.1,50.9,23,9109,461345.3
9/14/23,50.3,51,49,51,34,42616,2155846
9/13/23,49.6,51,49.1,50.5,97,248429,12518174.5
9/12/23,49.2,51,49,49.9,65,84711,4228503.3
9/11/23,49,49.9,49,49.7,26,32836,1620950.5
9/8/23,49.3,49.7,49,49,62,72955,3583961.1
9/7/23,49.4,50,49.1,49.8,11,43204,2122994.4
9/6/23,50,50,49.3,49.4,23,64105,3187053.5
9/5/23,51.5,51.5,49.4,49.6,94,127640,6381349.7
9/4/23,52.7,52.7,52,52.4,239,352534,18507014.7
9/1/23,52,52.7,50.5,52.4,143,249512,12995150.4
8/31/23,50.2,51.9,50.2,51.7,96,155258,8004114.1
8/29/23,50.3,50.6,50.3,50.5,103,337456,17037070
8/28/23,50,51.2,50,50.3,39,96322,4887279.6
8/25/23,49.9,50.9,49.4,50.2,50,130760,6556886.3
8/24/23,51,51,50,50.9,28,29020,1472342
8/23/23,50,51,50,50.9,93,190682,9634674.1
8/22/23,50.5,50.5,49.8,50,32,20920,1047379.4
8/21/23,50.3,51.3,50.3,51,61,138413,7058900.8
8/18/23,50.4,50.5,49.8,50.2,109,251166,12582222.2
