Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,44.1,44.5,44.1,44.1,9,5010,220945
10/12/23,44.3,44.3,44.2,44.2,2,2600,114930
10/11/23,46.2,46.2,44.1,44.2,13,5412,239330.5
10/10/23,45,46.2,44.1,44.4,17,361,16109.9
10/9/23,45.2,47.9,45.2,46,5,30,1363.3
10/5/23,46,47.5,46,46,5,1236,56857.5
10/4/23,45,47.7,45,47,14,5722,259606.7
10/2/23,49.4,49.4,46.9,49.1,4,104,5107.6
9/27/23,48.8,49,46,46.7,36,5582,271903.7
9/25/23,46.5,49.1,46.5,48.1,11,538,25720.4
9/22/23,46.6,46.6,46.6,46.6,2,100,4660
9/21/23,46.7,48,46.7,47.9,10,1675,78504.6
9/20/23,46.8,47.5,46.8,46.8,5,255,11937.5
9/19/23,48,48,48,48,5,8200,393600
9/18/23,48,49,48,48.7,15,5051,245986.3
9/15/23,46.7,46.7,46.7,46.7,2,707,33016.9
9/14/23,47.1,48.6,47.1,48,10,5677,269299.7
9/13/23,47.1,47.1,46.7,47,6,701,32937.1
9/12/23,46.8,48.5,46.8,46.8,7,252,11797
9/11/23,47.5,48.5,47.5,48.5,6,2024,98157.4
9/8/23,46.5,47.5,46.1,46.9,22,883,41173.8
9/7/23,48.2,48.2,46.8,48.1,4,240,11540
9/6/23,48.1,48.1,47,47,7,401,18957
9/5/23,47.7,48.2,46.7,48,7,2222,106623.3
9/4/23,48.2,48.2,46,46.1,7,501,23085.2
9/1/23,48,48.5,46.1,47.8,10,1696,81203.1
8/31/23,46.5,49.5,46,48.5,14,40024,1847787.2
8/29/23,44.6,46,44.5,44.5,3,191,8504
8/28/23,45.9,45.9,45.4,45.5,7,1357,61738.9
8/25/23,46.3,46.3,44.2,44.2,5,23,1022.8
8/24/23,46.6,46.6,44.2,44.2,31,10878,481754.5
8/23/23,45.2,46.6,45,46.2,26,5268,237619.9
8/22/23,45.8,46,45.8,45.8,7,3290,150683
8/21/23,45.5,48.6,45.3,47,13,3370,154396.1
8/18/23,46,47.5,45.6,45.9,9,661,30346.5
8/17/23,46.1,49,46,46.1,10,570,26261.1
8/16/23,47.9,49,46.1,48,8,1464,70236.3
8/15/23,46.2,48.9,46.1,46.1,6,811,37390.4
8/14/23,47.5,47.5,47.5,47.5,3,605,28737.5
8/11/23,46.1,49.9,46.1,48.2,13,1103,52630.2
8/10/23,46,47,45.9,45.9,4,351,16117.5
8/9/23,47.6,47.6,46.1,46.7,9,373,17440.7
8/8/23,46.2,46.3,45.9,46.1,19,5122,235522.3
8/7/23,46.4,47.5,46.2,46.3,14,7551,349571.9
8/4/23,47.2,47.2,46.2,47.1,20,7314,341392.5
8/3/23,47.9,47.9,46.2,47,35,14278,671652.9
8/2/23,48.3,49.8,47.9,48,43,8681,417467.1
7/31/23,50.3,50.3,48.7,49,12,1951,95671.1
7/28/23,50.5,50.5,49,49.1,9,393,19309.2
7/27/23,50.6,50.9,48.7,48.7,18,2026,99684.8
7/26/23,50.9,51,48.8,49.2,29,21048,1046466
7/25/23,50,50.8,48.5,49.1,94,180273,8813587
7/24/23,52.7,52.7,48.7,49,21,7506,367920.5
7/21/23,49.4,50,47.3,49.2,124,49586,2422487.7
7/20/23,52.8,52.9,50,50.4,31,5948,305372.6
7/19/23,51.1,53.4,50,50,103,83390,4222183.9
7/18/23,54.9,54.9,51.7,52.1,67,19606,1029669.3
7/17/23,56,56,51.6,53.4,92,44028,2391499.8
