Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/11/14,2.7,2.7,2.5,2.6,96,539754,1389841.9
3/10/14,2.6,2.8,2.5,2.6,225,1207896,3156413.7
3/7/14,2.4,3.1,2,2.7,1133,10665689,27414713.2
3/6/14,2.3,2.5,2.3,2.3,186,842733,1983961.2
3/5/14,2.7,2.7,2.4,2.4,232,1732117,4243689.7
3/4/14,2.7,2.7,2.5,2.7,65,254356,659057.8
3/3/14,2.6,2.7,2.5,2.6,139,1173034,3005968.5
2/28/14,2.8,2.8,2.6,2.6,90,574546,1504814.3
2/26/14,2.7,2.8,2.6,2.7,92,454112,1221553.6
2/25/14,2.7,2.7,2.6,2.6,112,719161,1895861.2
2/24/14,2.7,2.8,2.7,2.7,25,213420,578265
2/21/14,2.7,2.9,2.7,2.7,48,568458,1576652.8
2/20/14,2.8,2.8,2.7,2.8,60,579089,1586291.1
2/19/14,2.8,2.9,2.7,2.8,144,1341942,3666055
2/18/14,2.9,2.9,2.7,2.8,100,536965,1504017.4
2/17/14,3,3,2.8,2.8,92,507847,1429587.6
2/13/14,2.9,3,2.8,2.9,38,238441,691485.9
2/12/14,3,3,2.8,2.9,75,271235,787233.3
2/11/14,3,3,2.9,3,46,227980,676382.3
2/10/14,3.1,3.1,2.9,2.9,156,1500265,4433585.7
2/7/14,3.1,3.2,3,3,45,282537,866828.9
2/6/14,3.3,3.3,3.1,3.1,126,682725,2150400.2
2/5/14,3.1,3.4,3,3.4,546,6627766,21825842.9
2/3/14,3,3.2,3,3.1,90,710297,2199490.7
1/31/14,3.1,3.2,3,3,96,853693,2627634.3
1/30/14,3,3.2,2.9,3.1,176,1890233,5790529
1/29/14,3.1,3.2,3,3.1,74,635850,1967226.3
1/28/14,3.3,3.3,3,3.1,255,1830226,5714819.2
1/27/14,3,3.3,2.9,3.2,751,8737604,27250177.6
1/24/14,2.8,3,2.7,2.9,133,1041266,3014781.8
1/23/14,2.8,2.9,2.7,2.8,237,1169607,3217252.3
1/22/14,2.8,2.9,2.5,2.8,664,5973773,16314098.5
1/21/14,3.1,3.2,3,3,171,1351910,4078172.1
1/20/14,3.1,3.3,3,3.1,180,1364694,4313028.1
1/17/14,3.6,3.7,3.1,3.1,773,7234034,24302495
1/16/14,2.7,3.6,2.6,3.4,1209,17600323,57005106.8
1/13/14,2.8,2.8,2.5,2.6,257,1359816,3566439.9
1/10/14,2.8,2.9,2.7,2.7,240,2311657,6435250.4
1/9/14,2.8,2.8,2.7,2.7,112,770946,2116496.3
1/8/14,2.8,2.9,2.7,2.8,88,752587,2102081.6
1/7/14,2.7,2.8,2.7,2.8,144,1252352,3437820.9
