Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,65,65,64.2,64.3,25,3877,249550
10/12/23,65,65.5,64.7,65,9,2603,169195.1
10/11/23,66,66,64.6,65,34,24511,1594591
10/10/23,65,66,65,65.5,16,8333,548267
10/9/23,65.8,65.8,64.6,65,53,20747,1351331.5
10/6/23,66.9,66.9,65.8,65.8,12,844,55838.2
10/5/23,66.5,66.5,65.6,65.8,17,2003,131729.3
10/4/23,66.1,66.7,65.4,66.4,34,3518,233102.9
10/3/23,66.7,66.7,66,66,18,2054,136001.5
10/2/23,67,67,66.2,66.2,32,8933,592506.4
9/27/23,67.5,69.7,66.3,67,22,6140,410154.2
9/26/23,66.1,67.4,66.1,66.3,4,124,8221.1
9/25/23,66.5,67,66,66.5,18,5144,341526.4
9/22/23,66,67,65.3,66.2,15,2211,146199.5
9/21/23,66.3,67.5,65,65.3,56,40222,2644956.9
9/20/23,66.2,67.2,66.1,66.4,16,1456,96781.1
9/19/23,67,67.8,66,66.1,45,14245,942859.1
9/18/23,68,68,66.7,67.1,46,16485,1107783.6
9/15/23,68,68.5,67.5,68,13,4063,276673.5
9/14/23,68.9,68.9,68,68.1,16,23534,1601533.2
9/13/23,69,69,68,68,9,7194,489195.6
9/12/23,68.6,68.6,67.5,67.5,39,23107,1570833.6
9/11/23,68.5,69.8,68,68.5,27,9960,681830.4
9/8/23,67.7,69.8,67,69.4,51,62755,4347888.1
9/7/23,67,67.6,67,67.3,33,22165,1488198.3
9/6/23,67.8,68,66.1,67.4,54,29841,1988286.2
9/5/23,67.2,68.4,66.5,67,39,8981,599233
9/4/23,67,68.4,66,68.1,20,3447,232334.9
9/1/23,66.2,68,65.7,66,32,18816,1241725.2
8/31/23,67.9,67.9,65.3,66.7,111,69702,4601571.4
8/29/23,72,72,66.4,67.6,157,50847,3472567.7
8/28/23,73.1,73.9,72.1,73.4,173,99444,7306511.8
8/25/23,73.9,74,73,73.2,167,96247,7080176.7
8/24/23,74.9,75,74,74.4,108,42614,3169886.2
8/23/23,74.8,75,74,74.3,104,59847,4459602.8
8/22/23,75.1,76.3,74,74,114,50485,3747691.7
8/21/23,73,76.4,73,75.1,500,319559,24044746.6
8/18/23,70.7,70.7,69.4,70,46,21550,1503026.9
8/17/23,70,71.5,68.9,70,49,17560,1225985.7
8/16/23,68.1,68.9,68,68.7,27,10232,701679.9
8/15/23,68.5,68.7,67.6,68.2,30,6306,430110.9
8/14/23,68.5,68.5,67.6,68.5,43,17834,1211888.8
