Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/3/23,656,656,656,700,2,6,3936
10/2/23,699.75,701,699.75,700,13,178,124588.25
9/27/23,699.5,699.5,690,667.25,2,21,14499.5
9/26/23,699.75,699.75,699.75,667.25,4,51,35687.25
9/15/23,668,668,667.25,667.25,2,1000,667252.25
9/8/23,699,699.75,660,663.25,12,169,114603.5
9/7/23,699.75,699.75,699.75,699.75,1,1,699.75
9/1/23,656,656,652.25,699.75,7,52,33962.25
8/29/23,650,650,650,699.75,1,2,1300
8/25/23,681,682,671,699.75,12,47,31668.75
8/21/23,682,682,682,699.75,3,38,25916
8/18/23,700,714,681,699.75,4,267,186857
8/10/23,675,675,651.5,706.25,5,62,40664
8/9/23,695,695,689.75,706.25,4,12,8310.75
8/8/23,700,700,700,706.25,1,7,4900
8/7/23,702,705,700,706.25,7,22,15425
8/4/23,701,725,701,706.25,3,15,10539
8/3/23,701,710,701,706.25,7,197,138863.25
8/2/23,709.75,709.75,709.75,709.75,3,11,7807.25
7/31/23,729,729,710,709.75,4,10,7253
7/28/23,699,767.5,699,709.75,10,121,85883.25
7/24/23,694,694,694,665,2,11,7634
7/19/23,670,670,670,665,1,8,5360
7/17/23,679,679,679,665,2,14,9506
