Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/3/08,0.8,0.9,0.8,0.8,11,106200,85110
10/2/08,0.8,0.8,0.8,0.8,6,8800,7040
9/30/08,0.9,0.9,0.8,0.8,8,62500,51000
9/29/08,0.9,0.9,0.9,0.9,1,2000,1800
9/26/08,0.8,0.9,0.8,0.8,21,334600,267710
9/25/08,0.8,0.8,0.8,0.8,6,61000,48800
9/24/08,0.9,0.9,0.8,0.8,6,62400,55820
9/23/08,0.9,0.9,0.8,0.8,19,235800,192220
9/22/08,0.9,0.9,0.9,0.9,13,351300,316170
9/19/08,0.9,0.9,0.8,0.8,4,114000,101200
9/18/08,0.9,0.9,0.8,0.9,18,210400,181330
9/17/08,0.9,0.9,0.8,0.8,4,240000,193500
9/16/08,0.9,1,0.9,0.9,10,18700,16840
9/15/08,0.9,0.9,0.8,0.8,19,402700,331200
9/12/08,0.9,0.9,0.9,0.9,73,1135500,1021950
9/11/08,0.9,1,0.9,1,45,892600,804090
9/10/08,1,1,0.9,1,5,27600,27570
9/9/08,1,1,1,1,6,49300,49300
9/8/08,1.1,1.1,1,1,4,15200,15220
9/5/08,1,1.1,1,1,7,25800,25950
9/4/08,1.1,1.1,1,1,4,387400,387410
9/3/08,1,1,1,1,45,1150400,1150400
9/2/08,1,1,0.9,0.9,15,108400,98090
9/1/08,0.9,1,0.9,0.9,5,60700,55690
8/29/08,1,1,1,1,8,119800,119800
8/27/08,1,1.1,1,1,9,15600,15630
8/26/08,1,1,1,1,10,165000,165000
8/25/08,1,1,1,1,9,18500,18500
8/22/08,1,1.1,1,1.1,17,411600,432870
8/21/08,1,1,1,1,8,94500,94500
8/20/08,0.9,0.9,0.9,0.9,1,1000,900
8/19/08,1,1,1,1,5,19400,19400
8/18/08,0.9,1,0.9,1,3,7700,6950
8/15/08,1,1,1,1,5,45400,45400
8/14/08,1,1,1,1,11,191100,191100
8/13/08,1,1,1,1,6,19500,19500
8/12/08,1,1,1,1,10,56700,56700
8/11/08,1,1,1,1,10,112700,112700
8/8/08,1,1,1,1,1,400,400
8/7/08,1,1,1,1,2,500,500
8/6/08,1,1,1,1,2,25800,25800
8/5/08,1,1,1,1,6,64800,64800
8/4/08,1,1.1,1,1,8,65500,66050
8/1/08,1,1,1,1,13,122100,122100
7/31/08,1,1.1,1,1,22,354800,359300
7/29/08,1,1,1,1,12,176300,176300
7/28/08,0.9,1,0.9,1,25,76500,71750
7/25/08,0.9,0.9,0.9,0.9,16,75900,68310
7/24/08,1,1,1,1,2,3000,3000
7/23/08,1,1,0.9,0.9,17,218700,208300
7/22/08,1,1,1,1,8,605100,605100
7/18/08,1,1.1,1,1,85,698800,699000
7/16/08,0.9,0.9,0.9,0.9,7,26000,23400
7/15/08,0.9,1,0.9,0.9,8,86100,77590
7/14/08,0.9,1,0.9,1,6,150100,145100
7/11/08,0.9,1,0.9,0.9,33,291000,261910
7/10/08,0.9,0.9,0.9,0.9,5,13300,11970
7/9/08,0.9,0.9,0.9,0.9,15,532900,479610
7/8/08,0.9,0.9,0.8,0.8,16,94600,79140
7/7/08,0.9,0.9,0.8,0.9,12,39400,35260
7/4/08,0.9,0.9,0.9,0.9,73,1205800,1085220
7/3/08,1,1.1,0.9,0.9,68,710000,679380
7/2/08,0.9,1.1,0.9,1,117,1378900,1326980
7/1/08,1.2,1.2,0.9,1,216,4583800,4700260
6/30/08,1.2,1.3,1.2,1.3,4,61000,78300
6/27/08,1.2,1.2,1.1,1.2,106,879600,1031880
6/26/08,1.3,1.3,1.2,1.3,6,22400,29080
6/25/08,1.3,1.3,1.3,1.3,2,800,1040
6/24/08,1.3,1.3,1.3,1.3,3,7800,10140
6/23/08,1.3,1.4,1.3,1.3,38,317500,420900
6/20/08,1.4,1.4,1.3,1.3,18,82100,106760
6/19/08,1.3,1.3,1.3,1.3,4,10700,13910
6/17/08,1.3,1.3,1.3,1.3,9,39400,51220
6/16/08,1.3,1.4,1.2,1.3,27,629400,818180
6/13/08,1.3,1.3,1.3,1.3,14,184700,240110
6/12/08,1.4,1.4,1.3,1.3,3,11600,16080
6/11/08,1.3,1.3,1.3,1.3,10,69900,90870
6/10/08,1.4,1.4,1.3,1.3,4,14600,19980
6/9/08,1.5,1.5,1.4,1.4,3,1300,1830
6/6/08,1.4,1.4,1.4,1.4,13,41200,57680
6/5/08,1.4,1.4,1.4,1.4,11,77800,108920
6/4/08,1.5,1.5,1.4,1.4,31,257400,360460
6/3/08,1.5,1.5,1.4,1.4,10,32800,48130
6/2/08,1.5,1.5,1.5,1.5,5,12000,18000
5/30/08,1.4,1.5,1.4,1.5,16,201600,300300
5/29/08,1.4,1.5,1.4,1.4,18,145500,204310
5/28/08,1.5,1.5,1.4,1.5,45,798500,1188410
5/27/08,1.5,1.6,1.5,1.6,4,251000,381500
5/26/08,1.6,1.7,1.5,1.5,26,326500,517500
5/23/08,1.7,1.7,1.7,1.7,23,394800,671160
5/22/08,1.6,1.7,1.6,1.6,23,531000,849700
5/21/08,2.3,2.3,1.6,1.6,35,717900,1170730
5/16/08,1.7,1.8,1.6,1.7,30,499400,848680
5/15/08,1.6,1.8,1.6,1.7,25,487600,829030
5/14/08,1.8,1.8,1.6,1.6,52,887600,1456140
5/9/08,1.6,1.6,1.5,1.6,13,23700,37620
5/8/08,1.6,1.6,1.6,1.6,14,54800,87680
5/7/08,1.6,1.6,1.6,1.6,8,24800,39680
5/6/08,1.6,1.7,1.6,1.6,15,60900,97460
5/5/08,1.6,1.6,1.6,1.6,10,61500,98400
5/2/08,1.6,1.6,1.6,1.6,5,65100,104160
4/30/08,1.7,1.7,1.7,1.7,2,1300,2210
4/29/08,1.6,1.7,1.6,1.6,25,153100,245810
4/28/08,1.6,1.6,1.6,1.6,16,215300,344480
4/25/08,1.6,1.7,1.6,1.6,3,5900,9490
4/24/08,1.6,1.7,1.6,1.7,7,111100,178670
4/23/08,1.6,1.6,1.6,1.6,19,259400,415040
4/22/08,1.6,1.6,1.6,1.6,20,287700,460320
4/21/08,1.6,1.7,1.6,1.6,12,98200,157530
