Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,32.7,33,32.7,33,14,10924,360454.8
10/12/23,32.7,33,32.7,33,22,23840,784827.5
10/11/23,32.7,33.7,32.5,32.7,31,9485,311031
10/10/23,33,33,32.8,32.8,23,25494,839201.5
10/9/23,34,34,32.2,33,90,34498,1128741.8
10/6/23,34.8,35.7,33,33.7,52,24550,827649.7
10/5/23,34.1,36.4,33.8,34.2,66,12000,412271.3
10/4/23,34.2,35.9,33.9,34.6,54,18459,638672.5
10/3/23,36.7,36.7,31.5,35.1,110,38058,1308502.7
10/2/23,36.9,36.9,35,35.6,58,16285,579805.2
9/27/23,36.9,36.9,36.5,36.9,24,23275,850823.5
9/26/23,36.7,37.5,36.4,36.9,16,3565,130685.5
9/25/23,36.6,37.6,36.5,36.5,32,107931,3992411.8
9/22/23,37.5,37.5,37,37.3,37,45992,1723924.6
9/21/23,37.6,38.3,37.5,37.5,10,7243,271749.4
9/20/23,37.5,37.9,37.5,37.5,16,5370,201383.4
9/19/23,37.8,38.4,37.4,37.5,28,2808,105285.5
9/18/23,38.4,38.4,38.2,38.2,10,710,27143
9/15/23,38.2,39,37.5,38.2,24,4799,183414.2
9/14/23,38,39,38,38.7,22,5870,226065.4
9/13/23,39,39,38.1,38.1,19,8977,342680
9/12/23,39.7,39.7,38,38.1,40,10577,406613.6
9/11/23,39.7,39.7,38.6,38.6,18,2961,115616.3
9/8/23,39.5,39.5,39.1,39.2,21,3281,128741.2
9/7/23,39.9,39.9,38,39,40,37249,1440682.4
9/6/23,38.7,39.9,38,39.5,143,372030,14645506.4
9/5/23,38.5,40.4,38.1,38.6,83,168049,6648535.7
9/4/23,37.2,38.5,37.2,38.2,75,100208,3803654.7
9/1/23,37.6,38,37.3,37.4,29,25205,941366.4
8/31/23,37.6,38.2,37.3,37.5,74,183620,6885425.5
8/29/23,37.6,38.3,37.6,38.2,44,66370,2520415.1
8/28/23,38.6,38.8,37.8,38.3,50,371094,14278904.3
8/25/23,38,38.8,37.5,38.3,102,443499,16907060.6
8/24/23,39.1,39.4,38,38.2,130,57926,2224558
8/23/23,39.8,39.8,39,39.4,63,78138,3069627.4
8/22/23,39.1,40.3,38.9,39.2,146,203504,8018550.2
8/21/23,42.5,42.5,39.9,40.1,242,243739,9970121.2
8/18/23,41,42.9,40.6,41.7,415,1491616,61724449.6
8/17/23,37.4,41.2,37.4,40.6,876,6787766,270160313.5
