Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,6.1,6.1,6.1,6.1,3,2195,13389.5
10/12/23,6,6.3,6,6.2,2,312,1941
10/11/23,6.2,6.3,6.1,6.3,8,2548,15987.5
10/10/23,6.1,6.1,6.1,6.1,3,308,1878.8
10/9/23,6.1,6.1,6.1,6.1,3,3005,18330.5
10/6/23,6,6,6,6,1,88,528
10/5/23,6.1,6.1,6,6,2,2440,14644.6
10/4/23,6.1,6.1,6.1,6.1,2,1000,6100
10/3/23,6.1,6.1,6.1,6.1,2,164,1000.4
10/2/23,6.1,6.1,6.1,6.1,6,13215,80611.5
9/27/23,6.1,6.1,6.1,6.1,1,100,610
9/25/23,6.1,6.4,6.1,6.2,5,912,5635.7
9/22/23,6.3,6.4,6,6.2,17,63870,393000
9/21/23,6.3,6.3,6.3,6.3,3,568,3578.4
9/20/23,6.3,6.4,6.3,6.4,15,1180321,7532354.3
9/19/23,6.3,6.4,6.3,6.3,3,2051,12976.4
9/18/23,6.4,6.4,6.3,6.4,9,641,4099.4
9/15/23,6.4,6.4,6.3,6.4,15,11060,70779.9
9/14/23,6.3,6.4,6.3,6.3,8,80837,509273.6
9/13/23,6.4,6.4,6.2,6.3,15,166235,1047319
9/12/23,6.4,6.4,6.3,6.3,10,98485,621210.6
9/11/23,6.4,6.4,6.3,6.3,7,4765,30169.5
9/8/23,6.3,6.4,6.3,6.4,7,13962,88960.6
9/7/23,6.3,6.4,6.3,6.4,13,445000,2833500.9
9/6/23,6.3,6.4,6.3,6.3,9,42304,267032.2
9/5/23,6.4,6.4,6.2,6.4,14,5236,33196.1
9/4/23,6.3,6.4,6.3,6.4,12,12485,79884.3
9/1/23,6.3,6.5,6.3,6.4,13,760,4868.7
8/31/23,6.2,6.5,6.2,6.5,20,2003895,13017614.9
8/29/23,6.3,6.4,6.2,6.2,13,24322,150827.2
8/28/23,6.3,6.3,6.3,6.3,8,12188,76784.4
8/25/23,6.3,6.4,6.3,6.4,25,226000,1446350
8/24/23,6.4,6.4,6.2,6.3,15,78077,486082.5
8/23/23,6.3,6.4,6.3,6.4,7,9107,58284.7
8/22/23,6.3,6.4,6.3,6.3,12,11201,70566.4
8/21/23,6.3,6.4,6.2,6.4,8,7110,45437.5
8/18/23,6.2,6.3,6.1,6.2,13,1563,9674.7
8/17/23,6.4,6.4,6.1,6.1,19,51701,320670.4
8/16/23,6.1,6.4,6.1,6.3,9,2626,16424.4
8/15/23,6.4,6.4,6.2,6.4,20,25406,160092.9
8/14/23,6.3,6.3,6.1,6.2,12,4486,27952.3
8/11/23,6.3,6.3,6.2,6.3,10,18014,113092.7
8/10/23,6.4,6.4,6.2,6.3,20,19385,121960.4
8/9/23,6.4,6.4,6.1,6.1,19,44187,277430.7
8/8/23,6.4,6.5,6.2,6.3,23,28449,178079.4
8/7/23,6.2,6.5,6.2,6.4,48,165742,1063314
8/4/23,6.3,6.3,6,6.3,29,526508,3165246.1
8/3/23,6.2,6.4,6.2,6.3,19,27872,173575.7
8/2/23,6.4,6.4,6.2,6.3,10,1484,9373.2
7/31/23,6.2,6.4,6.2,6.3,17,5047,31554.2
7/28/23,6.3,6.4,6.2,6.2,23,130283,816560.4
